pinyintone,pinyinnone,pinyinnum,traditional,simplified,MC,OC,datasource,sensorymod
tī~tà~tī~tà,ti~ta~ti~ta,ti1~ta4~ti1~ta4,踢踏踢踏,踢踏踢踏,"NA","NA",LiJingEr,SOUND
wā~la~wā~la,wa~la~wa~la,wa1~la5~wa1~la5,哇啦哇啦,哇啦哇啦,"NA","NA",LiJingEr,SOUND
wā~wū~wā~wū,wa~wu~wa~wu,wa1~wu1~wa1~wu1,哇嗚哇嗚,哇呜哇呜,"NA","NA",LiJingEr,SOUND
wéi~wéi~nuò~nuò,wei~wei~nuo~nuo,wei2~wei2~nuo4~nuo4,唯唯諾諾,唯唯诺诺,ywij~ywij~nak~nak,*ɢʷij (< *ɢʷuj?)~*ɢʷij (< *ɢʷuj?)~*nˤak~*nˤak,LiJingEr,SOUND
wū~hā~wū~hā,wu~ha~wu~ha,wu1~ha1~wu1~ha1,嗚哈嗚哈,呜哈呜哈,"NA","NA",LiJingEr,SOUND
wū~lī~wū~la,wu~li~wu~la,wu1~li1~wu1~la5,嗚哩嗚啦,呜哩呜啦,"NA","NA",LiJingEr,SOUND
wū~wū~kuāng~dāng,wu~wu~kuang~dang,wu1~wu1~kuang1~dang1,嗚嗚哐當,呜呜哐当,NA~tang~NA~NA,NA~*tˤaŋ~NA~NA,LiJingEr,SOUND
wū~wū~yā~yā,wu~wu~ya~ya,wu1~wu1~ya1~ya1,嗚嗚呀呀,呜呜呀呀,"NA","NA",LiJingEr,SOUND
wū~yā~wū~yā,wu~ya~wu~ya,wu1~ya1~wu1~ya1,嗚呀嗚呀,呜呀呜呀,"NA","NA",LiJingEr,SOUND
xī~lāng~huā~lāng,xi~lang~hua~lang,xi1~lang1~hua1~lang1,唏啷嘩啷,唏啷哗啷,"NA","NA",LiJingEr,SOUND
xī~līu~xī~līu,xi~liu~xi~liu,xi1~liu1~xi1~liu1,吸溜吸溜,吸溜吸溜,xip~NA~xip,*qʰ(r)əp~NA~*qʰ(r)əp,LiJingEr,SOUND
xī~xī~lì~lì,xi~xi~li~li,xi1~xi1~li4~li4,淅淅瀝瀝,淅淅沥沥,"NA","NA",LiJingEr,SOUND
pū~dǎ~pū~dǎ,pu~da~pu~da,pu1~da3~pu1~da3,扑打扑打,扑打扑打,"NA","NA",LiJingEr,SOUND
pū~dèng~pū~dèng,pu~deng~pu~deng,pu1~deng4~pu1~deng4,扑蹬扑蹬,扑蹬扑蹬,"NA","NA",LiJingEr,SOUND
pū~téng~pū~téng,pu~teng~pu~teng,pu1~teng2~pu1~teng2,扑騰扑騰,扑腾扑腾,NA~dong~NA~dong,NA~*lˤəŋ~NA~*lˤəŋ,LiJingEr,SOUND
pū~lā~pū~lā,pu~la~pu~la,pu1~la1~pu1~la1,扑拉扑拉,扑拉扑拉,NA~lop~NA~lop,NA~*[r]ˤəp~NA~*[r]ˤəp,LiJingEr,SOUND
qī~qī~zhā~zhā,qi~qi~zha~zha,qi1~qi1~zha1~zha1,嘁嘁喳喳,嘁嘁喳喳,"NA","NA",LiJingEr,SOUND
shā~dā~shā~dā,sha~da~sha~da,sha1~da1~sha1~da1,沙噠沙噠,沙哒沙哒,srae~NA~srae,*sˤraj~NA~*sˤraj,LiJingEr,SOUND
shā~léng~shā~léng,sha~leng~sha~leng,sha1~leng2~sha1~leng2,沙棱沙棱,沙棱沙棱,srae~NA~srae,*sˤraj~NA~*sˤraj,LiJingEr,SOUND
sī~líu~sī~líu,si~liu~si~liu,si1~liu2~si1~liu2,噝留噝留,噝留噝留,NA~ljuw~NA~ljuw,NA~*C.ru~NA~*C.ru,LiJingEr,SOUND
sī~sī~la~la,si~si~la~la,si1~si1~la5~la5,噝噝啦啦,噝噝啦啦,"NA","NA",LiJingEr,SOUND
sī~pěng~sī~pěng,si~peng~si~peng,si1~peng3~si1~peng3,絲捧絲捧,丝捧丝捧,si~NA~si,*[s]ə~NA~*[s]ə,LiJingEr,SOUND
sī~yǎ~sī~yǎ,si~ya~si~ya,si1~ya3~si1~ya3,噝啞噝啞,噝哑噝哑,NA~'aeX~NA~'aeX,NA~*ʔˤraʔ~NA~*ʔˤraʔ,LiJingEr,SOUND
sà~sà~lā~lā,sa~sa~la~la,sa4~sa4~la1~la1,趿趿拉拉,趿趿拉拉,NA~NA~lop~lop,NA~NA~*[r]ˤəp~*[r]ˤəp,LiJingEr,SOUND
tī~tī~tà~tà,ti~ti~ta~ta,ti1~ti1~ta4~ta4,踢踢踏踏,踢踢踏踏,"NA","NA",LiJingEr,SOUND
wā~hā~hā~hā,wa~ha~ha~ha,wa1~ha1~ha1~ha1,哇哈哈哈,哇哈哈哈,"NA","NA",LiJingEr,SOUND
wā~lī~wā~la,wa~li~wa~la,wa1~li1~wa1~la5,哇哩哇啦,哇哩哇啦,"NA","NA",LiJingEr,SOUND
wū~wā~wū~wā,wu~wa~wu~wa,wu1~wa1~wu1~wa1,嗚哇嗚哇,呜哇呜哇,"NA","NA",LiJingEr,SOUND
wū~hā~hā~hā,wu~ha~ha~ha,wu1~ha1~ha1~ha1,嗚哈哈哈,呜哈哈哈,"NA","NA",LiJingEr,SOUND
wú~lī~wā~la,wu~li~wa~la,wu2~li1~wa1~la5,吾哩哇啦,吾哩哇啦,ngu,*ŋˤa,LiJingEr,SOUND
wū~wā~wū~wā,wu~wa~wu~wa,wu1~wa1~wu1~wa1,嗚哇嗚哇,呜哇呜哇,"NA","NA",LiJingEr,SOUND
wū~wū~nāng~nāng,wu~wu~nang~nang,wu1~wu1~nang1~nang1,嗚嗚囔囔,呜呜囔囔,"NA","NA",LiJingEr,SOUND
wū~wū~yān~yān,wu~wu~yan~yan,wu1~wu1~yan1~yan1,嗚嗚咽咽,呜呜咽咽,NA~NA~'en~'en,NA~NA~*ʔˤi[n]~*ʔˤi[n],LiJingEr,SOUND
xī~lī~hōng~lóng,xi~li~hong~long,xi1~li1~hong1~long2,稀哩轟隆,稀哩轰隆,NA~ljuwng~NA~NA,NA~*[r]uŋ~NA~NA,LiJingEr,SOUND
xī~lī~huā~la,xi~li~hua~la,xi1~li1~hua1~la5,唏哩嘩啦,唏哩哗啦,"NA","NA",LiJingEr,SOUND
xī~xī~hā~hā,xi~xi~ha~ha,xi1~xi1~ha1~ha1,嘻嘻哈哈,嘻嘻哈哈,"NA","NA",LiJingEr,SOUND
xī~sù~xī~sù,xi~su~xi~su,xi1~su4~xi1~su4,窸窣窸窣,窸窣窸窣,"NA","NA",LiJingEr,SOUND
yī~xī~xī~xī,yi~xi~xi~xi,yi1~xi1~xi1~xi1,噫嘻嘻嘻,噫嘻嘻嘻,"NA","NA",LiJingEr,SOUND
yīng~yīng~wēng~wēng,ying~ying~weng~weng,ying1~ying1~weng1~weng1,嚶嚶嗡嗡,嘤嘤嗡嗡,"NA","NA",LiJingEr,SOUND
zhà~zhà~hǔ~hǔ,zha~zha~hu~hu,zha4~zha4~hu3~hu3,咋咋唬唬,咋咋唬唬,"NA","NA",LiJingEr,SOUND
zhēng~guāng~wǎ~liàng,zheng~guang~wa~liang,zheng1~guang1~wa3~liang4,錚光瓦亮,铮光瓦亮,NA~kwang~ngwaeX~ljangH,NA~*kʷˤaŋ~*C.ŋʷˤra[j]ʔ~*[r]aŋ-s,LiJingEr,SOUND
zhī~lī~zhā~la,zhi~li~zha~la,zhi1~li1~zha1~la5,吱哩喳啦,吱哩喳啦,"NA","NA",LiJingEr,SOUND
zhī~nǐu~zhī~nǐu,zhi~niu~zhi~niu,zhi1~niu3~zhi1~niu3,吱扭吱扭,吱扭吱扭,"NA","NA",LiJingEr,SOUND
zhī~zhī~zhā~zhā,zhi~zhi~zha~zha,zhi1~zhi1~zha1~zha1,吱吱喳喳,吱吱喳喳,"NA","NA",LiJingEr,SOUND
yī~yī~yā~yā,yi~yi~ya~ya,yi1~yi1~ya1~ya1,咿咿呀呀,咿咿呀呀,'jij~'jij,*[ʔ]ij~*[ʔ]ij,LiJingEr,SOUND
zhā~zhā~hū~hū,zha~zha~hu~hu,zha1~zha1~hu1~hu1,喳喳呼呼,喳喳呼呼,NA~NA~xu~xu,NA~NA~*qʰˤa~*qʰˤa,LiJingEr,SOUND
zhà~zhà~hū~hū,zha~zha~hu~hu,zha4~zha4~hu1~hu1,咋咋呼呼,咋咋呼呼,NA~NA~xu~xu,NA~NA~*qʰˤa~*qʰˤa,LiJingEr,SOUND
zhī~gā~zhī~gā,zhi~ga~zhi~ga,zhi1~ga1~zhi1~ga1,吱嘎吱嘎,吱嘎吱嘎,"NA","NA",LiJingEr,SOUND
zhī~lī~wā~la,zhi~li~wa~la,zhi1~li1~wa1~la5,吱哩哇啦,吱哩哇啦,"NA","NA",LiJingEr,SOUND
zhī~yo~zhī~yo,zhi~yo~zhi~yo,zhi1~yo5~zhi1~yo5,吱喲吱喲,吱哟吱哟,"NA","NA",LiJingEr,SOUND
zhī~zhī~yā~yā,zhi~zhi~ya~ya,zhi1~zhi1~ya1~ya1,吱吱呀呀,吱吱呀呀,"NA","NA",LiJingEr,SOUND
