pinyintone,pinyinnone,pinyinnum,traditional,simplified,MC,OC,datasource,sensorymod
dé~dé,de~de,de2~de2,得得,得得,tok~tok,*tˤək~*tˤək,WangWanRen,SOUND
dé~lāng~lāng,de~lang~lang,de2~lang1~lang1,得啷啷,得啷啷,tok,*tˤək,WangWanRen,SOUND
dé~lóng~dé~lóng~dōng,de~long~de~long~dong,de2~long2~de2~long2~dong1,得龍得龍咚,得龙得龙咚,tok~ljowng~tok~ljowng,*tˤək~*[mə]-roŋ~*tˤək~*[mə]-roŋ,WangWanRen,SOUND
dé~dé,de~de,de2~de2,嘚嘚,嘚嘚,NA,NA,WangWanRen,SOUND
dēng~dēng,deng~deng,deng1~deng1,蹬蹬,蹬蹬,NA,NA,WangWanRen,SOUND
dēng~dēng,deng~deng,deng1~deng1,噔噔,噔噔,NA,NA,WangWanRen,SOUND
dēng~dēng~dēng,deng~deng~deng,deng1~deng1~deng1,噔噔噔,噔噔噔,NA,NA,WangWanRen,SOUND
dēng~dēng~dēng,deng~deng~deng,deng1~deng1~deng1,登登登,登登登,tong~tong~tong,*k-tˤəŋ~*k-tˤəŋ~*k-tˤəŋ,WangWanRen,SOUND
dī~dā,di~ta,di1~da1,滴嗒,滴嗒,NA,NA,WangWanRen,SOUND
dī~dā~dī~dā,di~ta~di~ta,di1~da1~di1~da1,滴嗒滴嗒,滴嗒滴嗒,NA,NA,WangWanRen,SOUND
dī~dī,di~di,di1~di1,滴滴,滴滴,NA,NA,WangWanRen,SOUND
dī~dī~dá~dá,di~di~da~da,di1~di1~da2~da2,滴滴答答,滴滴答答,NA~NA~top~top,NA~NA~*[t]ˤ[u]p~*[t]ˤ[u]p,WangWanRen,SOUND
dī~dī~dā~dā,di~di~ta~ta,di1~di1~da1~da1,滴滴嗒嗒,滴滴嗒嗒,NA,NA,WangWanRen,SOUND
dī~dī~líng~líng,di~di~ling~ling,di1~di1~ling2~ling2,滴滴鈴鈴,滴滴铃铃,NA,NA,WangWanRen,SOUND
dī~dī~xī~xī,di~di~xi~xi,di1~di1~xi1~xi1,滴滴淅淅,滴滴淅淅,NA,NA,WangWanRen,SOUND
dī~dōng~dī~dōng,di~dong~di~dong,di1~dong1~di1~dong1,滴咚滴咚,滴咚滴咚,NA,NA,WangWanRen,SOUND
dī~lǐ~guā~lā,di~li~gua~la,di1~li3~gua1~la1,滴里瓜拉,滴里瓜拉,NA~liX~kwae~lop,NA~*(mə.)rəʔ~*kʷˤra~*[r]ˤəp,WangWanRen,SOUND
dí~dā,di~ta,di2~da1,嘀嗒,嘀嗒,NA,NA,WangWanRen,SOUND
dí~dí~bā~bā,di~di~ba~ba,di2~di2~ba1~ba1,嘀嘀吧吧,嘀嘀吧吧,NA,NA,WangWanRen,SOUND
dí~dí~dā~dā,di~di~ta~ta,di2~di2~da1~da1,嘀嘀嗒嗒,嘀嘀嗒嗒,NA,NA,WangWanRen,SOUND
dí~dí~gū~gū,di~di~gu~gu,di2~di2~gu1~gu1,嘀嘀咕咕,嘀嘀咕咕,NA,NA,WangWanRen,SOUND
dí~dā,de~ta,di2~da1,的嗒,的嗒,tek,*[t-l]ˤewk,WangWanRen,SOUND
dí~dā~dí~dā,de~ta~de~ta,di2~da1~di2~da1,的嗒的嗒,的嗒的嗒,tek~NA~tek,*[t-l]ˤewk~NA~*[t-l]ˤewk,WangWanRen,SOUND
dí~dá,di~da,di2~da2,笛答,笛答,NA~top,NA~*[t]ˤ[u]p,WangWanRen,SOUND
dí~dí,di~di,di2~di2,笛笛,笛笛,NA,NA,WangWanRen,SOUND
dié~dié,die~die,die2~die2,喋喋,喋喋,NA,NA,WangWanRen,SOUND
dīng~dāng,ding~dang,ding1~dang1,丁當,丁当,teng~tang,*tˤeŋ~*tˤaŋ,WangWanRen,SOUND
dīng~dāng~dīng~dāng,ding~dang~ding~dang,ding1~dang1~ding1~dang1,丁當丁當,丁当丁当,teng~tang~teng~tang,*tˤeŋ~*tˤaŋ~*tˤeŋ~*tˤaŋ,WangWanRen,SOUND
dīng~dīng,ding~ding,ding1~ding1,丁丁,丁丁,teng~teng,*tˤeŋ~*tˤeŋ,WangWanRen,SOUND
dīng~líng,ding~ling,ding1~ling2,丁零,丁零,teng~leng,*tˤeŋ~*[r]ˤiŋ,WangWanRen,SOUND
dīng~líng~dāng~lāng,ding~ling~dang~lang,ding1~ling2~dang1~lang1,丁零當啷,丁零当啷,teng~leng~tang,*tˤeŋ~*[r]ˤiŋ~*tˤaŋ,WangWanRen,SOUND
dīng~líng~dīng~líng,ding~ling~ding~ling,ding1~ling2~ding1~ling2,丁零丁零,丁零丁零,teng~leng~teng~leng,*tˤeŋ~*[r]ˤiŋ~*tˤeŋ~*[r]ˤiŋ,WangWanRen,SOUND
dīng~péng~dīng~péng,ding~peng~ding~peng,ding1~peng2~ding1~peng2,叮硼叮硼,叮硼叮硼,NA,NA,WangWanRen,SOUND
dīng~dāng,ding~dang,ding1~dang1,叮噹,叮噹,NA,NA,WangWanRen,SOUND
dīng~dāng~dīng~dāng,ding~dang~ding~dang,ding1~dang1~ding1~dang1,叮當叮當,叮当叮当,NA~tang~NA~tang,NA~*tˤaŋ~NA~*tˤaŋ,WangWanRen,SOUND
dīng~dīng,ding~ding,ding1~ding1,叮叮,叮叮,NA,NA,WangWanRen,SOUND
dīng~dīng~dāng~dāng,ding~ding~dang~dang,ding1~ding1~dang1~dang1,叮叮當當,叮叮当当,NA~NA~tang~tang,NA~NA~*tˤaŋ~*tˤaŋ,WangWanRen,SOUND
dīng~dīng~dāng~dāng,ding~ding~dang~dang,ding1~ding1~dang1~dang1,叮叮噹噹,叮叮噹噹,NA,NA,WangWanRen,SOUND
dīng~dīng~dōng~dōng,ding~ding~dong~dong,ding1~ding1~dong1~dong1,叮叮咚咚,叮叮咚咚,NA,NA,WangWanRen,SOUND
dīng~dōng,ding~dong,ding1~dong1,叮咚,叮咚,NA,NA,WangWanRen,SOUND
dīng~dōng~líng~dōng,ding~dong~ling~dong,ding1~dong1~ling2~dong1,叮咚玲咚,叮咚玲咚,NA,NA,WangWanRen,SOUND
dīng~líng~líng,ding~ling~ling,ding1~ling2~ling2,叮呤呤,叮呤呤,NA,NA,WangWanRen,SOUND
dīng~líng~líng,ding~ling~ling,ding1~ling2~ling2,叮鈴鈴,叮铃铃,NA,NA,WangWanRen,SOUND
dīng~líng~dāng~lāng,ding~ling~dang~lang,ding1~ling2~dang1~lang1,叮鈴噹啷,叮铃噹啷,NA,NA,WangWanRen,SOUND
dīng~líng~dīng~líng,ding~ling~ding~ling,ding1~ling2~ding1~ling2,叮鈴叮鈴,叮铃叮铃,NA,NA,WangWanRen,SOUND
dīng~dāng,ding~dang,ding1~dang1,玎璫,玎璫,NA,NA,WangWanRen,SOUND
dīng~líng~dīng~líng,ding~ling~ding~ling,ding1~ling2~ding1~ling2,玎玲玎玲,玎玲玎玲,NA,NA,WangWanRen,SOUND
dīng~dāng~dīng~dāng,ding~dang~ding~dang,ding1~dang1~ding1~dang1,釘噹釘噹,钉噹钉噹,teng~NA~teng,*tˤeŋ~NA~*tˤeŋ,WangWanRen,SOUND
dōng~dōng,dong~dong,dong1~dong1,冬冬,冬冬,towng~towng,*tˤuŋ~*tˤuŋ,WangWanRen,SOUND
dōng~dōng~qiāng,dong~dong~qiang,dong1~dong1~qiang1,冬冬鏘,冬冬锵,towng~towng,*tˤuŋ~*tˤuŋ,WangWanRen,SOUND
dōng,dong,dong1,咚,咚,NA,NA,WangWanRen,SOUND
dōng~dōng,dong~dong,dong1~dong1,咚咚,咚咚,NA,NA,WangWanRen,SOUND
