pinyintone,pinyinnone,pinyinnum,traditional,simplified,MC,OC,datasource,sensorymod
dōng,dong,dong1,東,东,tuwng,*tˤoŋ (< *tˤoŋʔ ?),GongLiangYu,SOUND
dōng,dong,dong1,冬,冬,towng,*tˤuŋ,GongLiangYu,SOUND
dōng,dong,dong1,咚,咚,NA,NA,GongLiangYu,SOUND
dōng~dīng,dong~ding,dong1~ding1,東丁,东丁,tuwng~teng,*tˤoŋ (< *tˤoŋʔ ?)~*tˤeŋ,GongLiangYu,SOUND
dōng~dōng,dong~dong,dong1~dong1,冬冬,冬冬,towng~towng,*tˤuŋ~*tˤuŋ,GongLiangYu,SOUND
dōng~dōng,dong~dong,dong1~dong1,咚咚,咚咚,NA,NA,GongLiangYu,SOUND
dōng~dōng~chá,dong~dong~cha,dong1~dong1~cha2,咚咚察,咚咚察,NA~NA~tsrheat,NA~NA~*[tsʰ]ˤret,GongLiangYu,SOUND
dōng~dōng~dāng~dāng,dong~dong~dang~dang,dong1~dong1~dang1~dang1,冬冬當當,冬冬当当,towng~towng~tang~tang,*tˤuŋ~*tˤuŋ~*tˤaŋ~*tˤaŋ,GongLiangYu,SOUND
dū,du,du1,嘟,嘟,NA,NA,GongLiangYu,SOUND
dū~dū,du~du,du1~du1,嘟嘟,嘟嘟,NA,NA,GongLiangYu,SOUND
dū~dū~nāng~nāng,du~du~nang~nang,du1~du1~nang1~nang1,嘟嘟囔囔,嘟嘟囔囔,NA,NA,GongLiangYu,SOUND
dū~dū~nóng~nóng,du~du~nong~nong,du1~du1~nong2~nong2,嘟嘟噥噥,嘟嘟哝哝,NA,NA,GongLiangYu,SOUND
dū~nóng,du~nong,du1~nong2,嘟噥,嘟哝,NA,NA,GongLiangYu,SOUND
dū~lū,du~lu,du1~lu1,嘟嚕,嘟噜,NA,NA,GongLiangYu,SOUND
dǔ~sù,du~su,du3~su4,篤速,笃速,towk~suwk,*tˤuk~*[s]ˤok,GongLiangYu,SOUND
duō,duo,duo1,咄,咄,twot,*[t]ˤut,GongLiangYu,SOUND
duō~duō,duo~duo,duo1~duo1,咄咄,咄咄,twot~twot,*[t]ˤut~*[t]ˤut,GongLiangYu,SOUND
ē~ē,a~a,e1~e1,阿阿,阿阿,'a~'a,*qˤa[j]~*qˤa[j],GongLiangYu,SOUND
è,e,e4,呃,呃,NA,NA,GongLiangYu,SOUND
è~è,ya,e4~e4,啞,哑,'aeX,*ʔˤraʔ,GongLiangYu,SOUND
è~è,ya~ya,e4~e4,啞啞,哑哑,'aeX~'aeX,*ʔˤraʔ~*ʔˤraʔ,GongLiangYu,SOUND
è~è,e~e,e4~e4,呃呃,呃呃,NA,NA,GongLiangYu,SOUND
è~wò,e~o,e4~wo4,呃喔,呃喔,NA,NA,GongLiangYu,SOUND
fèi,fei,fei4,沸,沸,pj+jH,*Nə.p[u][t]-s,GongLiangYu,SOUND
fèi~fèi,fei~fei,fei4~fei4,沸沸,沸沸,pj+jH~pj+jH,*Nə.p[u][t]-s~*Nə.p[u][t]-s,GongLiangYu,SOUND
fú~fú~chī~chī,fu~fu~chi~chi,fu2~fu2~chi1~chi1,咈咈哧哧,咈咈哧哧,bjut~bjut,*[m-p][u]t~*[m-p][u]t,GongLiangYu,SOUND
gā,ga,ga1,嘎,嘎,NA,NA,GongLiangYu,SOUND
gā~bā,ga~ba,ga1~ba1,嘎巴,嘎巴,NA~pae,NA~*pˤra,GongLiangYu,SOUND
gā~bā,ga~ba,ga1~ba1,嘎叭,嘎叭,NA,NA,GongLiangYu,SOUND
gā~chá,ge~cha,ga1~cha2,胳查,胳查,kak,*[C.q]ˤak,GongLiangYu,SOUND
gā~chá,ge~cha,ga1~cha2,胳察,胳察,kak~tsrheat,*[C.q]ˤak~*[tsʰ]ˤret,GongLiangYu,SOUND
gā~chá~chá,ge~cha~cha,ga1~cha2~cha2,胳查查,胳查查,kak,*[C.q]ˤak,GongLiangYu,SOUND
gā~gā,ga~ga,ga1~ga1,嘎嘎,嘎嘎,NA,NA,GongLiangYu,SOUND
gā~lāng~gā~lāng,ga~lang~ga~lang,ga1~lang1~ga1~lang1,嘎啷嘎啷,嘎啷嘎啷,NA,NA,GongLiangYu,SOUND
gā~zhī,ga~zhi,ga1~zhi1,嘎吱,嘎吱,NA,NA,GongLiangYu,SOUND
gā~zhī~gā~zhī,ga~zhi~ga~zhi,ga1~zhi1~ga1~zhi1,嘎吱嘎吱,嘎吱嘎吱,NA,NA,GongLiangYu,SOUND
gé~lǎ,ge~la,ge2~la3,噶喇,噶喇,NA,NA,GongLiangYu,SOUND
gé~zhī~zhī,ge~zhi~zhi,ge2~zhi1~zhi1,噶吱吱,噶吱吱,NA,NA,GongLiangYu,SOUND
gē~bēng,ge~beng,ge1~beng1,咯嘣,咯嘣,NA,NA,GongLiangYu,SOUND
gē~chā,ge~zha,ge1~cha1,咯喳,咯喳,NA,NA,GongLiangYu,SOUND
gē~chǎ~chǎ,ge~cha~cha,ge1~cha3~cha3,疙蹅蹅,疙蹅蹅,NA,NA,GongLiangYu,SOUND
gē~dāng~gē~dāng,ge~dang~ge~dang,ge1~dang1~ge1~dang1,咯當咯當,咯当咯当,NA~tang~NA~tang,NA~*tˤaŋ~NA~*tˤaŋ,GongLiangYu,SOUND
gē~dēng,ge~deng,ge1~deng1,咯噔,咯噔,NA,NA,GongLiangYu,SOUND
gé~dēng,ge~deng,ge2~deng1,格噔,格噔,kaek,*kˤrak,GongLiangYu,SOUND
gé~dēng~gé~dēng,ge~deng~ge~deng,ge2~deng1~ge2~deng1,格噔格噔,格噔格噔,kaek~NA~kaek,*kˤrak~NA~*kˤrak,GongLiangYu,SOUND
gē~gē,ge~ge,ge1~ge1,咯咯,咯咯,NA,NA,GongLiangYu,SOUND
gé~gé,ge~ge,ge2~ge2,格格,格格,kaek~kaek,*kˤrak~*kˤrak,GongLiangYu,SOUND
