pinyinnum,pinyintone,pinyinnone,traditional,simplified,MC,OC,radsup,morph,variant,Kroll,sensorymod,zdic,note,datasource,morphology
ding1~ding1~dang1,dīng~dīng~dāng,ding~ding~dang,叮叮當,叮叮当,NA~NA~tang,NA~NA~*tˤaŋ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ding1~ding1~dang1~dang1,dīng~dīng~dāng~dāng,ding~ding~dang~dang,丁丁當當,丁丁当当,teng~teng~tang~tang,*tˤeŋ~*tˤeŋ~*tˤaŋ~*tˤaŋ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ding1~ding1~dang1~dang1,dīng~dīng~dāng~dāng,ding~ding~dang~dang,叮叮噹噹,叮叮噹噹,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ding1~ding1~dang1~dang1,dīng~dīng~dāng~dāng,ding~ding~dang~dang,叮叮當當,叮叮当当,NA~NA~tang~tang,NA~NA~*tˤaŋ~*tˤaŋ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ding1~ding1~dang1~dang1,dīng~dīng~dāng~dāng,ding~ding~dang~dang,玎玎璫璫,玎玎璫璫,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ding1~ding1~dang1~dang1,dīng~dīng~dāng~dāng,ding~ding~dang~dang,釘釘鐺鐺,钉钉铛铛,teng~teng,*tˤeŋ~*tˤeŋ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ding1~ding1~dong1,dīng~dīng~dōng,ding~ding~dong,叮叮咚,叮叮咚,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ding1~dong1,dīng~dōng,ding~dong,丁冬,丁冬,teng~towng,*tˤeŋ~*tˤuŋ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ding1~dong3,dīng~dǒng,ding~dong,丁董,丁董,teng,*tˤeŋ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ding1~ding1~dong3~dong3,dīng~dīng~dǒng~dǒng,ding~ding~dong~dong,丁丁董董,丁丁董董,teng~teng,*tˤeŋ~*tˤeŋ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
