pinyinnum,pinyintone,pinyinnone,traditional,simplified,MC,OC,radsup,morph,variant,Kroll,sensorymod,zdic,note,datasource,morphology
yi3~xi4,yǐ~xì,yi~xi,靉霼,靉霼,j+jX~xj+JH,NA~NA,云,RR,"NA","overclouded in murk, darksome and dim",NA,"NA",different readings ai4 > yi3,Kroll,NA
ai4~pei4,ài~pèi,ai~pei,靉靅,靉靅,'ojhH~pjojH,NA~NA,云,RR,"NA",lowering and layered with clouds,NA,"NA","NA",Kroll,NA
ai4~dai4,ài~dài,ai~dai,靉靆,靉靆,'ojH~dojH,NA~NA,云,RR,"NA",heavy w clouds,NA,雲多而昏暗的樣子。晉．潘尼．逸民吟：「朝雲靉靆，行露未晞。」唐．鄭谷．入閣詩：「壽山晴靉靆，顥氣暖連延。」眼鏡。見明．田藝蘅．留青日札摘抄．卷二．靉靆。,from arthur,Kroll,NA
yang1~chang2,yāng~cháng,yang~chang,鞅常,鞅常,'jangX~dzyang,NA~*[d]aŋ,"NA",RR,"NA","ample and abundant, more than one wants or needs",NA,"NA","NA",Kroll,NA
yang1~zhang3,yāng~zhǎng,yang~zhang,鞅掌,鞅掌,'jangX~tsyangX,NA~*[k.t]aŋʔ,"NA",RR,"NA","bothered and beleaguered, pester(ed) and pick(ed) at, provoked and piqued",NA,煩勞、忙碌。詩經．小雅．北山：「或棲遲偃仰，王事鞅掌。」無暇修飾儀容。幼學瓊林．卷三．人事類：「不暇脩容曰鞅掌。」,"NA",Kroll,NA
ju1~gong1,jū~gōng,ju~gong,鞠躬,鞠躬,kjuwk~kjuwng,NA~*k(r)uŋ,"NA",RR,"NA",bow respectfully,NA,彎腰行禮。五代史平話．唐史．卷上：「赤心到殿下，金甲人喝令拜。赤心鞠躬跪拜。」初刻拍案驚奇．卷七：「張果道：『不可！不可！弟子當侍立。』小道士遵師言，鞠躬傍站。」反立正,"NA",Kroll,NA
xie2~hua2,xié~huá,xie~hua,頡滑,颉滑,het~heat,NA~*Nə-gˤrut,"NA",RR,"NA","tangled and twisted, fuddle and muddled, involved and embroiled, captious and equivocal",NA,錯亂。莊子．徐无鬼：「頡滑有實，古今不代。」不正的言辭。莊子．胠篋：「知詐漸毒頡滑堅白解垢同異之變多，則俗惑於辨矣。」,"NA",Kroll,NA
xie2~hang2,xié~háng,xie~hang,頡頏,颉颃,het~hang,NA~NA,頁,RR,"NA","soar and swoop, soaring high and swooping low, darting in and out; equally matched, almost the same; stiff-necked, aloof and arrogant; cracked and crazy, esp. of speech",NA,鳥飛上飛下，跳躍的樣子。文選．張衡．歸田賦：「交頸頡頏，關關嚶嚶。」聊齋志異．卷一．王成：「進退頡頏，相持約一伏時，玉鶉漸懈。」不相上下。晉書．卷九十二．文苑傳．序：「頡頏名輩，並綜採繁縟。」明．李玉．占花魁．第二十三齣：「性度粗疏豪放，與劉伶伯仲，阮籍頡頏。」剛直傲慢。文選．夏侯湛．東方朔畫贊：「苟出不可以直道也，頡頏以傲世。」奇特的言辭。文選．揚雄．解嘲：「是故鄒衍以頡頏而取世資。」,"NA",Kroll,NA
pin2~fan2,pín~fán,pin~fan,頻煩,频烦,bjin~bjon,*[b]i[n]~*[b]a[n],頁,RR,"NA","(med.) attentively, with care and courtesy; cordially; gallantly",NA,屢次、頻頻。晉書．卷七十三．庾亮傳：「弱冠濯纓，沐浴芳風，頻煩省闥，出總六軍，十餘年間，位超先達。」一再煩勞。唐．杜甫．蜀相詩：「三顧頻煩天下計，兩朝開濟老臣心。」,"NA",Kroll,NA
liao2~li4,liáo~lì,liao~li,飉濿,飉濿,lew~ljejH,NA~NA,"NA",RR,"NA",lilt and lift (wind); clear and resonant (music),NA,"NA",cf. 嘹唳、寥唳 liao2li4,Kroll,NA
tie4~qie4,tiè~qiè,tie~qie,餮切,餮切,thet~tshet,*[tʰ]ˤət~*[tsʰ]ˤi[t],"NA",RR,"NA","swiftly sweeping, slightly soughing (of wind)",NA,"NA","NA",Kroll,NA
po3~e2,pǒ~é,po~e,駊騀,駊騀,phaX~ngaX,NA~NA,馬,RR,"NA","descriptive of a horse shaking or tossing its head; also, proud hauteur",NA,高大的樣子。文選．揚雄．甘泉賦：「崇丘陵之駊騀兮，深溝嶔巖而為谷。」形容心神蕩漾。唐．韓偓．多情詩：「酒蕩襟懹微駊騀，春牽情緒更融怡。」,"NA",Kroll,NA
kui2~ju4,kuí~jù,kui~ju,騤瞿,騤瞿,gwij~kjuH,NA~*[g]ʷ(r)a,"NA",RR,"NA","race off in alarm, scatter in surprise, stampede and flee",NA,"NA","NA",Kroll,NA
jiao1~ao4,jiāo~ào,jiao~ao,驕傲,骄傲,kjew~ngawH,NA~NA,"NA",RR,"NA",proudness,NA,傲慢自大而輕視他人。晉書．卷七十六．王廙傳：「驕傲自負，有罔上心。」三國演義．第二回：「官拜河東太守，自來驕傲。當日怠慢了玄德，張飛性發，便欲殺之。」近高慢、高傲、驕橫、驕氣、自大、自高、自豪、傲慢反謙虛、謙遜、虛心、自卑,"NA",Kroll,NA
kang3~zang3,kǎng~zǎng,kang~zang,骯髒,肮髒,khangX~tsangX,NA~NA,骨,RR,"NA","fat and fleshy, well-fed, burly and bulky, hulking; blunt, firm and forceful, staunch and strong",NA,高亢剛直的樣子。宋．文天祥．得兒女消息詩：「骯髒到頭方是漢，娉婷更欲向何人。」元．元好問．古意詩：「楩楠千歲姿，骯髒空谷中。」汙穢、不潔。紅樓夢．第五回：「到頭來依舊是風塵骯髒違心願，好一似無瑕白玉遭泥陷。」老殘遊記二編．第一回：「只是香鋪子裡被褥，什麼人都蓋，骯髒得了不得，怎麼蓋呢？」近汙穢、齷齪反乾淨、潔淨、清潔亦作「唵噆」、「腌䐶」、「腌臢」。比喻窩囊、惡劣。醒世恆言．卷三．賣油郎獨占花魁：「那主兒或是年老的，或是貌醜的，或是一字不識的村牛，你卻不骯髒了一世！」亦作「唵噆」、「腌䐶」、「腌臢」。,"cf. 抗髒 kang4zang3 (MC khangH-tsangX) firm and forceful, staunch and strong",Kroll,NA
pi1~er2,pī~ér,pi~er,髬髵,髬髵,phij~nyi,NA~NA,髟,RR,"NA","bristling coat of fierce animal, hispid and bristling; toss one's shaggy mane",NA,"NA","NA",Kroll,NA
zheng1~ning2,zhēng~níng,zheng~ning,鬇鬡,鬇鬡,dzraeng~nreang,NA~NA,髟,RR,"NA","(med.) ragged and shabby, scruffy and scraggly, esp. of animal fur; foul and hideous, repulsive, odious and obnoxious",NA,鬚髮蓬亂的樣子。唐．韓愈、孟郊．征蜀聯句：「怒鬚猶鬇鬡，斷臂仍𤬁𤫶。」醜陋、醜惡的樣子。唐．元稹．酬獨孤二十六送歸通州詩：「下觀鬇鬡輩，一掃冀不存。」聊齋志異．卷四．羅剎海市：「以次各指其官職，率鬇鬡怪異。」,"NA",Kroll,NA
hong2~meng2,hóng~méng,hong~meng,鴻蒙,鸿蒙,huwng~muwng,*[g]ˤoŋ~*mˤoŋ,"NA",RR,"NA",vast vagueness,NA,自然的元氣。莊子．在宥：「雲將東遊，過扶搖之枝，而適遭鴻蒙。」唐．柳宗元．愚溪詩序：「以愚辭歌愚溪，則茫然而不違，昏然而同歸，超鴻蒙，混希夷，寂寥而莫我知也。」或作「鴻濛」。,"NA",Kroll,NA
you3~jiu1,yǒu~jiū,you~jiu,黝糾,黝纠,'jiwX~jiwX,NA~*k<r>iwʔ,"NA",RR,"NA",conjoined and connected,NA,林木相連繞。文選．王延壽．魯靈光殿賦：「傍夭蟜以橫出，互黝糾而博負。」,jiu1 or jiu3?,Kroll,NA
tan3~an4,tǎn~àn,tan~an,黮暗,黮暗,thomX~'uomH,NA~*qˤum-s,"NA",RR,"黯黮, 黮暗, 黮䨴, 黮黮","grim and gloomy, sullen and somber, bleak and black",NA,不明白的樣子。莊子．齊物論：「人固受其黮闇，吾誰使正之？」,"NA",Kroll,NA
an4~can3,àn~cǎn,an~can,黯慘,黯惨,'amH~tshomX,NA~NA,"NA",RR,"NA",dim and dreary,NA,陰暗慘淡的樣子。唐．徐夤．過驪山賦：「但見愁雲黯慘，疊嶂嶙峋。」,"NA",Kroll,NA
an4~tan3,àn~tǎn,an~tan,黯黮,黯黮,'ieamX~thomX,NA~NA,黑,RR,"黯黮, 黮暗, 黮䨴, 黮黮","grim and gloomy, sullen and somber, bleak and black",NA,昏暗不明的樣子。楚辭．宋玉．九辯：「彼日月之照明兮，尚黯黮而有瑕。」,"NA",Kroll,NA
yan3~yi4,yǎn~yì,yan~yi,黶翳,黶翳,'jemX~'ejH,NA~NA,"NA",RR,"NA",somebrously shaded,NA,寂寞的樣子。文選．王延壽．魯靈光殿賦：「屹鏗瞑以勿罔，屑黶翳以懿濞。」,"NA",Kroll,NA
min3~mian3,mǐn~miǎn,min~mian,黽勉,黾勉,mjenX~mjenX,*mˤrəŋʔ~*mr[o][r]ʔ,"NA",RR,"NA",do all that one can do; willy-nilly,NA,勉勵、努力。詩經．邶風．谷風：「黽勉同心，不宜有怒。」明．陸世廉．西臺記．第四齣：「掉行不顧，從萬死一生中，黽勉經營，不遺餘力。」或作「僶勉」、「僶俛」。,"NA",Kroll,NA
ju3~yu3,jǔ~yǔ,ju~yu,齟齬,龃龉,dzrjoX~ngjoX,NA~NA,齒,RR,"NA","irregularly fitting teeth, unmatched and uneven, jutting and jagged; discordant, inapt",NA,牙齒上下不整齊。比喻彼此不合。唐．白居易．達理詩二首之一：「誰能坐自苦？齟齬在其中。」宋史．卷三九五．方信孺傳：「既齟齬歸，營居室巖竇，自放於詩酒。」近爭執,cf. 岨峿 ju3yu3,Kroll,NA
zou1~ou2,zōu~óu,zou~ou,齱齵,齱齵,tsrjuw~nguw,NA~NA,齒,RR,"NA","mismatched, misaligned; crooked teeth",NA,"NA","NA",Kroll,NA
wo4~chuo4,wò~chuò,wo~chuo,齷齪,龌龊,'aewk~tsrhaewk,NA~NA,齒,RR,"握齱, 齷齪","strait and narrow, cramped and confined",NA,拘於瑣碎，限於狹隘。南朝宋．鮑照．代放歌行：「小人自齷齪，安知曠士懷？」唐．王勃．秋日遊蓮池序：「人間齷齪，抱風雲者幾人？」反大方、大量或作「握齪」。不乾淨。宋．陸游．六月二十五日曉出郊詩：「短衣射虎性所樂，不耐齷齪垂車幨。」文明小史．第十回：「我這棧房裡齷齪得很，而且是個小地方，不是你大人可以常來的。」近腌臢、骯髒、汙穢反乾潔、純潔,"NA",Kroll,NA
jin4~xie4,jìn~xiè,jin~xie,齽齘,齽齘,gimH~heajH,NA~NA,齒,RR,"NA",grind one's teeth,NA,"NA","NA",Kroll,NA
long2~zhong1,lóng~zhōng,long~zhong,龍鐘,龙钟,luwng~tsyowng,*[mə]-roŋ~*toŋ,"NA",RR,"NA","weakened, frail; displeased, dissatisfied, frustrated; proceed unsteadily, haltering and faltering; tears flowing",NA,年老體衰行動不便的樣子。唐．劉長卿．江州重別薛六柳八二員外詩：「今日龍鍾人共老，媿君猶遣慎風波。」唐．杜甫．寄彭州高三十五使君適虢州岑二十七長史參三十韻：「何太龍鍾極？於今出處妨。」潦倒失意。唐．元載．別妻王韞秀詩：「年來誰不厭龍鍾？雖在侯門不見容。」流淚的樣子。唐．岑參．逢入京使詩：「故園東望路漫漫，雙袖龍鍾淚不乾。」,"NA",Kroll,NA
ta4~yan1,tà~yān,ta~yan,嗒焉,嗒焉,thap~'jen,NA~*ʔa[n],口,YAN,"NA","in a trance, as though embodied",NA,"NA","NA",Kroll,NA
ta1~yan1,tā~yān,ta~yan,荅焉,荅焉,thop~'jen,*[t]ˤ[ə]p~*ʔa[n],"NA",YAN,"NA",hopelessly; dejectedly,NA,"NA",荅 ta2 also da2 (MC top); cf. 荅然 ta2ran2,Kroll,NA
zheng1~zheng1,zhēng~zhēng,zheng~zheng,丁丁,丁丁,teng~teng,*tˤeŋ~*tˤeŋ,NA,NA,NA,NA,SOUND,NA,NA,Shijing,REDUPLICATION
yu2~jie1,yú~jiē,yu~jie,于嗟,于嗟,hju~tsjae,*ɢʷ(r)a~*tsAj,NA,NA,NA,NA,SOUND,NA,NA,Shijing,DIFFERENT
yu2~jie1,yú~jiē,yu~jie,于嗟,于嗟,hju~tsjae,*ɢʷ(r)a~*tsAj,NA,NA,NA,NA,SOUND+EVALUATION,NA,NA,Shijing,DIFFERENT
yu2~jie1,yú~jiē,yu~jie,于嗟,于嗟,hju~tsjae,*ɢʷ(r)a~*tsAj,NA,NA,NA,NA,SOUND+FEELING,NA,NA,Shijing,DIFFERENT
yu2~jie1~hu1,yú~jiē~hū,yu~jie~hu,于嗟乎,于嗟乎,hju~tsjae~hu,*ɢʷ(r)a~*tsAj~*ɢˤa,NA,NA,NA,NA,SOUND+EVALUATION,NA,NA,Shijing,DIFFERENT
yu2~jie1~hu1,yú~jiē~hū,yu~jie~hu,于嗟乎,于嗟乎,hju~tsjae~hu,*ɢʷ(r)a~*tsAj~*ɢˤa,NA,NA,NA,NA,SOUND+FEELING,NA,NA,Shijing,DIFFERENT
men2~men2,mén~mén,men~men,亹亹,亹亹,mwon~mwon,*mˤər~*mˤər,NA,NA,NA,NA,EVALUATION,NA,NA,Shijing,REDUPLICATION
chou2~chou2,chóu~chóu,chou~chou,仇仇,仇仇,gjuw~gjuw,*[g](r)u~*[g](r)u,NA,NA,NA,NA,EVALUATION,NA,NA,Shijing,REDUPLICATION
yi4~yi4,yì~yì,yi~yi,仡仡,仡仡,ngj+t~ngj+t,*[ŋ]ət~*[ŋ]ət,NA,NA,NA,NA,VISUAL,NA,NA,Shijing,REDUPLICATION
ling4~ling4,lìng~lìng,ling~ling,令令,令令,leng~leng,*[r]ˤiŋ~*[r]ˤiŋ,NA,NA,NA,NA,SOUND,NA,NA,Shijing,REDUPLICATION
ji4~ji4,jì~jì,ji~ji,伎伎,伎伎,gjeX~gjeX,*[g]reʔ~*[g]reʔ,NA,NA,NA,NA,MOVEMENT,NA,NA,Shijing,REDUPLICATION
xiu1~xiu1,xīu~xīu,xiu~xiu,休休,休休,xjuw~xjuw,*qʰ(r)u~*qʰ(r)u,NA,NA,NA,NA,EVALUATION,NA,NA,Shijing,REDUPLICATION
ban4~huan4,bàn~huàn,ban~huan,伴奐,伴奂,banX~NA,*[C.b]ˤanʔ~NA,NA,NA,NA,NA,EVALUATION,NA,NA,Shijing,RHYME
pi1~pi1,pī~pī,pi~pi,伾伾,伾伾,"NA","NA",NA,NA,NA,NA,VISUAL+EVALUATION,NA,NA,Shijing,REDUPLICATION
ci3~ci3,cǐ~cǐ,ci~ci,佌佌,佌佌,"NA","NA",NA,NA,NA,NA,VISUAL,NA,NA,Shijing,REDUPLICATION
tuo2~tuo2,tuó~tuó,tuo~tuo,佗佗,佗佗,tha~tha,*l̥ˤaj~*l̥ˤaj,NA,NA,NA,NA,EVALUATION,NA,NA,Shijing,REDUPLICATION
tiao1~tiao1,tiāo~tiāo,tiao~tiao,佻佻,佻佻,"NA","NA",NA,NA,NA,NA,EVALUATION,NA,NA,Shijing,REDUPLICATION
yu3~yu3,yǔ~yǔ,yu~yu,俁俁,俣俣,"NA","NA",NA,NA,NA,NA,VISUAL,NA,NA,Shijing,REDUPLICATION
qiu2~qiu2,qíu~qíu,qiu~qiu,俅俅,俅俅,"NA","NA",NA,NA,NA,NA,EVALUATION,NA,NA,Shijing,REDUPLICATION
si4~si4,sì~sì,si~si,俟俟,俟俟,zriX~zriX,*s-[ɢ]rəʔ~*s-[ɢ]rəʔ,NA,NA,NA,NA,MOVEMENT,NA,NA,Shijing,REDUPLICATION
chuang4~huang3,chuàng~huǎng,chuang~huang,倉兄,仓兄,tshang~xjwaeng,*[s.r̥]ˤaŋ~*m̥raŋ,NA,NA,NA,NA,FEELING,NA,NA,Shijing,RHYME
yan3~yang3,yǎn~yǎng,yan~yang,偃仰,偃仰,'jonX~ngjangX,*ʔa[n]ʔ~*C.ŋaŋʔ,NA,NA,NA,NA,VISUAL,NA,NA,Shijing,RHYME
xie2~xie2,xié~xié,xie~xie,偕偕,偕偕,keaj~keaj,*kˤrij~*kˤrij,NA,NA,NA,NA,EVALUATION,NA,NA,Shijing,REDUPLICATION
bang4~bang4,bàng~bàng,bang~bang,傍傍,傍傍,bangH~bangH,*[b]ˤaŋ-s~*[b]ˤaŋ-s,NA,NA,NA,NA,MOVEMENT,NA,NA,Shijing,REDUPLICATION
suo1~suo1,suō~suō,suo~suo,傞傞,傞傞,"NA","NA",NA,NA,NA,NA,MOVEMENT,NA,NA,Shijing,REDUPLICATION
xian1~xian1,xiān~xiān,xian~xian,僊僊,仙仙,sjen~sjen,*[s]a[r]~*[s]a[r],NA,NA,NA,NA,MOVEMENT,NA,NA,Shijing,REDUPLICATION
qi1~qi1,qī~qī,qi~qi,僛僛,僛僛,"NA","NA",NA,NA,NA,NA,MOVEMENT,NA,NA,Shijing,REDUPLICATION
tong2~tong2,tóng~tóng,tong~tong,僮僮,童童,"NA","NA",NA,NA,NA,NA,VISUAL,NA,NA,Shijing,REDUPLICATION
biao1~biao1,biāo~biāo,biao~biao,儦儦,儦儦,"NA","NA",NA,NA,NA,NA,MOVEMENT+VISUAL,NA,NA,Shijing,REDUPLICATION
you1~you1,yōu~yōu,you~you,優優,优优,'juw~'juw,*ʔ(r)u~*ʔ(r)u,NA,NA,NA,NA,EVALUATION,NA,NA,Shijing,REDUPLICATION
jing1~jing1,jīng~jīng,jing~jing,兢兢,兢兢,king~king,*k(r)əŋ~*k(r)əŋ,NA,NA,NA,NA,FEELING,NA,NA,Shijing,REDUPLICATION
jing1~jing1,jīng~jīng,jing~jing,兢兢,兢兢,king~king,*k(r)əŋ~*k(r)əŋ,NA,NA,NA,NA,VISUAL+EVALUATION,NA,NA,Shijing,REDUPLICATION
ming2~ming2,míng~míng,ming~ming,冥冥,冥冥,meng~meng,*mˤeŋ~*mˤeŋ,NA,NA,NA,NA,VISUAL,NA,NA,Shijing,REDUPLICATION
ji1~ji1,jī~jī,ji~ji,几几,几几,kijX~kijX,*C.kr[ə]jʔ~*C.kr[ə]jʔ,NA,NA,NA,NA,EVALUATION,NA,NA,Shijing,REDUPLICATION
qie1~qie1,qiē~qiē,qie~qie,切切,切切,tshet~tshet,*[tsʰ]ˤi[t]~*[tsʰ]ˤi[t],NA,NA,NA,NA,SOUND,NA,NA,Tang,RED
mian3~mian3,miǎn~miǎn,mian~mian,勉勉,勉勉,mjenX~mjenX,*mr[o][r]ʔ~*mr[o][r]ʔ,NA,NA,NA,NA,EVALUATION,NA,NA,Shijing,REDUPLICATION
ang2~ang2,áng~áng,ang~ang,卬卬,卬卬,ngang~ngang,*[k.ŋ]ˤaŋ~*[k.ŋ]ˤaŋ,NA,NA,NA,NA,EVALUATION,NA,NA,Shijing,REDUPLICATION
yan4~yan4,yàn~yàn,yan~yan,厭厭,厌厌,'jiep~'jiep,*ʔep~*ʔep,NA,NA,NA,NA,FEELING,NA,NA,Shijing,REDUPLICATION
yan4~yan4,yàn~yàn,yan~yan,厭厭,厌厌,'jiep~'jiep,*ʔep~*ʔep,NA,NA,NA,NA,VISUAL,NA,NA,Shijing,REDUPLICATION
yan4~yan4,yàn~yàn,yan~yan,厭厭,厌厌,'jiep~'jiep,*ʔep~*ʔep,NA,NA,NA,NA,VISUAL+EVALUATION,NA,NA,Shijing,REDUPLICATION
cen1~ci1,cēn~cī,cen~ci,參差,参差,tshom~tsrhae,r̥ˤəʔ~*tsʰraj,NA,NA,NA,NA,MOVEMENT+EVALUATION,NA,NA,Tang,ALLIT
cen1~ci1,cēn~cī,cen~ci,參差,参差,tshom~tsrhae,r̥ˤəʔ~*tsʰraj,NA,NA,NA,NA,VISUAL,NA,NA,Shijing,ALLITERATION
fan3~fan3,fǎn~fǎn,fan~fan,反反,反反,baenX~baenX,*[b]ˤranʔ~*[b]ˤranʔ,NA,NA,NA,NA,EVALUATION,NA,NA,Shijing,REDUPLICATION
sou3~sou3,sǒu~sǒu,sou~sou,叟叟,叟叟,suwX~suwX,*s-ruʔ (dialect: > *sruʔ > MC srjuwX > sruwX > suwX)~*s-ruʔ (dialect: > *sruʔ > MC srjuwX > sruwX > suwX),NA,NA,NA,NA,SOUND,NA,NA,Shijing,REDUPLICATION
yan1~yan1,yān~yān,yan~yan,咽咽,咽咽,'en~'en,*ʔˤi[n]~*ʔˤi[n],NA,NA,NA,NA,SOUND,NA,NA,Shijing,REDUPLICATION
ai1~ai1,āi~āi,ai~ai,哀哀,哀哀,'oj~'oj,*ʔˤəj~*ʔˤəj,NA,NA,NA,NA,SOUND+FEELING,NA,NA,Shijing,REDUPLICATION
feng3~feng3,fěng~fěng,feng~feng,唪唪,唪唪,"NA","NA",NA,NA,NA,NA,VISUAL,NA,NA,Shijing,REDUPLICATION
wei2~wei2,wéi~wéi,wei~wei,唯唯,唯唯,ywij~ywij,*ɢʷij (< *ɢʷuj?)~*ɢʷij (< *ɢʷuj?),NA,NA,NA,NA,MOVEMENT,NA,NA,Shijing,REDUPLICATION
tun1~tun1,tūn~tūn,tun~tun,啍啍,啍啍,"NA","NA",NA,NA,NA,NA,SOUND+MOVEMENT,NA,NA,Shijing,REDUPLICATION
jiu1~jiu1,jīu~jīu,jiu~jiu,啾啾,啾啾,"NA","NA",NA,NA,NA,NA,SOUND,NA,NA,Tang,RED
jie1~jie1,jiē~jiē,jie~jie,喈喈,喈喈,keaj~keaj,*kˤrəj~*kˤrəj,NA,NA,NA,NA,SOUND,NA,NA,Shijing,REDUPLICATION
yao1~yao1,yāo~yāo,yao~yao,喓喓,喓喓,"NA","NA",NA,NA,NA,NA,SOUND,NA,NA,Shijing,REDUPLICATION
huang2~huang2,huáng~huáng,huang~huang,喤喤,喤喤,"NA","NA",NA,NA,NA,NA,SOUND,NA,NA,Shijing,REDUPLICATION
jie1~jie1,jiē~jiē,jie~jie,嗟嗟,嗟嗟,tsjae~tsjae,*tsAj~*tsAj,NA,NA,NA,NA,SOUND+FEELING,NA,NA,Shijing,REDUPLICATION
ao2~ao2,áo~áo,ao~ao,嗷嗷,嗷嗷,"NA","NA",NA,NA,NA,NA,SOUND,NA,NA,Shijing,REDUPLICATION
hui4~hui4,hùi~hùi,hui~hui,嘒嘒,嘒嘒,xwejH~xwejH,*qʷʰˤi[t]-s~*qʷʰˤi[t]-s,NA,NA,NA,NA,SOUND,NA,NA,Shijing,REDUPLICATION
ou1~ya3,ōu~yǎ,ou~ya,嘔啞,呕哑,'uwX~'aeX,*qˤ(r)oʔ~*ʔˤraʔ,NA,NA,NA,NA,SOUND,NA,NA,Tang,ALLIT
chan3~chan3,chǎn~chǎn,chan~chan,嘽嘽,啴啴,than~than,*tʰˤar~*tʰˤar,NA,NA,NA,NA,SOUND,NA,NA,Shijing,REDUPLICATION
chan3~chan3,chǎn~chǎn,chan~chan,嘽嘽,啴啴,than~than,*tʰˤar~*tʰˤar,NA,NA,NA,NA,SOUND+VISUAL,NA,NA,Shijing,REDUPLICATION
hui4~hui4,huì~huì,hui~hui,噦噦,哕哕,"NA","NA",NA,NA,NA,NA,SOUND,NA,NA,Shijing,REDUPLICATION
hui4~hui4,huì~huì,hui~hui,噦噦,哕哕,"NA","NA",NA,NA,NA,NA,VISUAL,NA,NA,Shijing,REDUPLICATION
yi1~xi1,yī~xī,yi~xi,噫嘻,噫嘻,"NA","NA",NA,NA,NA,NA,SOUND+FEELING,NA,NA,Shijing,ASSONANCE
kuai4~kuai4,kuài~kuài,kuai~kuai,噲噲,哙哙,khwaejH~khwaejH,*kʰr[o][p]-s~*kʰr[o][p]-s,NA,NA,NA,NA,VISUAL,NA,NA,Shijing,REDUPLICATION
ying1~ying1,yīng~yīng,ying~ying,嚶嚶,嘤嘤,"NA","NA",NA,NA,NA,NA,SOUND,NA,NA,Shijing,REDUPLICATION
xiao1~xiao1,xiāo~xiāo,xiao~xiao,囂囂,嚣嚣,ngaw~ngaw,*[ŋ]ˤaw~*[ŋ]ˤaw,NA,NA,NA,NA,EVALUATION,NA,NA,Shijing,REDUPLICATION
xiao1~xiao1,xiāo~xiāo,xiao~xiao,囂囂,嚣嚣,ngaw~ngaw,*[ŋ]ˤaw~*[ŋ]ˤaw,NA,NA,NA,NA,SOUND,NA,NA,Shijing,REDUPLICATION
kan3~kan3,kǎn~kǎn,kan~kan,坎坎,坎坎,khomX~khomX,*[k]ʰˤomʔ~*[k]ʰˤomʔ,NA,NA,NA,NA,SOUND,NA,NA,Shijing,REDUPLICATION
tu2~tu2,tú~tú,tu~tu,塗塗,涂涂,du~du,*lˤa~*lˤa,NA,NA,NA,NA,VISUAL,NA,NA,Shijing,REDUPLICATION
zeng1~zeng1,zēng~zēng,zeng~zeng,增增,增增,tsong~tsong,*s-tˤəŋ~*s-tˤəŋ,NA,NA,NA,NA,VISUAL,NA,NA,Shijing,REDUPLICATION
meng4~meng4,mèng~mèng,meng~meng,夢夢,梦梦,mjuwngH~mjuwngH,*C.məŋ-s~*C.məŋ-s,NA,NA,NA,NA,VISUAL,NA,NA,Shijing,REDUPLICATION
yao1~yao1,yāo~yāo,yao~yao,夭夭,夭夭,'jew~'jew,*[ʔ](r)aw~*[ʔ](r)aw,NA,NA,NA,NA,EVALUATION,NA,NA,Shijing,REDUPLICATION
yao1~yao1,yāo~yāo,yao~yao,夭夭,夭夭,'jew~'jew,*[ʔ](r)aw~*[ʔ](r)aw,NA,NA,NA,NA,VISUAL,NA,NA,Shijing,REDUPLICATION
yang1~yang1,yāng~yāng,yang~yang,央央,央央,'jang~'jang,*ʔaŋ~*ʔaŋ,NA,NA,NA,NA,SOUND,NA,NA,Shijing,REDUPLICATION
yang1~yang1,yāng~yāng,yang~yang,央央,央央,'jang~'jang,*ʔaŋ~*ʔaŋ,NA,NA,NA,NA,VISUAL,NA,NA,Shijing,REDUPLICATION
qi4~qi4,qì~qì,qi~qi,契契,契契,khejH~khejH,*[kʰ]ˤet-s~*[kʰ]ˤet-s,NA,NA,NA,NA,FEELING,NA,NA,Shijing,REDUPLICATION
qi4~kuo4,qì~kuò,qi~kuo,契闊,契阔,khejH~khwat,*[kʰ]ˤet-s~*[k]ʰˤot,NA,NA,NA,NA,VISUAL,NA,NA,Shijing,PARARHYME
ben1~ben1,bēn~bēn,ben~ben,奔奔,奔奔,pwon~pwon,*pˤur~*pˤur,NA,NA,NA,NA,MOVEMENT,NA,NA,Shijing,REDUPLICATION
yi4~yi4,yì~yì,yi~yi,奕奕,奕奕,yek~yek,*[ɢ](r)Ak~*[ɢ](r)Ak,NA,NA,NA,NA,VISUAL,NA,NA,Shijing,REDUPLICATION
yi4~yi4,yì~yì,yi~yi,奕奕,奕奕,yek~yek,*[ɢ](r)Ak~*[ɢ](r)Ak,NA,NA,NA,NA,VISUAL+EVALUATION,NA,NA,Shijing,REDUPLICATION
wei3~yi2,wěi~yí,wei~yi,委蛇,委蛇,'jwe~zyae,*q(r)oj~*Cə.lAj,NA,NA,NA,NA,EVALUATION,NA,NA,Shijing,RHYME
huan2~huan2,huán~huán,huan~huan,嬛嬛,嬛嬛,"NA","NA",NA,NA,NA,NA,VISUAL+EVALUATION,NA,NA,Shijing,REDUPLICATION
nie4~nie4,niè~niè,nie~nie,孽孽,孽孽,"NA","NA",NA,NA,NA,NA,VISUAL+EVALUATION,NA,NA,Shijing,REDUPLICATION
an1~an1,ān~ān,an~an,安安,安安,'an~'an,*[ʔ]ˤa[n]~*[ʔ]ˤa[n],NA,NA,NA,NA,VISUAL+EVALUATION,NA,NA,Shijing,REDUPLICATION
mi4~mi4,mì~mì,mi~mi,密密,密密,mit~mit,*mri[t]~*mri[t],NA,NA,NA,NA,VISUAL,NA,NA,Tang,RED
shi2~shi2,shí~shí,shi~shi,實實,实实,zyit~zyit,*mə.li[t]~*mə.li[t],NA,NA,NA,NA,VISUAL,NA,NA,Shijing,REDUPLICATION
