pinyinnum,pinyintone,pinyinnone,traditional,simplified,MC,OC,radsup,variant,Kroll,sensorymod,zdic,note,datasource,morphology,H1,H2,H3,H4,H1.freq,H2.freq,H3.freq,H4.freq,H1.comb.freq,H2.comb.freq,H3.comb.freq,H4.comb.freq,H1.sem,H1.semfreq,H1.semfam,H1.phon,H1.phonfreq,H1.phonfam,H2.sem,H2.semfreq,H2.semfam,H2.phon,H2.phonfreq,H2.phonfam,H3.sem,H3.semfreq,H3.semfam,H3.phon,H3.phonfreq,H3.phonfam,H4.sem,H4.semfreq,H4.semfam,H4.phon,H4.phonfreq,H4.phonfam
e4~e4,è~è,e~e,啞啞,哑哑,'eak~'eak,*ʔˤraʔ~*ʔˤraʔ,口,NA,"onom. of laughter, heh-heh",SOUND,狀聲詞：(1)​ 形容小兒學語聲。唐．于鵠．古詞三首之二：「新長青絲髮，啞啞言語黠。」聊齋志異．卷二．口技：「小兒啞啞，貓貓唔唔。」(2)​ 形容鳥鳴聲。淮南子．原道：「故夫烏之啞啞，鵲之唶唶，豈嘗為寒暑燥溼，變其聲哉。」唐．白居易．慈烏夜啼詩：「慈烏失其母，啞啞吐哀音。」(3)​ 形容車聲。宋．陸游．滄灘詩：「嘔嘔啞啞車轉急，舟人已在沙際立。」狀聲詞。形容笑聲。易經．震卦．初九：「震來虩虩，後笑言啞啞，吉。」清．張爾岐．蒿庵集．卷一：「今夫人生而呱呱以啼，啞啞以笑。」,NA,Kroll,BB,哑,哑,NA,NA,"13,4716","13,4716",NA,NA,13,13,NA,NA,口,50016563,297,亚,"13,8519",3,口,50016563,297,亚,"13,8519",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ya1~ya1,yā~yā,ya~ya,啞啞,哑哑,'ae~'ae,*ʔˤraʔ~*ʔˤraʔ,口,NA,"onom. of a daw's or crow's cry, ca-caw!",SOUND,狀聲詞：(1)​ 形容小兒學語聲。唐．于鵠．古詞三首之二：「新長青絲髮，啞啞言語黠。」聊齋志異．卷二．口技：「小兒啞啞，貓貓唔唔。」(2)​ 形容鳥鳴聲。淮南子．原道：「故夫烏之啞啞，鵲之唶唶，豈嘗為寒暑燥溼，變其聲哉。」唐．白居易．慈烏夜啼詩：「慈烏失其母，啞啞吐哀音。」(3)​ 形容車聲。宋．陸游．滄灘詩：「嘔嘔啞啞車轉急，舟人已在沙際立。」狀聲詞。形容笑聲。易經．震卦．初九：「震來虩虩，後笑言啞啞，吉。」清．張爾岐．蒿庵集．卷一：「今夫人生而呱呱以啼，啞啞以笑。」,NA,Kroll,BB,哑,哑,NA,NA,"13,4716","13,4716",NA,NA,13,13,NA,NA,口,50016563,297,亚,"13,8519",3,口,50016563,297,亚,"13,8519",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nan2~nan2,nán~nán,nan~nan,喃喃,喃喃,neam~neam,NA~NA,口,NA,"nam-nam, onom. of  whispering; also, (med.) of reading aloud in a murmur, mutter; also, (med.) of gabbling birds",SOUND,狀聲詞：(1)​ 形容低聲說話的聲音。如：「喃喃細語」。元．楊訥．西游記．第十三齣：「吃得醉薰酣，語喃喃。」(2)​ 形容讀書的聲音。全唐詩．卷八○六．寒山詩：「仙書一兩卷，樹下讀喃喃。」,NA,Kroll,BB,喃,喃,NA,NA,"5,1111","5,1111",NA,NA,2,2,NA,NA,口,50016563,297,南,"10,8099",3,口,50016563,297,南,"10,8099",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jie1~jie1,jiē~jiē,jie~jie,喈喈,喈喈,keaj~keaj,*kˤrəj~*kˤrəj,口,NA,onom. Bird calls; onom. Harmonious music; onom. Brisk brushing of wind,SOUND,狀聲詞：(1)​ 形容和諧的鐘鼓聲。詩經．小雅．鼓鐘：「鼓鐘喈喈，淮水湝湝，憂心且悲。」(2)​ 形容鳥鳴聲。詩經．周南．葛覃：「黃鳥于飛，集于灌木，其鳴喈喈。」(3)​ 形容鸞鈴聲。詩經．大雅．蒸民：「四牡騤騤，八鸞喈喈。」,NA,Kroll,BB,喈,喈,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yao1~yao1,yāo~yāo,yao~yao,喓喓,喓喓,'jew~'jew,NA~NA,口,NA,"onom. of the stridulation of insects; shrilling, grating; heavy humming",SOUND,狀聲詞。形容蟲鳴聲。詩經．召南．草蟲：「喓喓草蟲，趯趯阜螽。」,NA,Kroll,BB,喓,喓,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
huang2~huang2,huáng~huáng,huang~huang,喤喤,喤喤,hwang~hwang,NA~NA,口,NA,onom. Infant crying or bawling; onom. Tintinnabulation of bells,SOUND,狀聲詞：(1)​ 形容小孩的啼哭聲。詩經．小雅．斯干：「乃生男子，載寢之床，載衣之裳，載弄之璋，其泣喤喤。」(2)​ 形容聲音洪亮而和諧。詩經．周頌．執競 :「鐘鼓喤喤，磬筦將將。」,NA,Kroll,BB,喤,喤,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chen1~chen1,chēn~chēn,chen~chen,嗔嗔,嗔嗔,den~den,NA~NA,口,NA,onom. Drum beats,SOUND,NA,NA,Kroll,BB,嗔,嗔,NA,NA,"1,4815","1,4815",NA,NA,0,0,NA,NA,口,50016563,297,真,"170,6123",6,口,50016563,297,真,"170,6123",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wu1~wu1,wū~wū,wu~wu,嗚嗚,呜呜,'u~'u,NA~NA,口,NA,"onom. Of melodious song; (med.) onom. of comforting: there, there",SOUND,形容歡唱、呼叫的聲音。史記．卷八十七．李斯傳：「夫擊甕、叩缶、彈箏、搏髀，而歌呼嗚嗚快耳者，真秦之聲也。」形容低沉、幽怨的聲音。宋．蘇軾．赤壁賦：「其聲嗚嗚然，如怨如慕，如泣如訴。」狀聲詞。形容汽笛的聲音。如：「汽笛嗚嗚的響起，船就要開了。」,NA,Kroll,BB,呜,呜,NA,NA,"51,2543","51,2543",NA,NA,3,3,NA,NA,口,50016563,297,乌,"65,7531",3,口,50016563,297,乌,"65,7531",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jiao1~jiao1,jiāo~jiāo,jiao~jiao,嘐嘐,嘐嘐,kaew~kaew,NA~NA,口,NA,"onom. of cock's crow, cocoroo!",SOUND,形容言語誇張、言行不一致。孟子．盡心下：「何以謂之狂也？曰：『其志嘐嘐然。』」,NA,Kroll,BB,嘐,嘐,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hui4~hui4,huì~huì,hui~hui,嘒嘒,嘒嘒,xwejH~xwejH,*qʷʰˤi[t]-s~*qʷʰˤi[t]-s,口,NA,onom. Cicada; onom. Carriage grelots (chink chink); onom. Pipes or flutes shrilling and shrieking,SOUND,狀聲詞。形容蟬鳴聲。詩經．小雅．小弁：「菀彼柳斯，鳴蜩嘒嘒。」聲音和諧中節。詩經．小雅．采菽：「其旂淠淠，鸞聲嘒嘒。」,NA,Kroll,BB,嘒,嘒,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
