pinyinnum,pinyintone,pinyinnone,traditional,simplified,MC,OC,radsup,variant,Kroll,sensorymod,zdic,note,datasource,morphology,H1,H2,H3,H4,H1.freq,H2.freq,H3.freq,H4.freq,H1.comb.freq,H2.comb.freq,H3.comb.freq,H4.comb.freq,H1.sem,H1.semfreq,H1.semfam,H1.phon,H1.phonfreq,H1.phonfam,H2.sem,H2.semfreq,H2.semfam,H2.phon,H2.phonfreq,H2.phonfam,H3.sem,H3.semfreq,H3.semfam,H3.phon,H3.phonfreq,H3.phonfam,H4.sem,H4.semfreq,H4.semfam,H4.phon,H4.phonfreq,H4.phonfam
di2~di2~gu1~gu1,dí~dí~gū~gū,di~di~gu~gu,嘀嘀咕咕,嘀嘀咕咕,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,RRRR,嘀,嘀,咕,咕,"11,1012","11,1012",NA,NA,3,3,NA,NA,口,50016563,297,啇,"230,9185",4,口,50016563,297,啇,"230,9185",4,口,50016563,297,古,"1063,2346",14,口,50016563,297,古,"1063,2346",14
di2~da1,dí~dā,di~da,的嗒,的嗒,tek,*[t-l]ˤewk,NA,NA,NA,SOUND,NA,NA,Wang,RR,的,嗒,NA,NA,32392158,10079,NA,NA,30,3,NA,NA,白,"33709,0272",11,勺,"32712,9333",6,口,50016563,297,荅,240237,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
di2~da1~di2~da1,dí~dā~dí~dā,di~da~di~da,的嗒的嗒,的嗒的嗒,tek~NA~tek,*[t-l]ˤewk~NA~*[t-l]ˤewk,NA,NA,NA,SOUND,NA,NA,Wang,RRRR,的,嗒,的,嗒,32392158,10079,NA,NA,30,3,NA,NA,白,"33709,0272",11,勺,"32712,9333",6,口,50016563,297,荅,240237,5,白,"33709,0272",11,勺,"32712,9333",6,口,50016563,297,荅,240237,5
di2~da2,dí~dá,di~da,笛答,笛答,NA~top,NA~*[t]ˤ[u]p,NA,NA,NA,SOUND,NA,NA,Wang,RR,笛,答,NA,NA,"7,6395","197,2049",NA,NA,11,25,NA,NA,⺮,"5914,6074",56,由,"930,6568",14,⺮,"5914,6074",56,合,"3729,6741",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
di2~di2,dí~dí,di~di,笛笛,笛笛,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,BB,笛,笛,NA,NA,"7,6395","7,6395",NA,NA,11,11,NA,NA,⺮,"5914,6074",56,由,"930,6568",14,⺮,"5914,6074",56,由,"930,6568",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
die2~die2,dié~dié,die~die,喋喋,喋喋,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,BB,喋,喋,NA,NA,10884,10884,NA,NA,1,1,NA,NA,口,50016563,297,枼,"101,5259",5,口,50016563,297,枼,"101,5259",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ding1~dang1,dīng~dāng,ding~dang,丁當,丁当,teng~tang,*tˤeŋ~*tˤaŋ,NA,NA,NA,SOUND,NA,NA,Wang,RR,丁,当,NA,NA,"65,2543","1142,9679",NA,NA,34,108,NA,NA,一,"47068,6864",26,NA,NA,NA,彐,"1627,0667",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ding1~dang1~ding1~dang1,dīng~dāng~dīng~dāng,ding~dang~ding~dang,丁當丁當,丁当丁当,teng~tang~teng~tang,*tˤeŋ~*tˤaŋ~*tˤeŋ~*tˤaŋ,NA,NA,NA,SOUND,NA,NA,Wang,RRRR,丁,当,丁,当,"65,2543","1142,9679",NA,NA,34,108,NA,NA,一,"47068,6864",26,NA,NA,NA,彐,"1627,0667",4,NA,NA,NA,一,"47068,6864",26,NA,NA,NA,彐,"1627,0667",4,NA,NA,NA
ding1~ding1,dīng~dīng,ding~ding,丁丁,丁丁,teng~teng,*tˤeŋ~*tˤeŋ,NA,NA,NA,SOUND,NA,NA,Wang,BB,丁,丁,NA,NA,"65,2543","65,2543",NA,NA,34,34,NA,NA,一,"47068,6864",26,NA,NA,NA,一,"47068,6864",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ding1~ling2,dīng~líng,ding~ling,丁零,丁零,teng~leng,*tˤeŋ~*[r]ˤiŋ,NA,NA,NA,SOUND,NA,NA,Wang,RR,丁,零,NA,NA,"65,2543","96,6272",NA,NA,34,39,NA,NA,一,"47068,6864",26,NA,NA,NA,雨,"2141,5901",24,令,"1249,5654",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ding1~ling2~dang1~lang1,dīng~líng~dāng~lāng,ding~ling~dang~lang,丁零當啷,丁零当啷,teng~leng~tang,*tˤeŋ~*[r]ˤiŋ~*tˤaŋ,NA,NA,NA,SOUND,NA,NA,Wang,RRRR,丁,零,当,啷,"65,2543","96,6272",NA,NA,34,39,NA,NA,一,"47068,6864",26,NA,NA,NA,雨,"2141,5901",24,令,"1249,5654",16,彐,"1627,0667",4,NA,NA,NA,口,50016563,297,郎,"21,0914",4
ding1~ling2~ding1~ling2,dīng~líng~dīng~líng,ding~ling~ding~ling,丁零丁零,丁零丁零,teng~leng~teng~leng,*tˤeŋ~*[r]ˤiŋ~*tˤeŋ~*[r]ˤiŋ,NA,NA,NA,SOUND,NA,NA,Wang,RRRR,丁,零,丁,零,"65,2543","96,6272",NA,NA,34,39,NA,NA,一,"47068,6864",26,NA,NA,NA,雨,"2141,5901",24,令,"1249,5654",16,一,"47068,6864",26,NA,NA,NA,雨,"2141,5901",24,令,"1249,5654",16
ding1~peng2~ding1~peng2,dīng~péng~dīng~péng,ding~peng~ding~peng,叮硼叮硼,叮硼叮硼,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,RRRR,叮,硼,叮,硼,"14,0988","0,3309",NA,NA,5,2,NA,NA,口,50016563,297,丁,"1953,1259",12,石,"1850,5235",61,朋,70558,5,口,50016563,297,丁,"1953,1259",12,石,"1850,5235",61,朋,70558,5
ding1~dang1,dīng~dāng,ding~dang,叮噹,叮噹,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,RR,叮,噹,NA,NA,"14,0988",NA,NA,NA,5,NA,NA,NA,口,50016563,297,丁,"1953,1259",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ding1~dang1~ding1~dang1,dīng~dāng~dīng~dāng,ding~dang~ding~dang,叮當叮當,叮当叮当,NA~tang~NA~tang,NA~*tˤaŋ~NA~*tˤaŋ,NA,NA,NA,SOUND,NA,NA,Wang,RRRR,叮,当,叮,当,"14,0988","1142,9679",NA,NA,5,108,NA,NA,口,50016563,297,丁,"1953,1259",12,彐,"1627,0667",4,NA,NA,NA,口,50016563,297,丁,"1953,1259",12,彐,"1627,0667",4,NA,NA,NA
ding1~ding1,dīng~dīng,ding~ding,叮叮,叮叮,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,BB,叮,叮,NA,NA,"14,0988","14,0988",NA,NA,5,5,NA,NA,口,50016563,297,丁,"1953,1259",12,口,50016563,297,丁,"1953,1259",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ding1~ding1~dang1~dang1,dīng~dīng~dāng~dāng,ding~ding~dang~dang,叮叮當當,叮叮当当,NA~NA~tang~tang,NA~NA~*tˤaŋ~*tˤaŋ,NA,NA,NA,SOUND,NA,NA,Wang,RRRR,叮,叮,当,当,"14,0988","14,0988",NA,NA,5,5,NA,NA,口,50016563,297,丁,"1953,1259",12,口,50016563,297,丁,"1953,1259",12,彐,"1627,0667",4,NA,NA,NA,彐,"1627,0667",4,NA,NA,NA
ding1~ding1~dang1~dang1,dīng~dīng~dāng~dāng,ding~ding~dang~dang,叮叮噹噹,叮叮噹噹,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,RRRR,叮,叮,噹,噹,"14,0988","14,0988",NA,NA,5,5,NA,NA,口,50016563,297,丁,"1953,1259",12,口,50016563,297,丁,"1953,1259",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ding1~ding1~dong1~dong1,dīng~dīng~dōng~dōng,ding~ding~dong~dong,叮叮咚咚,叮叮咚咚,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,RRRR,叮,叮,咚,咚,"14,0988","14,0988",NA,NA,5,5,NA,NA,口,50016563,297,丁,"1953,1259",12,口,50016563,297,丁,"1953,1259",12,口,50016563,297,冬,"880,3704",3,口,50016563,297,冬,"880,3704",3
ding1~dong1,dīng~dōng,ding~dong,叮咚,叮咚,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,RR,叮,咚,NA,NA,"14,0988",4963,NA,NA,5,4,NA,NA,口,50016563,297,丁,"1953,1259",12,口,50016563,297,冬,"880,3704",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ding1~dong1~ling2~dong1,dīng~dōng~líng~dōng,ding~dong~ling~dong,叮咚玲咚,叮咚玲咚,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,RRRR,叮,咚,玲,咚,"14,0988",4963,NA,NA,5,4,NA,NA,口,50016563,297,丁,"1953,1259",12,口,50016563,297,冬,"880,3704",3,王,7173763,52,令,"1249,5654",16,口,50016563,297,冬,"880,3704",3
ding1~ling2~ling2,dīng~líng~líng,ding~ling~ling,叮呤呤,叮呤呤,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,ARR,叮,呤,呤,NA,"14,0988",NA,NA,NA,5,NA,NA,NA,口,50016563,297,丁,"1953,1259",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ding1~ling2~ling2,dīng~líng~líng,ding~ling~ling,叮鈴鈴,叮铃铃,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,ARR,叮,铃,铃,NA,"14,0988","26,4198",NA,NA,5,16,NA,NA,口,50016563,297,丁,"1953,1259",12,钅,"3731,8272",120,令,"1249,5654",16,钅,"3731,8272",120,令,"1249,5654",16,NA,NA,NA,NA,NA,NA
ding1~ling2~dang1~lang1,dīng~líng~dāng~lāng,ding~ling~dang~lang,叮鈴噹啷,叮铃噹啷,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,RRRR,叮,铃,噹,啷,"14,0988","26,4198",NA,NA,5,16,NA,NA,口,50016563,297,丁,"1953,1259",12,钅,"3731,8272",120,令,"1249,5654",16,NA,NA,NA,NA,NA,NA,口,50016563,297,郎,"21,0914",4
ding1~ling2~ding1~ling2,dīng~líng~dīng~líng,ding~ling~ding~ling,叮鈴叮鈴,叮铃叮铃,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,RRRR,叮,铃,叮,铃,"14,0988","26,4198",NA,NA,5,16,NA,NA,口,50016563,297,丁,"1953,1259",12,钅,"3731,8272",120,令,"1249,5654",16,口,50016563,297,丁,"1953,1259",12,钅,"3731,8272",120,令,"1249,5654",16
ding1~dang1,dīng~dāng,ding~dang,玎璫,玎璫,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,RR,玎,璫,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ding1~ling2~ding1~ling2,dīng~líng~dīng~líng,ding~ling~ding~ling,玎玲玎玲,玎玲玎玲,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,RRRR,玎,玲,玎,玲,NA,"21,1605",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,王,7173763,52,令,"1249,5654",16,NA,NA,NA,NA,NA,NA,王,7173763,52,令,"1249,5654",16
ding1~dang1~ding1~dang1,dīng~dāng~dīng~dāng,ding~dang~ding~dang,釘噹釘噹,钉噹钉噹,teng~NA~teng,*tˤeŋ~NA~*tˤeŋ,NA,NA,NA,SOUND,NA,NA,Wang,RRRR,钉,噹,钉,噹,"14,0247",NA,NA,NA,15,NA,NA,NA,钅,"3731,8272",120,丁,"1953,1259",12,NA,NA,NA,NA,NA,NA,钅,"3731,8272",120,丁,"1953,1259",12,NA,NA,NA,NA,NA,NA
dong1~dong1,dōng~dōng,dong~dong,冬冬,冬冬,towng~towng,*tˤuŋ~*tˤuŋ,NA,NA,NA,SOUND,NA,NA,Wang,BB,冬,冬,NA,NA,"220,0049","220,0049",NA,NA,37,37,NA,NA,冫,"2629,1654",21,NA,NA,NA,冫,"2629,1654",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dong1~dong1~qiang1,dōng~dōng~qiāng,dong~dong~qiang,冬冬鏘,冬冬锵,towng~towng,*tˤuŋ~*tˤuŋ,NA,NA,NA,SOUND,NA,NA,Wang,RRR,冬,冬,锵,NA,"220,0049","220,0049",NA,NA,37,37,NA,NA,冫,"2629,1654",21,NA,NA,NA,冫,"2629,1654",21,NA,NA,NA,钅,"3731,8272",120,将,"938,2914",3,NA,NA,NA,NA,NA,NA
dong1,dōng,dong,咚,咚,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,A,咚,NA,NA,NA,4963,NA,NA,NA,4,NA,NA,NA,口,50016563,297,冬,"880,3704",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dong1~dong1,dōng~dōng,dong~dong,咚咚,咚咚,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,BB,咚,咚,NA,NA,4963,4963,NA,NA,4,4,NA,NA,口,50016563,297,冬,"880,3704",3,口,50016563,297,冬,"880,3704",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dong1~dong1~dong1,dōng~dōng~dōng,dong~dong~dong,咚咚咚,咚咚咚,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,BBB,咚,咚,咚,NA,4963,4963,NA,NA,4,4,NA,NA,口,50016563,297,冬,"880,3704",3,口,50016563,297,冬,"880,3704",3,口,50016563,297,冬,"880,3704",3,NA,NA,NA,NA,NA,NA
dong1~dong1~qiang1~qiang1,dōng~dōng~qiāng~qiāng,dong~dong~qiang~qiang,咚咚鏘鏘,咚咚锵锵,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,RRRR,咚,咚,锵,锵,4963,4963,NA,NA,4,4,NA,NA,口,50016563,297,冬,"880,3704",3,口,50016563,297,冬,"880,3704",3,钅,"3731,8272",120,将,"938,2914",3,钅,"3731,8272",120,将,"938,2914",3
du1~du1,dū~dū,du~du,嘟嘟,嘟嘟,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,BB,嘟,嘟,NA,NA,"11,0222","11,0222",NA,NA,5,5,NA,NA,口,50016563,297,都,"11,0222",1,口,50016563,297,都,"11,0222",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
du3~du3,dǔ~dǔ,du~du,篤篤,笃笃,towk~towk,*tˤuk~*tˤuk,NA,NA,NA,SOUND,NA,NA,Wang,BB,笃,笃,NA,NA,"1,8469","1,8469",NA,NA,2,2,NA,NA,⺮,"5914,6074",56,⺮,"2,8889",2,⺮,"5914,6074",56,⺮,"2,8889",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
du3~du3~du3,dǔ~dǔ~dǔ,du~du~du,篤篤篤,笃笃笃,towk~towk~towk,*tˤuk~*tˤuk~*tˤuk,NA,NA,NA,SOUND,NA,NA,Wang,BBB,笃,笃,笃,NA,"1,8469","1,8469",NA,NA,2,2,NA,NA,⺮,"5914,6074",56,⺮,"2,8889",2,⺮,"5914,6074",56,⺮,"2,8889",2,⺮,"5914,6074",56,⺮,"2,8889",2,NA,NA,NA,NA,NA,NA
duo3~duo3,duǒ~duǒ,duo~duo,朵朵,朵朵,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,BB,朵,朵,NA,NA,66484,66484,NA,NA,8,8,NA,NA,木,"23327,0765",210,NA,NA,NA,木,"23327,0765",210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
en1~en1,ēn~ēn,en~en,嗯嗯,嗯嗯,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,BB,嗯,嗯,NA,NA,"207,3926","207,3926",NA,NA,0,0,NA,NA,口,50016563,297,恩,"209,0173",2,口,50016563,297,恩,"209,0173",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
en1~en1~a5~a5,ēn~ēn~a~a,en~en~a~a,嗯嗯啊啊,嗯嗯啊啊,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,RRRR,嗯,嗯,啊,啊,"207,3926","207,3926",NA,NA,0,0,NA,NA,口,50016563,297,恩,"209,0173",2,口,50016563,297,恩,"209,0173",2,口,50016563,297,阿,"3243,2099",3,口,50016563,297,阿,"3243,2099",3
en1~en1~wu1~wu1,ēn~ēn~wū~wū,en~en~wu~wu,恩恩烏烏,恩恩乌乌,'on~'on~'u~'u,*ʔˤə[n]~*ʔˤə[n]~*[ʔ]ˤa~*[ʔ]ˤa,NA,NA,NA,SOUND,NA,NA,Wang,RRRR,恩,恩,乌,乌,153442,153442,NA,NA,36,36,NA,NA,心,"19695,9012",59,因,"434,2765",7,心,"19695,9012",59,因,"434,2765",7,丿,"10065,8716",15,NA,NA,NA,丿,"10065,8716",15,NA,NA,NA
feng2~feng2,féng~féng,feng~feng,渢渢,渢渢,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,BB,渢,渢,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fu2~fu2,fú~fú,fu~fu,拂拂,拂拂,phjut~phjut,*pʰ[u]t~*pʰ[u]t,NA,NA,NA,SOUND,NA,NA,Wang,BB,拂,拂,NA,NA,"3,5062","3,5062",NA,NA,4,4,NA,NA,扌,"19245,0025",233,弗,"517,1704",7,扌,"19245,0025",233,弗,"517,1704",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fu2~chi1~fu2~chi1,fú~chī~fú~chī,fu~chi~fu~chi,咈哧咈哧,咈哧咈哧,bjut~NA~bjut,*[m-p][u]t~NA~*[m-p][u]t,NA,NA,NA,SOUND,NA,NA,Wang,RRRR,咈,哧,咈,哧,NA,"1,7086",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,口,50016563,297,赤,"4,7802",2,NA,NA,NA,NA,NA,NA,口,50016563,297,赤,"4,7802",2
fu2~fu2,fú~fú,fu~fu,咈咈,咈咈,bjut~bjut,*[m-p][u]t~*[m-p][u]t,NA,NA,NA,SOUND,NA,NA,Wang,BB,咈,咈,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ga1,gā,ga,嘎,嘎,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,A,嘎,NA,NA,NA,"41,6346",NA,NA,NA,2,NA,NA,NA,口,50016563,297,戛,"41,6346",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ga1~ba1,gā~bā,ga~ba,嘎吧,嘎吧,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,RR,嘎,吧,NA,NA,"41,6346","3244,4938",NA,NA,2,5,NA,NA,口,50016563,297,戛,"41,6346",1,口,50016563,297,巴,"5324,5086",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ga1~ba1~ga1~ba1,gā~bā~gā~bā,ga~ba~ga~ba,嘎吧嘎吧,嘎吧嘎吧,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,RRRR,嘎,吧,嘎,吧,"41,6346","3244,4938",NA,NA,2,5,NA,NA,口,50016563,297,戛,"41,6346",1,口,50016563,297,巴,"5324,5086",12,口,50016563,297,戛,"41,6346",1,口,50016563,297,巴,"5324,5086",12
ga1~ba1~ga1~ba1,gā~bā~gā~bā,ga~ba~ga~ba,嘎叭嘎叭,嘎叭嘎叭,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,RRRR,嘎,叭,嘎,叭,"41,6346","7,4321",NA,NA,2,6,NA,NA,口,50016563,297,戛,"41,6346",1,口,50016563,297,八,"43,3432",3,口,50016563,297,戛,"41,6346",1,口,50016563,297,八,"43,3432",3
ga1~beng1~ga1~beng1,gā~bēng~gā~bēng,ga~beng~ga~beng,嘎崩嘎崩,嘎崩嘎崩,NA~pong~NA~pong,NA~*Cə.pˤəŋ~NA~*Cə.pˤəŋ,NA,NA,NA,SOUND,NA,NA,Wang,RRRR,嘎,崩,嘎,崩,"41,6346","40,4444",NA,NA,2,7,NA,NA,口,50016563,297,戛,"41,6346",1,山,"1569,0568",42,朋,70558,5,口,50016563,297,戛,"41,6346",1,山,"1569,0568",42,朋,70558,5
gar1~gar1,gār~gār,gar~gar,嘎兒嘎兒,嘎儿嘎儿,NA~nye~NA~nye,NA~*ŋe~NA~*ŋe,NA,NA,NA,SOUND,NA,NA,Wang,RR,嘎,儿,嘎,儿,"41,6346","1244,4889",NA,NA,2,187,NA,NA,口,50016563,297,戛,"41,6346",1,儿,4497121,17,NA,NA,NA,口,50016563,297,戛,"41,6346",1,儿,4497121,17,NA,NA,NA
ga1~ga1,gā~gā,ga~ga,嘎嘎,嘎嘎,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,BB,嘎,嘎,NA,NA,"41,6346","41,6346",NA,NA,2,2,NA,NA,口,50016563,297,戛,"41,6346",1,口,50016563,297,戛,"41,6346",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ga1~gu1,gā~gū,ga~gu,嘎咕,嘎咕,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,RR,嘎,咕,NA,NA,"41,6346","12,1284",NA,NA,2,12,NA,NA,口,50016563,297,戛,"41,6346",1,口,50016563,297,古,"1063,2346",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ga1~la1~la1,gā~lā~lā,ga~la~la,嘎啦啦,嘎啦啦,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,ARR,嘎,啦,啦,NA,"41,6346","1029,3136",NA,NA,2,8,NA,NA,口,50016563,297,戛,"41,6346",1,口,50016563,297,拉,"1029,3136",1,口,50016563,297,拉,"1029,3136",1,NA,NA,NA,NA,NA,NA
ga1~lang1~ga1~lang1,gā~lāng~gā~lāng,ga~lang~ga~lang,嘎啷嘎啷,嘎啷嘎啷,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,RRRR,嘎,啷,嘎,啷,"41,6346","1,2642",NA,NA,2,1,NA,NA,口,50016563,297,戛,"41,6346",1,口,50016563,297,郎,"21,0914",4,口,50016563,297,戛,"41,6346",1,口,50016563,297,郎,"21,0914",4
ga1~zha1,gā~zhā,ga~zha,嘎喳,嘎喳,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,RR,嘎,喳,NA,NA,"41,6346","2,5037",NA,NA,2,3,NA,NA,口,50016563,297,戛,"41,6346",1,口,50016563,297,查,"28,4444",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ga1~zhi1,gā~zhī,ga~zhi,嘎吱,嘎吱,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,RR,嘎,吱,NA,NA,"41,6346","5,1951",NA,NA,2,5,NA,NA,口,50016563,297,戛,"41,6346",1,口,50016563,297,支,"271,7235",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ga1~zhi1~ga1~zhi1,gā~zhī~gā~zhī,ga~zhi~ga~zhi,嘎吱嘎吱,嘎吱嘎吱,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,RRRR,嘎,吱,嘎,吱,"41,6346","5,1951",NA,NA,2,5,NA,NA,口,50016563,297,戛,"41,6346",1,口,50016563,297,支,"271,7235",9,口,50016563,297,戛,"41,6346",1,口,50016563,297,支,"271,7235",9
ge1~ba1,gē~bā,ge~ba,咯吧,咯吧,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,RR,咯,吧,NA,NA,"234,3358","3244,4938",NA,NA,2,5,NA,NA,口,50016563,297,各,"2410,8593",18,口,50016563,297,巴,"5324,5086",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ge1~ba1~ge1~ba1,gē~bā~gē~bā,ge~ba~ge~ba,咯叭咯叭,咯叭咯叭,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,RRRR,咯,叭,咯,叭,"234,3358","7,4321",NA,NA,2,6,NA,NA,口,50016563,297,各,"2410,8593",18,口,50016563,297,八,"43,3432",3,口,50016563,297,各,"2410,8593",18,口,50016563,297,八,"43,3432",3
ge1~beng1,gē~bēng,ge~beng,咯嘣,咯嘣,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,RR,咯,嘣,NA,NA,"234,3358","1,7827",NA,NA,2,0,NA,NA,口,50016563,297,各,"2410,8593",18,口,50016563,297,崩,"12,6173",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ge1~beng1~beng1,gē~bēng~bēng,ge~beng~beng,咯嘣嘣,咯嘣嘣,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,ARR,咯,嘣,嘣,NA,"234,3358","1,7827",NA,NA,2,0,NA,NA,口,50016563,297,各,"2410,8593",18,口,50016563,297,崩,"12,6173",3,口,50016563,297,崩,"12,6173",3,NA,NA,NA,NA,NA,NA
ge1~beng1~ge1~beng1,gē~bēng~gē~bēng,ge~beng~ge~beng,咯嘣咯嘣,咯嘣咯嘣,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,RRRR,咯,嘣,咯,嘣,"234,3358","1,7827",NA,NA,2,0,NA,NA,口,50016563,297,各,"2410,8593",18,口,50016563,297,崩,"12,6173",3,口,50016563,297,各,"2410,8593",18,口,50016563,297,崩,"12,6173",3
ge1~ca1,gē~cā,ge~ca,咯嚓,咯嚓,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,RR,咯,嚓,NA,NA,"234,3358","3,5407",NA,NA,2,2,NA,NA,口,50016563,297,各,"2410,8593",18,口,50016563,297,察,"125,2494",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ge1~deng1,gē~dēng,ge~deng,咯噔,咯噔,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,RR,咯,噔,NA,NA,"234,3358","1,2494",NA,NA,2,0,NA,NA,口,50016563,297,各,"2410,8593",18,口,50016563,297,登,"56,2963",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ge1~deng1~ge1~deng1,gē~dēng~gē~dēng,ge~deng~ge~deng,咯噔咯噔,咯噔咯噔,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,RRRR,咯,噔,咯,噔,"234,3358","1,2494",NA,NA,2,0,NA,NA,口,50016563,297,各,"2410,8593",18,口,50016563,297,登,"56,2963",7,口,50016563,297,各,"2410,8593",18,口,50016563,297,登,"56,2963",7
ge1~dong1~ge1~dong1,gē~dōng~gē~dōng,ge~dong~ge~dong,咯咚咯咚,咯咚咯咚,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,RRRR,咯,咚,咯,咚,"234,3358",4963,NA,NA,2,4,NA,NA,口,50016563,297,各,"2410,8593",18,口,50016563,297,冬,"880,3704",3,口,50016563,297,各,"2410,8593",18,口,50016563,297,冬,"880,3704",3
