traditional,simplified,pyoriginal,pinyintone,pinyinnum,morphology,sensorymod,datasource,inbetween,same
蒼蒼,苍苍,cāngcāng,cāng~cāng,cang1~cang1,RED,VISUAL,Tang,cāngcāng,same
蒼蒼,苍苍,cāngcāng,cāng~cāng,cang1~cang1,REDUPLICATION,VISUAL,Shijing,cāngcāng,same
蕩漾,荡漾,dàngyàng,dàng~yàng,dang4~yang4,RHYME,MOVEMENT,Tang,dàngyàng,same
蕭條,萧条,xiāotiáo,xiāo~tiáo,xiao1~tiao2,RHYME,MOVEMENT+COGNITIVE_STATE,Tang,xiāotiáo,same
蕭條,萧条,xiāotiáo,xiāo~tiáo,xiao1~tiao2,RHYME,VISUAL,Tang,xiāotiáo,same
蕭瑟,萧瑟,xiāosè,xiāo~sè,xiao1~se4,ALLIT,VISUAL,Tang,xiāosè,same
蕭蕭,萧萧,xiāoxiāo,xiāo~xiāo,xiao1~xiao1,RED,SOUND,Tang,xiāoxiāo,same
蕭蕭,萧萧,xiāoxiāo,xiāo~xiāo,xiao1~xiao1,RED,VISUAL,Tang,xiāoxiāo,same
蕭蕭,萧萧,xiāoxiāo,xiāo~xiāo,xiao1~xiao1,RED,VISUAL+INNER_FEELINGS,Tang,xiāoxiāo,same
褭褭,袅袅,niǎoniǎo,niǎo~niǎo,niao3~niao3,RED,VISUAL,Tang,niǎoniǎo,same
諄諄,谆谆,zhūnzhūn,zhūn~zhūn,zhun1~zhun1,REDUPLICATION,EVALUATION,Shijing,zhūnzhūn,same
赫赫,赫赫,hèhè,hè~hè,he4~he4,REDUPLICATION,EVALUATION,Shijing,hèhè,same
赫赫,赫赫,hèhè,hè~hè,he4~he4,REDUPLICATION,EVALUATION,Shijing,hèhè,same
赫赫,赫赫,hèhè,hè~hè,he4~he4,REDUPLICATION,EVALUATION,Shijing,hèhè,same
赫赫,赫赫,hèhè,hè~hè,he4~he4,REDUPLICATION,EVALUATION,Shijing,hèhè,same
赫赫,赫赫,hèhè,hè~hè,he4~he4,REDUPLICATION,EVALUATION,Shijing,hèhè,same
赫赫,赫赫,hèhè,hè~hè,he4~he4,REDUPLICATION,EVALUATION,Shijing,hèhè,same
赫赫,赫赫,hèhè,hè~hè,he4~he4,REDUPLICATION,EVALUATION,Shijing,hèhè,same
赫赫,赫赫,hèhè,hè~hè,he4~he4,REDUPLICATION,EVALUATION,Shijing,hèhè,same
赫赫,赫赫,hèhè,hè~hè,he4~he4,REDUPLICATION,EVALUATION,Shijing,hèhè,same
赫赫,赫赫,hèhè,hè~hè,he4~he4,REDUPLICATION,EVALUATION,Shijing,hèhè,same
赫赫,赫赫,hèhè,hè~hè,he4~he4,REDUPLICATION,EVALUATION,Shijing,hèhè,same
赫赫,赫赫,hèhè,hè~hè,he4~he4,REDUPLICATION,VISUAL,Shijing,hèhè,same
踟躕,踟蹰,chíchú,chí~chú,chi2~chu2,REDUPLICATION,FEELING,Shijing,chíchú,same
蹉跎,蹉跎,cuōtuó,cuō~tuó,cuo1~tuo2,RHYME,EVALUATION,Tang,cuōtuó,same
蹉跎,蹉跎,cuōtuó,cuō~tuó,cuo1~tuo2,RHYME,TIME+EVALUATION,Tang,cuōtuó,same
躊躇,踌躇,chóuchú,chóu~chú,chou2~chu2,ALLIT,MOVEMENT,Tang,chóuchú,same
躊躇,踌躇,chóuchú,chóu~chú,chou2~chu2,ALLIT,INNER_FEELINGS,Tang,chóuchú,same
輾轉,辗转,zhǎnzhuǎn,zhǎn~zhuǎn,zhan3~zhuan3,PARARHYME,MOVEMENT,Shijing,zhǎnzhuǎn,same
輾轉,辗转,zhǎnzhuǎn,zhǎn~zhuǎn,zhan3~zhuan3,PARARHYME,MOVEMENT,Shijing,zhǎnzhuǎn,same
轔轔,辚辚,línlín,lín~lín,lin2~lin2,RED,SOUND,Tang,línlín,same
迢迢,迢迢,tiáotiáo,tiáo~tiáo,tiao2~tiao2,RED,VISUAL,Tang,tiáotiáo,same
迢遞,迢递,tiáodì,tiáo~dì,tiao2~di4,ALLIT,VISUAL,Tang,tiáodì,same
逍遙,逍遥,xiāoyáo,xiāo~yáo,xiao1~yao2,RHYME,MOVEMENT,Shijing,xiāoyáo,same
逍遙,逍遥,xiāoyáo,xiāo~yáo,xiao1~yao2,RHYME,MOVEMENT,Shijing,xiāoyáo,same
連連,连连,liánlián,lián~lián,lian2~lian2,REDUPLICATION,VISUAL,Shijing,liánlián,same
逸逸,逸逸,yìyì,yì~yì,yi4~yi4,REDUPLICATION,MOVEMENT,Shijing,yìyì,same
遲遲,迟迟,chíchí,chí~chí,chi2~chi2,RED,TIME,Tang,chíchí,same
鑿鑿,凿凿,záozáo,záo~záo,zao2~zao2,REDUPLICATION,VISUAL,Shijing,záozáo,same
閑閑,闲闲,xiánxián,xián~xián,xian2~xian2,RED,MOVEMENT,Tang,xiánxián,same
陰陰,阴阴,yīnyīn,yīn~yīn,yin1~yin1,RED,VISUAL,Tang,yīnyīn,same
陶然,陶然,táorán,táo~rán,tao2~ran2,RAN,COGNITIVE_STATE,Tang,táorán,same
陶陶,陶陶,táotáo,táo~táo,tao2~tao2,REDUPLICATION,VISUAL+EVALUATION,Shijing,táotáo,same
陶陶,陶陶,táotáo,táo~táo,tao2~tao2,REDUPLICATION,VISUAL+FEELING,Shijing,táotáo,same
隱隱,隐隐,yǐnyǐn,yǐn~yǐn,yin3~yin3,RED,VISUAL,Tang,yǐnyǐn,same
離亂,离乱,líluàn,lí~luàn,li2~luan4,ALLIT,MOVEMENT+EVALUATION,Tang,líluàn,same
離離,离离,lílí,lí~lí,li2~li2,RED,VISUAL,Tang,lílí,same
零亂,零乱,língluàn,líng~luàn,ling2~luan4,ALLIT,VISUAL+MOVEMENT,Tang,língluàn,same
零落,零落,língluò,líng~luò,ling2~luo4,ALLIT,MOVEMENT+EVALUATION,Tang,língluò,same
霏霏,霏霏,fēifēi,fēi~fēi,fei1~fei1,RED,WETNESS,Tang,fēifēi,same
霧露,雾露,wùlù,wù~lù,wu4~lu4,RHYME,VISUAL,Tang,wùlù,same
霹靂,霹雳,pīlì,pī~lì,pi1~li4,RHYME,VISUAL,Tang,pīlì,same
霹靂,霹雳,pīlì,pī~lì,pi1~li4,RHYME,SOUND+VISUAL,Tang,pīlì,same
霹靂,霹雳,pīlì,pī~lì,pi1~li4,RHYME,MOVEMENT+VISUAL,Tang,pīlì,same
青青,青青,qīngqīng,qīng~qīng,qing1~qing1,RED,VISUAL,Tang,qīngqīng,same
青青,青青,qīngqīng,qīng~qīng,qing1~qing1,REDUPLICATION,VISUAL,Shijing,qīngqīng,same
颯颯,飒飒,sàsà,sà~sà,sa4~sa4,RED,MOVEMENT,Tang,sàsà,same
颯颯,飒飒,sàsà,sà~sà,sa4~sa4,RED,SOUND,Tang,sàsà,same
颺颺,飏飏,yángyáng,yáng~yáng,yang2~yang2,RED,MOVEMENT,Tang,yángyáng,same
飄颻,飘飖,piāoyáo,piāo~yáo,piao1~yao2,RHYME,MOVEMENT,Tang,piāoyáo,same
飄飄,飘飘,piāopiāo,piāo~piāo,piao1~piao1,RED,MOVEMENT,Tang,piāopiāo,same
饜飫,餍饫,yànyù,yàn~yù,yan4~yu4,ALLIT,VISUAL,Tang,yànyù,same
馳驅,驰驱,chíqū,chí~qū,chi2~qu1,REDUPLICATION,MOVEMENT,Shijing,chíqū,same
騑騑,騑騑,fēifēi,fēi~fēi,fei1~fei1,REDUPLICATION,MOVEMENT,Shijing,fēifēi,same
騑騑,騑騑,fēifēi,fēi~fēi,fei1~fei1,REDUPLICATION,MOVEMENT,Shijing,fēifēi,same
騑騑,騑騑,fēifēi,fēi~fēi,fei1~fei1,REDUPLICATION,MOVEMENT,Shijing,fēifēi,same
高閣,高阁,gāogé,gāo~gé,gao1~ge2,ALLIT,VISUAL,Tang,gāogé,same
默默,默默,mòmò,mò~mò,mo4~mo4,RED,VISUAL,Tang,mòmò,same
黯然,黯然,ànrán,àn~rán,an4~ran2,RAN,COGNITIVE_STATE,Tang,ànrán,same
黯黯,黯黯,ànàn,àn~àn,an4~an4,RED,VISUAL,Tang,ànàn,same
黯黯,黯黯,ànàn,àn~àn,an4~an4,RED,VISUAL+INNER_FEELINGS,Tang,ànàn,same
龍鐘,龙钟,lóngzhōng,lóng~zhōng,long2~zhong1,RHYME,WETNESS,Tang,lóngzhōng,same
