traditional,simplified,pyoriginal,pinyintone,pinyinnum,morphology,sensorymod,datasource,inbetween,same
豈弟,岂弟,kǎi tì,kǎi~tì,kai3~ti4,RHYME,EVALUATION,Shijing,qǐdì,different
豈弟,岂弟,kǎi tì,kǎi~tì,kai3~ti4,RHYME,EVALUATION,Shijing,qǐdì,different
豈弟,岂弟,kǎi tì,kǎi~tì,kai3~ti4,RHYME,EVALUATION,Shijing,qǐdì,different
豈弟,岂弟,kǎi tì,kǎi~tì,kai3~ti4,RHYME,EVALUATION,Shijing,qǐdì,different
豈弟,岂弟,kǎi tì,kǎi~tì,kai3~ti4,RHYME,EVALUATION,Shijing,qǐdì,different
豈弟,岂弟,kǎi tì,kǎi~tì,kai3~ti4,RHYME,EVALUATION,Shijing,qǐdì,different
豈弟,岂弟,kǎi tì,kǎi~tì,kai3~ti4,RHYME,EVALUATION,Shijing,qǐdì,different
豈弟,岂弟,kǎi tì,kǎi~tì,kai3~ti4,RHYME,EVALUATION,Shijing,qǐdì,different
赳赳,赳赳,jiū jiū,jǐu~jǐu,jiu3~jiu3,REDUPLICATION,VISUAL+EVALUATION,Shijing,jǐujǐu,different
赳赳,赳赳,jiū jiū,jǐu~jǐu,jiu3~jiu3,REDUPLICATION,VISUAL+EVALUATION,Shijing,jǐujǐu,different
赳赳,赳赳,jiū jiū,jǐu~jǐu,jiu3~jiu3,REDUPLICATION,VISUAL+EVALUATION,Shijing,jǐujǐu,different
趯趯,趯趯,tì tì,tì~tì,ti4~ti4,REDUPLICATION,MOVEMENT,Shijing,tìtì,different
趯趯,趯趯,tì tì,tì~tì,ti4~ti4,REDUPLICATION,MOVEMENT,Shijing,tìtì,different
踖踖,踖踖,jí jí,jí~jí,ji2~ji2,REDUPLICATION,EVALUATION,Shijing,jíjí,different
踧踧,踧踧,cù cù,cù~cù,cu4~cu4,REDUPLICATION,VISUAL,Shijing,cùcù,different
踽踽,踽踽,jǔ jǔ,jǔ~jǔ,ju3~ju3,REDUPLICATION,FEELING,Shijing,jǔjǔ,different
蹌蹌,跄跄,qiàng qiàng,qiāng~qiāng,qiang1~qiang1,REDUPLICATION,EVALUATION,Shijing,qiāngqiāng,different
蹌蹌,跄跄,qiàng qiàng,qiāng~qiāng,qiang1~qiang1,REDUPLICATION,MOVEMENT,Shijing,qiāngqiāng,different
蹙蹙,蹙蹙,cù cù,cù~cù,cu4~cu4,REDUPLICATION,EVALUATION,Shijing,cùcù,different
蹲蹲,蹲蹲,qūn qūn,dūn~dūn,dun1~dun1,REDUPLICATION,VISUAL,Shijing,dūndūn,different
蹶蹶,蹶蹶,jué jué,jué~jué,jue2~jue2,REDUPLICATION,EVALUATION,Shijing,juéjué,different
蹻蹻,蹻蹻,jiǎo jiǎo,jiǎo~ jiǎo,jiao3~jiao3,REDUPLICATION,EVALUATION,Shijing,qiāoqiāo,different
蹻蹻,蹻蹻,jiǎo jiǎo,jiǎo~ jiǎo,jiao3~jiao3,REDUPLICATION,EVALUATION,Shijing,qiāoqiāo,different
蹻蹻,蹻蹻,jiǎo jiǎo,jiǎo~ jiǎo,jiao3~jiao3,REDUPLICATION,VISUAL+EVALUATION,Shijing,qiāoqiāo,different
蹻蹻,蹻蹻,jiǎo jiǎo,jiǎo~ jiǎo,jiao3~jiao3,REDUPLICATION,VISUAL+EVALUATION,Shijing,qiāoqiāo,different
蹻蹻,蹻蹻,jiǎo jiǎo,jiǎo~ jiǎo,jiao3~jiao3,REDUPLICATION,VISUAL+EVALUATION,Shijing,qiāoqiāo,different
躍躍,跃跃,yuè yuè,yuè~yuè,yue4~yue4,REDUPLICATION,MOVEMENT,Shijing,yuèyuè,different
