pinyinnum,traditional,simplified,morph,morphnew,pinyinnum_1,H1,H2,H3,H4,H1.freq,H2.freq,H3.freq,H4.freq,H1.comb.freq,H2.comb.freq,H3.comb.freq,H4.comb.freq,morphnew
lin3~ran2,凜然,凛然,RAN,RAN,lin3~ran2,凛,然,,,"2,0691","1939,9062",,,4,139,,,RAN
hua4~ran2,劃然,划然,RAN,RAN,hua4~ran2,划,然,,,"144,8642","1939,9062",,,36,139,,,RAN
bo2~ran2,勃然,勃然,RAN,RAN,bo2~ran2,勃,然,,,"16,7259","1939,9062",,,16,139,,,RAN
yin3~ran2,听然,听然,RAN,RAN,yin3~ran2,听,然,,,"929,1309","1939,9062",,,56,139,,,RAN
fu3~ran2,嘸然,呒然,RAN,RAN,fu3~ran2,呒,然,,,"1,0519","1939,9062",,,0,139,,,RAN
chi3~ran2,哆然,哆然,RAN,RAN,chi3~ran2,哆,然,,,9763,"1939,9062",,,2,139,,,RAN
xia1~ran2,嗑然,嗑然,RAN,RAN,xia1~ran2,嗑,然,,,"5,8173","1939,9062",,,0,139,,,RAN
ta4~ran2,嗒然,嗒然,RAN,RAN,ta4~ran2,嗒,然,,,10079,"1939,9062",,,3,139,,,RAN
kuai4~ran2,塊然,块然,RAN,RAN,kuai4~ran2,块,然,,,"188,5926","1939,9062",,,33,139,,,RAN
shi4~ran2,奭然,奭然,RAN,RAN,shi4~ran2,奭,然,,,,"1939,9062",,,,139,,,RAN
pin2~ran2,嬪然,嫔然,RAN,RAN,pin2~ran2,嫔,然,,,"0,9926","1939,9062",,,1,139,,,RAN
yan1~ran2,嫣然,嫣然,RAN,RAN,yan1~ran2,嫣,然,,,,"1939,9062",,,,139,,,RAN
e2~ran2,峨然,峨然,RAN,RAN,e2~ran2,峨,然,,,"2,5136","1939,9062",,,2,139,,,RAN
zhan3~ran2,嶄然,崭然,RAN,RAN,zhan3~ran2,崭,然,,,"7,8667","1939,9062",,,2,139,,,RAN
fan1~ran2,幡然,幡然,RAN,RAN,fan1~ran2,幡,然,,,"0,6123","1939,9062",,,1,139,,,RAN
fu2~ran2,怫然,怫然,RAN,RAN,fu2~ran2,怫,然,,,,"1939,9062",,,,139,,,RAN
jue2~ran2,戄然,戄然,RAN,RAN,jue2~ran2,戄,然,,,,"1939,9062",,,,139,,,RAN
rou2~ran2,柔然,柔然,RAN,RAN,rou2~ran2,柔,然,,,"77,9358","1939,9062",,,20,139,,,RAN
you2~ran2,油然,油然,RAN,RAN,you2~ran2,油,然,,,"393,3531","1939,9062",,,153,139,,,RAN
xian3~ran2,洗然,洗然,RAN,RAN,xian3~ran2,洗,然,,,"292,9926","1939,9062",,,49,139,,,RAN
xuan2~ran2,涓然,涓然,RAN,RAN,xuan2~ran2,涓,然,,,"0,9086","1939,9062",,,0,139,,,RAN
piao1~ran2,漂然,漂然,RAN,RAN,piao1~ran2,漂,然,,,"218,0741","1939,9062",,,15,139,,,RAN
huang4~ran2,潢然,潢然,RAN,RAN,huang4~ran2,潢,然,,,"1,3284","1939,9062",,,1,139,,,RAN
zhuo2~ran2,灼然,灼然,RAN,RAN,zhuo2~ran2,灼,然,,,"10,7457","1939,9062",,,5,139,,,RAN
shuai4~ran2,率然,率然,RAN,RAN,shuai4~ran2,率,然,,,"90,0988","1939,9062",,,69,139,,,RAN
qi2~ran2,祺然,祺然,RAN,RAN,qi2~ran2,祺,然,,,"1,5753","1939,9062",,,0,139,,,RAN
yao3~ran2,窅然,窅然,RAN,RAN,yao3~ran2,窅,然,,,,"1939,9062",,,,139,,,RAN
suo3~ran2,索然,索然,RAN,RAN,suo3~ran2,索,然,,,"114,5333","1939,9062",,,34,139,,,RAN
xi1~ran2,翕然,翕然,RAN,RAN,xi1~ran2,翕,然,,,,"1939,9062",,,,139,,,RAN
xiao1~ran2,翛然,翛然,RAN,RAN,xiao1~ran2,翛,然,,,,"1939,9062",,,,139,,,RAN
tuo1~ran2,脫然,脱然,RAN,RAN,tuo1~ran2,脱,然,,,"121,9062","1939,9062",,,47,139,,,RAN
mang2~ran2,茫然,茫然,RAN,RAN,mang2~ran2,茫,然,,,"41,7531","1939,9062",,,7,139,,,RAN
ta1~ran2,荅然,荅然,RAN,RAN,ta1~ran2,荅,然,,,,"1939,9062",,,,139,,,RAN
qu2~ran2,蘧然,蘧然,RAN,RAN,qu2~ran2,蘧,然,,,,"1939,9062",,,,139,,,RAN
you4~ran2,褏然,褏然,RAN,RAN,you4~ran2,褏,然,,,,"1939,9062",,,,139,,,RAN
zhi4~ran2,贄然,贽然,RAN,RAN,zhi4~ran2,贽,然,,,,"1939,9062",,,,139,,,RAN
zhan3~ran2,蹍然,蹍然,RAN,RAN,zhan3~ran2,蹍,然,,,,"1939,9062",,,,139,,,RAN
cu4~ran2,蹙然,蹙然,RAN,RAN,cu4~ran2,蹙,然,,,"0,2667","1939,9062",,,1,139,,,RAN
cu4~ran2,蹴然,蹴然,RAN,RAN,cu4~ran2,蹴,然,,,237,"1939,9062",,,1,139,,,RAN
zhuo2~ran2,酌然,酌然,RAN,RAN,zhuo2~ran2,酌,然,,,"2,7901","1939,9062",,,3,139,,,RAN
yan1~ran2,閹然,阉然,RAN,RAN,yan1~ran2,阉,然,,,"1,6691","1939,9062",,,2,139,,,RAN
han3~ran2,闞然,阚然,RAN,RAN,han3~ran2,阚,然,,,,"1939,9062",,,,139,,,RAN
yong2~ran2,顒然,顒然,RAN,RAN,yong2~ran2,顒,然,,,,"1939,9062",,,,139,,,RAN
yi1~yu4,伊鬱,伊鬱,RB,RB,yi1~yu4,伊,鬱,,,"101,7926",,,,6,,,,RB
ji2~qu1,佶屈,佶屈,RB,RB,ji2~qu1,佶,屈,,,,"45,9753",,,,20,,,RB
yi1~xi1,依稀,依稀,RB,RB,yi1~xi1,依,稀,,,"200,6617","39,1309",,,29,24,,,RB
kong1~tong2,倥侗,倥侗,RB,RB,kong1~tong2,倥,侗,,,,,,,,,,,RB
wei1~chi2,倭遲,倭迟,RB,RB,wei1~chi2,倭,迟,,,"0,3753",87442,,,1,11,,,RB
pang2~huang2,傍偟,傍偟,RB,RB,pang2~huang2,傍,偟,,,"7,0519",,,,3,,,,RB
lan2~dan1,蘭單,兰单,RB,RB,lan2~dan1,兰,单,,,"153,0963","559,6691",,,23,117,,,RB
kou4~mao4,區霿,区霿,RB,RB,kou4~mao4,区,霿,,,"319,8667",,,,110,,,,RB
ke1~za1,㕉匝,㕉匝,RB,RB,ke1~za1,㕉,匝,,,,"0,5383",,,,0,,,RB
jiao4~tiao2,叫條,叫条,RB,RB,jiao4~tiao2,叫,条,,,"610,9037","359,4123",,,45,72,,,RB
liao2~liang4,嘹亮,嘹亮,RB,RB,liao2~liang4,嘹,亮,,,"0,5827","441,8864",,,1,38,,,RB
liao2~li4,嘹唳,嘹唳,RB,RB,liao2~li4,嘹,唳,,,"0,5827","0,2123",,,1,1,,,RB
pin2~shen1,嚬呻,嚬呻,RB,RB,pin2~shen1,嚬,呻,,,,"2,5432",,,,1,,,RB
lei3~kuai4,壘塊,垒块,RB,RB,lei3~kuai4,垒,块,,,"7,3827","188,5926",,,6,33,,,RB
gui3~hua4,姽嫿,姽嫿,RB,RB,gui3~hua4,姽,嫿,,,,,,,,,,,RB
ping1~ting2,娉婷,娉婷,RB,RB,ping1~ting2,娉,婷,,,,,,,,,,,RB
e1~nuo3,婀娜,婀娜,RB,RB,e1~nuo3,婀,娜,,,"0,4346","114,0642",,,2,3,,,RB
wan3~zhuan3,婉轉,婉转,RB,RB,wan3~zhuan3,婉,转,,,"8,3556","591,0963",,,5,116,,,RB
mi3~mi4,孊密,孊密,RB,RB,mi3~mi4,孊,密,,,,"244,2469",,,,57,,,RB
dang4~ming2,宕冥,宕冥,RB,RB,dang4~ming2,宕,冥,,,"1,6889","9,6346",,,0,5,,,RB
zhan3~zhuan3,展轉,展转,RB,RB,zhan3~zhuan3,展,转,,,"184,6815","591,0963",,,64,116,,,RB
kan1~yan2,嵁巖,嵁巖,RB,RB,kan1~yan2,嵁,巖,,,,,,,,,,,RB
cuo2~e2,嵯峨,嵯峨,RB,RB,cuo2~e2,嵯,峨,,,,"2,5136",,,,2,,,RB
jiao1~yao2,嶕嶢,嶕嶢,RB,RB,jiao1~yao2,嶕,嶢,,,,,,,,,,,RB
chan2~yan2,巉巖,巉巖,RB,RB,chan2~yan2,巉,巖,,,,,,,,,,,RB
ying3~ming2,巊冥,巊冥,RB,RB,ying3~ming2,巊,冥,,,,"9,6346",,,,5,,,RB
pai2~huai2,徘徊,徘徊,RB,RB,pai2~huai2,徘,徊,,,"7,8272",7916,,,1,1,,,RB
pang2~huang2,徬徨,徬徨,RB,RB,pang2~huang2,徬,徨,,,,"3,7728",,,,1,,,RB
niu3~ni2,忸怩,忸怩,RB,RB,niu3~ni2,忸,怩,,,"0,0889","0,0988",,,1,1,,,RB
chao1~chang4,怊悵,怊怅,RB,RB,chao1~chang4,怊,怅,,,,"6,6272",,,,4,,,RB
kun3~kuan3,悃款,悃款,RB,RB,kun3~kuan3,悃,款,,,"0,1333","217,1062",,,0,54,,,RB
you1~yang2,悠揚,悠扬,RB,RB,you1~yang2,悠,扬,,,"37,1556","50,8444",,,13,40,,,RB
chou2~chang4,惆悵,惆怅,RB,RB,chou2~chang4,惆,怅,,,"5,8272","6,6272",,,1,4,,,RB
chong1~jing3,憧憬,憧憬,RB,RB,chong1~jing3,憧,憬,,,"5,1062","5,0815",,,1,1,,,RB
liao3~li4,憭慄,憭慄,RB,RB,liao3~li4,憭,慄,,,,,,,,,,,RB
liu2~li4,懰慄,懰慄,RB,RB,liu2~li4,懰,慄,,,,,,,,,,,RB
tao1~da2,挑達,挑达,RB,RB,tao1~da2,挑,达,,,"268,5531","526,2173",,,27,47,,,RB
hui1~huo4,揮霍,挥霍,RB,RB,hui1~huo4,挥,霍,,,"63,4025","39,7333",,,29,3,,,RB
lüe4~xue1,掠削,掠削,RB,RB,lüe4~xue1,掠,削,,,"6,2469","12,4099",,,6,11,,,RB
ban1~bo1,斑剝,斑剥,RB,RB,ban1~bo1,斑,剥,,,"26,3753","15,5111",,,34,7,,,RB
geng3~gai4,梗概,梗概,RB,RB,geng3~gai4,梗,概,,,5679,"74,9827",,,7,18,,,RB
han4~man4,汗漫,汗漫,RB,RB,han4~man4,汗,漫,,,"54,6321","205,5358",,,27,20,,,RB
kou4~mao4,溝瞀,沟瞀,RB,RB,kou4~mao4,沟,瞀,,,"39,9753",,,,18,,,,RB
huang4~yang2,洸洋,洸洋,RB,RB,huang4~yang2,洸,洋,,,,"102,4642",,,,52,,,RB
xia2~die2,浹渫,浃渫,RB,RB,xia2~die2,浃,渫,,,"0,3951",,,,1,,,,RB
lao2~lang4,浶浪,浶浪,RB,RB,lao2~lang4,浶,浪,,,,"583,6741",,,,31,,,RB
ting2~ying2,渟瀯,渟瀯,RB,RB,ting2~ying2,渟,瀯,,,,,,,,,,,RB
man4~huan4,漫漶,漫漶,RB,RB,man4~huan4,漫,漶,,,"205,5358",,,,20,,,,RB
liao3~dao3,潦倒,潦倒,RB,RB,liao3~dao3,潦,倒,,,"1,5111","328,1827",,,2,77,,,RB
dan2~man4,澶漫,澶漫,RB,RB,dan2~man4,澶,漫,,,,"205,5358",,,,20,,,RB
lan4~yan4,爁焱,爁焱,RB,RB,lan4~yan4,爁,焱,,,,,,,,,,,RB
se4~suo3,瑟索,瑟索,RB,RB,se4~suo3,瑟,索,,,"39,8025","114,5333",,,2,34,,,RB
se4~suo1,瑟縮,瑟缩,RB,RB,se4~suo1,瑟,缩,,,"39,8025","35,7383",,,2,29,,,RB
ju3~lü3,痀僂,痀偻,RB,RB,ju3~lü3,痀,偻,,,,"0,5235",,,,2,,,RB
xuan4~huan4,眴煥,眴焕,RB,RB,xuan4~huan4,眴,焕,,,,"5,7877",,,,5,,,RB
piao3~miao3,瞟眇,瞟眇,RB,RB,piao3~miao3,瞟,眇,,,721,,,,0,,,,RB
mian2~miao3,矊眇,矊眇,RB,RB,mian2~miao3,矊,眇,,,,,,,,,,,RB
jue2~shuo4,矍鑠,矍铄,RB,RB,jue2~shuo4,矍,铄,,,"0,1235","0,1926",,,1,1,,,RB
dang4~tu2,碭突,砀突,RB,RB,dang4~tu2,砀,突,,,,"308,9185",,,,24,,,RB
peng1~ke1,硼磕,硼磕,RB,RB,peng1~ke1,硼,磕,,,"0,3309","8,0741",,,2,4,,,RB
peng1~yin3,硼隱,硼隐,RB,RB,peng1~yin3,硼,隐,,,"0,3309","79,5358",,,2,39,,,RB
pang2~tang2,磅唐,磅唐,RB,RB,pang2~tang2,磅,唐,,,"11,7778","65,1506",,,3,5,,,RB
pang2~bo2,磅礴,磅礴,RB,RB,pang2~bo2,磅,礴,,,"11,7778","1,4272",,,3,1,,,RB
wei3~wei3,磈硊,磈硊,RB,RB,wei3~wei3,磈,硊,,,,,,,,,,,RB
kui3~lei3,磈磊,磈磊,RB,RB,kui3~lei3,磈,磊,,,,"8,4049",,,,1,,,RB
shen1~shan1,綝縿,綝縿,RB,RB,shen1~shan1,綝,縿,,,,,,,,,,,RB
piao3~miao3,縹緲,缥缈,RB,RB,piao3~miao3,缥,缈,,,"0,9778",1037,,,1,1,,,RB
fei3~cui4,翡翠,翡翠,RB,RB,fei3~cui4,翡,翠,,,"7,5654","17,0667",,,1,10,,,RB
liao2~lang2,聊浪,聊浪,RB,RB,liao2~lang2,聊,浪,,,"398,1827","583,6741",,,7,31,,,RB
ming2~miao3,茗邈,茗邈,RB,RB,ming2~miao3,茗,邈,,,"1,9901",,,,1,,,,RB
yan3~ai3,菴藹,菴蔼,RB,RB,yan3~ai3,菴,蔼,,,,"2,1383",,,,2,,,RB
beng3~rong2,菶茸,菶茸,RB,RB,beng3~rong2,菶,茸,,,,"3,4963",,,,3,,,RB
xu4~suo1,蓄縮,蓄缩,RB,RB,xu4~suo1,蓄,缩,,,"12,5086","35,7383",,,15,29,,,RB
nie4~wu4,蘖卼,蘖卼,RB,RB,nie4~wu4,蘖,卼,,,,,,,,,,,RB
hui1~tui2,虺隤,虺隤,RB,RB,hui1~tui2,虺,隤,,,,,,,,,,,RB
fen2~yun1,蚡緼,蚡緼,RB,RB,fen2~yun1,蚡,緼,,,,,,,,,,,RB
chan2~lian2,蟬聯,蝉联,RB,RB,chan2~lian2,蝉,联,,,"55,6691","293,8765",,,5,64,,,RB
di4~dong1,螮蝀,螮蝀,RB,RB,di4~dong1,螮,蝀,,,,,,,,,,,RB
pei2~huai2,裴徊,裴徊,RB,RB,pei2~huai2,裴,徊,,,"1,4519",7916,,,0,1,,,RB
lan2~lü3,襤褸,褴褛,RB,RB,lan2~lü3,褴,褛,,,"0,1926","0,2272",,,1,1,,,RB
luo2~lü2,覶縷,覶缕,RB,RB,luo2~lü2,覶,缕,,,,"6,7012",,,,2,,,RB
bi4~fei4,觱沸,觱沸,RB,RB,bi4~fei4,觱,沸,,,,"17,6988",,,,6,,,RB
tiao3~yue4,誂越,誂越,RB,RB,tiao3~yue4,誂,越,,,,"533,1753",,,,40,,,RB
jie2~qu1,詰誳,诘誳,RB,RB,jie2~qu1,诘,誳,,,"0,2321",,,,2,,,,RB
die1~dang4,跌宕,跌宕,RB,RB,die1~dang4,跌,宕,,,"40,3951","1,6889",,,15,0,,,RB
ju2~zhu2,跼躅,跼躅,RB,RB,ju2~zhu2,跼,躅,,,,"0,1136",,,,1,,,RB
ju3~lü3,踽僂,踽偻,RB,RB,ju3~lü3,踽,偻,,,,"0,5235",,,,2,,,RB
pan2~shan1,蹣跚,蹒跚,RB,RB,pan2~shan1,蹒,跚,,,"1,1506","1,2444",,,1,1,,,RB
pian2~tian2,輣闐,輣阗,RB,RB,pian2~tian2,輣,阗,,,,,,,,,,,RB
zhan3~zhuan3,輾轉,辗转,RB,RB,zhan3~zhuan3,辗,转,,,"6,9383","591,0963",,,1,116,,,RB
li3~yi3,邐迤,逦迤,RB,RB,li3~yi3,逦,迤,,,,,,,,,,,RB
bi1~beng4,逼迸,逼迸,RB,RB,bi1~beng4,逼,迸,,,"164,1333","1,1457",,,14,2,,,RB
mao2~tao2,酕醄,酕醄,RB,RB,mao2~tao2,酕,醄,,,,,,,,,,,RB
xian3~xi1,險巇,险巇,RB,RB,xian3~xi1,险,巇,,,"138,8691",,,,55,,,,RB
han4~dan4,顄淡,顄淡,RB,RB,han4~dan4,顄,淡,,,,"160,9926",,,,31,,,RB
kan3~han4,顑頷,顑颔,RB,RB,kan3~han4,顑,颔,,,,,,,,,,,RB
bin1~peng1,驞駍,驞駍,RB,RB,bin1~peng1,驞,駍,,,,,,,,,,,RB
du2~lou2,髑髏,髑髅,RB,RB,du2~lou2,髑,髅,,,"0,1284","3,0519",,,1,2,,,RB
an4~tan3,黯黮,黯黮,RB,RB,an4~tan3,黯,黮,,,"4,0346",,,,3,,,,RB
wei2~e2,巍峨,巍峨,RED,RED,wei2~e2,巍,峨,,,"1,9802","2,5136",,,3,2,,,RED
wei2~e2,巍峩,巍峩,RED,RED,wei2~e2,巍,峩,,,"1,9802",,,,3,,,,RED
ye4~ye4,曵曳,曵曳,RED,RED,ye4~ye4,曵,曳,,,,"4,4691",,,,2,,,RED
qing1~ying2,青熒,青荧,RED,RED,qing1~ying2,青,荧,,,297684,"5,3926",,,74,6,,,RED
yao2~yang2,颻颺,颻颺,RED,RED,yao2~yang2,颻,颺,,,,,,,,,,,RED
sao1~sao1,騷搔,骚搔,RED,RED,sao1~sao1,骚,搔,,,39442,"0,9086",,,11,2,,,RED
qiu1~xu1,丘虛,丘虚,RR,RR,qiu1~xu1,丘,虚,,,"9,2938","91,9259",,,9,40,,,RR
yao1~mo2,么麼,么麽,RR,RR,yao1~mo2,么,麽,,,"5856,5728",,,,19,,,,RR
wu1~hu1,烏乎,乌乎,RR,RR,wu1~hu1,乌,乎,,,52642,"244,9383",,,28,36,,,RR
wu1~hu1,烏呼,乌呼,RR,RR,wu1~hu1,乌,呼,,,52642,"194,2815",,,28,46,,,RR
wu1~hu1,烏虖,乌虖,RR,RR,wu1~hu1,乌,虖,,,52642,,,,28,,,,RR
luo4~tuo1,樂託,乐託,RR,RR,luo4~tuo1,乐,託,,,"1581,5407",,,,144,,,,RR
cang1~cu4,倉猝,仓猝,RR,RR,cang1~cu4,仓,猝,,,"30,6765","1,1753",,,17,3,,,RR
cang1~huang2,倉皇,仓皇,RR,RR,cang1~huang2,仓,皇,,,"30,6765",103842,,,17,35,,,RR
yi1~yi4,伊邑,伊邑,RR,RR,yi1~yi4,伊,邑,,,"101,7926","1,1259",,,6,1,,,RR
you1~rou2,優柔,优柔,RR,RR,you1~rou2,优,柔,,,"172,9531","77,9358",,,34,20,,,RR
you1~you2,優游,优游,RR,RR,you1~you2,优,游,,,"172,9531","645,4123",,,34,87,,,RR
you1~you2,優遊,优遊,RR,RR,you1~you2,优,遊,,,"172,9531",,,,34,,,,RR
cang1~ning2,傖獰,伧狞,RR,RR,cang1~ning2,伧,狞,,,,"0,9531",,,,2,,,RR
ling2~ping1,伶俜,伶俜,RR,RR,ling2~ping1,伶,俜,,,"3,7333",,,,5,,,,RR
chi4~yi4,佁儗,佁儗,RR,RR,chi4~yi4,佁,儗,,,,,,,,,,,RR
yi4~yu4,佚豫,佚豫,RR,RR,yi4~yu4,佚,豫,,,"0,2667","21,4963",,,1,3,,,RR
zhu1~ru2,侏儒,侏儒,RR,RR,zhu1~ru2,侏,儒,,,"1,8667","8,6864",,,1,3,,,RR
cha4~chi4,侘傺,侘傺,RR,RR,cha4~chi4,侘,傺,,,,,,,,,,,RR
zhou1~zhang1,侜張,侜张,RR,RR,zhou1~zhang1,侜,张,,,,"605,4963",,,,38,,,RR
yi1~yue1,依約,依约,RR,RR,yi1~yue1,依,约,,,"200,6617","266,6716",,,29,56,,,RR
kuang2~rang2,俇攘,俇攘,RR,RR,kuang2~rang2,俇,攘,,,,"1,7531",,,,2,,,RR
lang3~chang1,俍倡,俍倡,RR,RR,lang3~chang1,俍,倡,,,,"5,7679",,,,6,,,RR
lang3~pang2,俍傍,俍傍,RR,RR,lang3~pang2,俍,傍,,,,"7,0519",,,,3,,,RR
ping1~ling2,俜伶,俜伶,RR,RR,ping1~ling2,俜,伶,,,,"3,7333",,,,5,,,RR
ti4~tang3,俶儻,俶傥,RR,RR,ti4~tang3,俶,傥,,,,,,,,,,,RR
pi3~ni2,俾倪,俾倪,RR,RR,pi3~ni2,俾,倪,,,"23,2049","3,4765",,,0,1,,,RR
shu1~hu1,倏忽,倏忽,RR,RR,shu1~hu1,倏,忽,,,242,"77,0321",,,2,14,,,RR
shu1~shen1,倏眒,倏眒,RR,RR,shu1~shen1,倏,眒,,,242,,,,2,,,,RR
chang2~yang2,倘佯,倘佯,RR,RR,chang2~yang2,倘,佯,,,"3,2938","0,8296",,,4,3,,,RR
ti4~tang3,倜儻,倜傥,RR,RR,ti4~tang3,倜,傥,,,,,,,,,,,RR
kong3~zong3,倥傯,倥偬,RR,RR,kong3~zong3,倥,偬,,,,,,,,,,,RR
wo3~duo4,倭墮,倭堕,RR,RR,wo3~duo4,倭,堕,,,"0,3753","11,9704",,,1,3,,,RR
yan3~jian3,偃蹇,偃蹇,RR,RR,yan3~jian3,偃,蹇,,,"3,0667",,,,1,,,,RR
wo4~cu4,偓促,偓促,RR,RR,wo4~cu4,偓,促,,,,"77,8815",,,,16,,,RR
chu2~yu3,儲與,储与,RR,RR,chu2~yu3,储,与,,,"49,1309","962,0346",,,22,18,,,RR
qi1~chou3,僛丑,僛丑,RR,RR,qi1~chou3,僛,丑,,,,"75,2",,,,18,,,RR
shu1~hu1,儵忽,儵忽,RR,RR,shu1~hu1,儵,忽,,,,"77,0321",,,,14,,,RR
chong1~chi4,充斥,充斥,RR,RR,chong1~chi4,充,斥,,,222,"11,3037",,,28,13,,,RR
ling2~li4,凌厲,凌厉,RR,RR,ling2~li4,凌,厉,,,"103,3827","58,4988",,,14,9,,,RR
kuang1~rang2,劻勷,劻勷,RR,RR,kuang1~rang2,劻,勷,,,,,,,,,,,RR
pu2~fu2,匍匐,匍匐,RR,RR,pu2~fu2,匍,匐,,,558,"0,5185",,,1,1,,,RR
zhuo1~luo4,卓犖,卓荦,RR,RR,zhuo1~luo4,卓,荦,,,"27,5605",,,,6,,,,RR
zhan1~duan4,占斷,占断,RR,RR,zhan1~duan4,占,断,,,"54,3901","276,8049",,,22,71,,,RR
cen1~ci1,參差,参差,RR,RR,cen1~ci1,参,差,,,"586,9383","273,0617",,,52,53,,,RR
pan4~huan4,叛換,叛换,RR,RR,pan4~huan4,叛,换,,,"31,0963",348558,,,15,55,,,RR
pan4~yan3,叛衍,叛衍,RR,RR,pan4~yan3,叛,衍,,,"31,0963","6,5284",,,15,6,,,RR
hao2~tao2,號咷,号咷,RR,RR,hao2~tao2,号,咷,,,"436,8296",,,,106,,,,RR
ou1~ya3,嘔啞,呕哑,RR,RR,ou1~ya3,呕,哑,,,"16,7407","13,4716",,,5,13,,,RR
ou1~ya4,嘔軋,呕轧,RR,RR,ou1~ya4,呕,轧,,,"16,7407","1,3383",,,5,1,,,RR
wu1~hu1,嗚乎,呜乎,RR,RR,wu1~hu1,呜,乎,,,"51,2543","244,9383",,,3,36,,,RR
wu1~hu1,嗚呼,呜呼,RR,RR,wu1~hu1,呜,呼,,,"51,2543","194,2815",,,3,46,,,RR
wu1~ye1,嗚咽,呜咽,RR,RR,wu1~ye1,呜,咽,,,"51,2543","13,8321",,,3,9,,,RR
wu1~hu1,嗚虖,呜虖,RR,RR,wu1~hu1,呜,虖,,,"51,2543",,,,3,,,,RR
shen1~yin2,呻吟,呻吟,RR,RR,shen1~yin2,呻,吟,,,"2,5432",8,,,1,9,,,RR
ju3~ju2,咀嚼,咀嚼,RR,RR,ju3~ju2,咀,嚼,,,"3,8864",10321,,,1,4,,,RR
hai2~tai2,咍台,咍台,RR,RR,hai2~tai2,咍,台,,,,412316,,,,107,,,RR
zha4~sha1,咤沙,咤沙,RR,RR,zha4~sha1,咤,沙,,,"0,6519",134,,,1,72,,,RR
zi1~jie1,咨嗟,咨嗟,RR,RR,zi1~jie1,咨,嗟,,,"10,7951","0,9679",,,3,2,,,RR
zhi3~chi3,咫尺,咫尺,RR,RR,zhi3~chi3,咫,尺,,,7116,45758,,,1,22,,,RR
tang2~tu1,唐突,唐突,RR,RR,tang2~tu1,唐,突,,,"65,1506","308,9185",,,5,24,,,RR
wa1~ou1,唲嘔,唲呕,RR,RR,wa1~ou1,唲,呕,,,,"16,7407",,,,5,,,RR
zhao1~zha1,啁哳,啁哳,RR,RR,zhao1~zha1,啁,哳,,,,,,,,,,,RR
zhou1~jiao1,啁啾,啁啾,RR,RR,zhou1~jiao1,啁,啾,,,,,,,,,,,RR
zhou1~jiao1,啁噍,啁噍,RR,RR,zhou1~jiao1,啁,噍,,,,,,,,,,,RR
an2~long4,啽哢,啽哢,RR,RR,an2~long4,啽,哢,,,,,,,,,,,RR
an2~mo4,啽默,啽默,RR,RR,an2~mo4,啽,默,,,,"134,6667",,,,19,,,RR
jiu1~ji1,啾唧,啾唧,RR,RR,jiu1~ji1,啾,唧,,,,"6,7901",,,,5,,,RR
jiu1~cao2,啾嘈,啾嘈,RR,RR,jiu1~cao2,啾,嘈,,,,"5,8765",,,,1,,,RR
yin4~wu1,喑嗚,喑呜,RR,RR,yin4~wu1,喑,呜,,,"0,1235","51,2543",,,1,3,,,RR
yin1~wu4,喑噁,喑噁,RR,RR,yin1~wu4,喑,噁,,,"0,1235",,,,1,,,,RR
ying1~wo1,嚶喔,嘤喔,RR,RR,ying1~wo1,嘤,喔,,,"5,2494","101,0765",,,1,0,,,RR
cheng1~hong2,噌吰,噌吰,RR,RR,cheng1~hong2,噌,吰,,,"0,6568",,,,0,,,,RR
jiao4~tiao4,噭咷,噭咷,RR,RR,jiao4~tiao4,噭,咷,,,,,,,,,,,RR
ru2~er2,嚅唲,嚅唲,RR,RR,ru2~er2,嚅,唲,,,,,,,,,,,RR
yin1~xun2,因循,因循,RR,RR,yin1~xun2,因,循,,,1034884,"24,1975",,,36,7,,,RR
yin1~xun2,因巡,因巡,RR,RR,yin1~xun2,因,巡,,,1034884,"19,8815",,,36,22,,,RR
yang3~ya4,坱圠,坱圠,RR,RR,yang3~ya4,坱,圠,,,,,,,,,,,RR
yang3~ya4,坱軋,坱轧,RR,RR,yang3~ya4,坱,轧,,,,"1,3383",,,,1,,,RR
pi4~ni4,埤坭,埤坭,RR,RR,pi4~ni4,埤,坭,,,,,,,,,,,RR
pi4~ni4,埤堄,埤堄,RR,RR,pi4~ni4,埤,堄,,,,,,,,,,,RR
yin2~yuan2,夤緣,夤缘,RR,RR,yin2~yuan2,夤,缘,,,,117042,,,,31,,,RR
yao1~qiao3,夭矯,夭矫,RR,RR,yao1~qiao3,夭,矫,,,2242,"7,3827",,,2,7,,,RR
yi2~you2,夷猶,夷犹,RR,RR,yi2~you2,夷,犹,,,"11,2444","47,9951",,,3,12,,,RR
huan4~yan3,奐衍,奂衍,RR,RR,huan4~yan3,奂,衍,,,"1,0815","6,5284",,,2,6,,,RR
qi4~kuo4,契闊,契阔,RR,RR,qi4~kuo4,契,阔,,,"23,9259","21,5753",,,7,17,,,RR
tuo3~tie1,妥帖,妥帖,RR,RR,tuo3~tie1,妥,帖,,,"17,7481","25,2444",,,7,7,,,RR
wu3~mei4,嫵媚,妩媚,RR,RR,wu3~mei4,妩,媚,,,"3,2395","23,3432",,,1,9,,,RR
xu3~yu2,姁媮,姁媮,RR,RR,xu3~yu2,姁,媮,,,,,,,,,,,RR
ran3~niao3,姌嫋,姌嫋,RR,RR,ran3~niao3,姌,嫋,,,,,,,,,,,RR
