pinyinnum,traditional,simplified,morph,morphnew,pinyinnum_1,H1,H2,H3,H4,H1.freq,H2.freq,H3.freq,H4.freq,H1.comb.freq,H2.comb.freq,H3.comb.freq,H4.comb.freq,morphnew
mou1,哞,哞,,A,mou1,哞,,,,"0,5531",,,,1,,,,A
yo5,喲,哟,,A,yo5,哟,,,,"92,0444",,,,3,,,,A
o1,哦,哦,,A,o1,哦,,,,"968,9531",,,,0,,,,A
chi1,哧,哧,,A,chi1,哧,,,,"1,7086",,,,3,,,,A
heng1,哼,哼,,A,heng1,哼,,,,"43,9802",,,,5,,,,A
ai1,唉,唉,,A,ai1,唉,,,,"109,2691",,,,1,,,,A
xi1,唏,唏,,A,xi1,唏,,,,2558,,,,1,,,,A
sha1,唦,唦,,A,sha1,唦,,,,,,,,,,,,A
ji1,唧,唧,,A,ji1,唧,,,,"6,7901",,,,5,,,,A
bang1,𠳐,𠳐,,A,bang1,𠳐,,,,,,,,,,,,A
wei2,唯,唯,,A,wei2,唯,,,,"136,0593",,,,11,,,,A
shua1,唰,唰,,A,shua1,唰,,,,"0,7951",,,,0,,,,A
yo1,唷,唷,,A,yo1,唷,,,,,,,,,,,,A
hu1,唿,唿,,A,hu1,唿,,,,,,,,,,,,A
zhuo2,啄,啄,,A,zhuo2,啄,,,,"1,1753",,,,2,,,,A
a4,啊,啊,,A,a4,啊,,,,"3242,1679",,,,3,,,,A
a5,啊,啊,,A,a5,啊,,,,"3242,1679",,,,3,,,,A
ze2,嘖,啧,,A,ze2,啧,,,,"6,6617",,,,2,,,,A
pa1,啪,啪,,A,pa1,啪,,,,"9,7235",,,,4,,,,A
lang1,啷,啷,,A,lang1,啷,,,,"1,2642",,,,1,,,,A
xiao4,嘯,啸,,A,xiao4,啸,,,,"19,2889",,,,4,,,,A
jiu1,啾,啾,,A,jiu1,啾,,,,,,,,,,,,A
ka1,喀,喀,,A,ka1,喀,,,,"3,4025",,,,2,,,,A
nan2,喃,喃,,A,nan2,喃,,,,"5,1111",,,,2,,,,A
la3,喇,喇,,A,la3,喇,,,,"34,0198",,,,7,,,,A
jie1,喈,喈,,A,jie1,喈,,,,,,,,,,,,A
wo1,喔,喔,,A,wo1,喔,,,,"101,0765",,,,0,,,,A
cha1,喳,喳,,A,cha1,喳,,,,"2,5037",,,,3,,,,A
zha1,喳,喳,,A,zha1,喳,,,,"2,5037",,,,3,,,,A
miao1,喵,喵,,A,miao1,喵,,,,"21,7284",,,,0,,,,A
lou5,嘍,喽,,A,lou5,喽,,,,"77,6494",,,,1,,,,A
ke4,嗑,嗑,,A,ke4,嗑,,,,"5,8173",,,,0,,,,A
da1,嗒,嗒,,A,da1,嗒,,,,10079,,,,3,,,,A
ta4,嗒,嗒,,A,ta4,嗒,,,,10079,,,,3,,,,A
sou1,嗖,嗖,,A,sou1,嗖,,,,"2,2667",,,,1,,,,A
ge2,嗝,嗝,,A,ge2,嗝,,,,"4,8741",,,,3,,,,A
zi1,嗞,嗞,,A,zi1,嗞,,,,,,,,,,,,A
weng1,嗡,嗡,,A,weng1,嗡,,,,"4,9877",,,,1,,,,A
chi1,嗤,嗤,,A,chi1,嗤,,,,"1,0321",,,,2,,,,A
hai1,嗨,嗨,,A,hai1,嗨,,,,"174,9778",,,,1,,,,A
nie4,嗫,嗫,,A,nie4,嗫,,,,,,,,,,,,A
ng,嗯,嗯,,A,ng,嗯,,,,"207,3926",,,,0,,,,A
tong1,嗵,嗵,,A,tong1,嗵,,,,,,,,,,,,A
ao2,嗷,嗷,,A,ao2,嗷,,,,"12,8346",,,,1,,,,A
qi1,嘁,嘁,,A,qi1,嘁,,,,242,,,,0,,,,A
cao2,嘈,嘈,,A,cao2,嘈,,,,"5,8765",,,,1,,,,A
ga1,嘎,嘎,,A,ga1,嘎,,,,"41,6346",,,,2,,,,A
xu1,噓,嘘,,A,xu1,嘘,,,,"19,2938",,,,3,,,,A
de2,嘚,嘚,,A,de2,嘚,,,,"2,4148",,,,0,,,,A
le1,嘞,嘞,,A,le1,嘞,,,,"13,4963",,,,0,,,,A
tang1,嘡,嘡,,A,tang1,嘡,,,,,,,,,,,,A
beng1,嘣,嘣,,A,beng1,嘣,,,,"1,7827",,,,0,,,,A
ying1,嚶,嘤,,A,ying1,嘤,,,,"5,2494",,,,1,,,,A
qie4,㗫,㗫,,A,qie4,㗫,,,,,,,,,,,,A
du1,嘟,嘟,,A,du1,嘟,,,,"11,0222",,,,5,,,,A
peng1,嘭,嘭,,A,peng1,嘭,,,,"1,0765",,,,0,,,,A
si1,嘶,嘶,,A,si1,嘶,,,,"3,5556",,,,5,,,,A
xi1,嘻,嘻,,A,xi1,嘻,,,,"65,7778",,,,3,,,,A
hei1,嘿,嘿,,A,hei1,嘿,,,,"289,5852",,,,1,,,,A
ceng1,噌,噌,,A,ceng1,噌,,,,"0,6568",,,,0,,,,A
cheng1,噌,噌,,A,cheng1,噌,,,,"0,6568",,,,0,,,,A
deng1,噔,噔,,A,deng1,噔,,,,"1,2494",,,,0,,,,A
pu1,噗,噗,,A,pu1,噗,,,,9521,,,,0,,,,A
lu1,嚕,噜,,A,lu1,噜,,,,"16,9086",,,,6,,,,A
si1,噝,噝,,A,si1,噝,,,,,,,,,,,,A
o1,噢,噢,,A,o1,噢,,,,"226,5827",,,,0,,,,A
dang1,噹,噹,,A,dang1,噹,,,,,,,,,,,,A
pi1,噼,噼,,A,pi1,噼,,,,"4,2074",,,,2,,,,A
hao2,嚎,嚎,,A,hao2,嚎,,,,"4,4741",,,,4,,,,A
ti4,嚏,嚏,,A,ti4,嚏,,,,"6,8296",,,,3,,,,A
ca1,嚓,嚓,,A,ca1,嚓,,,,"3,5407",,,,2,,,,A
huo4,嚯,嚯,,A,huo4,嚯,,,,"1,5704",,,,0,,,,A
qu2,㘗,㘗,,A,qu2,㘗,,,,,,,,,,,,A
nang1,囔,囔,,A,nang1,囔,,,,"1,2099",,,,2,,,,A
hong2,宏,宏,,A,hong2,宏,,,,"31,8568",,,,9,,,,A
zong1,宗,宗,,A,zong1,宗,,,,"52,2716",,,,18,,,,A
ba1,巴,巴,,A,ba1,巴,,,,"266,1877",,,,47,,,,A
qing4,慶,庆,,A,qing4,庆,,,,"126,3556",,,,18,,,,A
dang1,當,当,,A,dang1,当,,,,"1142,9679",,,,108,,,,A
de2,得,得,,A,de2,得,,,,4328884,,,,141,,,,A
