traditional,simplified,pinyinnum,morph,morphnew,morphnewer,H1,H2,H3,H4,H1.freq,H2.freq,H3.freq,H4.freq,H1.comb.freq,H2.comb.freq,H3.comb.freq,H4.comb.freq
冬,冬,dong1,,A,A,冬,,,,"220,0049",,,,37,,,
凜,凛,lin3,,A,A,凛,,,,"2,0691",,,,4,,,
凱,凯,kai3,,A,A,凯,,,,87279,,,,3,,,
切,切,qie1,,A,A,切,,,,"555,2889",,,,58,,,
刮,刮,gua1,,A,A,刮,,,,"33,5012",,,,9,,,
刷,刷,shua1,,A,A,刷,,,,"149,0963",,,,20,,,
刺,刺,ci1,,A,A,刺,,,,"148,0593",,,,28,,,
刺,刺,ci4,,A,A,刺,,,,"148,0593",,,,28,,,
剝,剥,bo1,,A,A,剥,,,,"15,5111",,,,7,,,
劈,劈,pi1,,A,A,劈,,,,"9,2642",,,,7,,,
匉,匉,peng1,,A,A,匉,,,,,,,,,,,
卜,卜,bu3,,A,A,卜,,,,53284,,,,9,,,
叩,叩,kou4,,A,A,叩,,,,"1,7235",,,,4,,,
叭,叭,ba1,,A,A,叭,,,,"7,4321",,,,6,,,
叮,叮,ding1,,A,A,叮,,,,"14,0988",,,,5,,,
台,台,tai2,,A,A,台,,,,412316,,,,107,,,
號,号,hao2,,A,A,号,,,,"436,8296",,,,106,,,
嘰,叽,ji1,,A,A,叽,,,,5758,,,,5,,,
吓,吓,he1,,A,A,吓,,,,"96,8889",,,,9,,,
吞,吞,tun1,,A,A,吞,,,,"23,0025",,,,18,,,
吟,吟,yin2,,A,A,吟,,,,8,,,,9,,,
吡,吡,bi3,,A,A,吡,,,,"0,5037",,,,1,,,
吧,吧,ba1,,A,A,吧,,,,"3244,4938",,,,5,,,
吧,吧,ba5,,A,A,吧,,,,"3244,4938",,,,5,,,
吭,吭,keng1,,A,A,吭,,,,3684,,,,5,,,
吱,吱,zi1,,A,A,吱,,,,"5,1951",,,,5,,,
吱,吱,zhi1,,A,A,吱,,,,"5,1951",,,,5,,,
吼,吼,hou3,,A,A,吼,,,,"38,5185",,,,4,,,
呀,呀,ya1,,A,A,呀,,,,"403,9259",,,,5,,,
呃,呃,e4,,A,A,呃,,,,"123,0272",,,,0,,,
嘔,呕,ou1,,A,A,呕,,,,"16,7407",,,,5,,,
嗚,呜,wu1,,A,A,呜,,,,"51,2543",,,,3,,,
呢,呢,ni2,,A,A,呢,,,,"1118,9432",,,,7,,,
呱,呱,gua1,,A,A,呱,,,,"6,6469",,,,5,,,
呱,呱,gu1,,A,A,呱,,,,"6,6469",,,,5,,,
呵,呵,he1,,A,A,呵,,,,"133,3827",,,,8,,,
呸,呸,pei1,,A,A,呸,,,,"4,1531",,,,0,,,
呼,呼,hu1,,A,A,呼,,,,"194,2815",,,,46,,,
呼嚕咕咚嗚隆,呼噜咕咚呜隆,hu1~lu1~gu1~dong1~wu1~long2,,A,RRRRRR,,,,,,,,,,,,
咄,咄,duo1,,A,A,咄,,,,"1,9111",,,,1,,,
咔,咔,ka1,,A,A,咔,,,,"29,9012",,,,1,,,
咕,咕,gu1,,A,A,咕,,,,"12,1284",,,,12,,,
咚,咚,dong1,,A,A,咚,,,,4963,,,,4,,,
咣,咣,guang1,,A,A,咣,,,,"1,0568",,,,1,,,
咦,咦,yi2,,A,A,咦,,,,5763,,,,0,,,
咩,咩,mie1,,A,A,咩,,,,"53,2543",,,,0,,,
咪,咪,mi1,,A,A,咪,,,,"58,8741",,,,2,,,
咯,咯,ge1,,A,A,咯,,,,"234,3358",,,,2,,,
咳,咳,ke2,,A,A,咳,,,,"42,5827",,,,4,,,
咴,咴,hui1,,A,A,咴,,,,,,,,,,,
哄,哄,hong1,,A,A,哄,,,,"20,2914",,,,10,,,
哆,哆,duo1,,A,A,哆,,,,9763,,,,2,,,
哈,哈,ha1,,A,A,哈,,,,"925,0864",,,,28,,,
哎,哎,ai1,,A,A,哎,,,,167763,,,,2,,,
哐,哐,kuang1,,A,A,哐,,,,642,,,,1,,,
啞,哑,ya1,,A,A,哑,,,,"13,4716",,,,13,,,
啞,哑,e4~e4,,A,A,哑,,,,"13,4716",,,,13,,,
噠,哒,da1,,A,A,哒,,,,"13,6049",,,,1,,,
嗶,哔,bi4,,A,A,哔,,,,"2,0494",,,,0,,,
噦,哕,yue2,,A,A,哕,,,,,,,,,,,
嘩,哗,hua1,,A,A,哗,,,,"11,0617",,,,8,,,
噥,哝,nong2,,A,A,哝,,,,"0,8395",,,,2,,,
哞,哞,mou1,,A,A,哞,,,,"0,5531",,,,1,,,
喲,哟,yo5,,A,A,哟,,,,"92,0444",,,,3,,,
哦,哦,o1,,A,A,哦,,,,"968,9531",,,,0,,,
哧,哧,chi1,,A,A,哧,,,,"1,7086",,,,3,,,
哼,哼,heng1,,A,A,哼,,,,"43,9802",,,,5,,,
唉,唉,ai1,,A,A,唉,,,,"109,2691",,,,1,,,
唦,唦,sha1,,A,A,唦,,,,,,,,,,,
唧,唧,ji1,,A,A,唧,,,,"6,7901",,,,5,,,
𠳐,𠳐,bang1,,A,A,𠳐,,,,,,,,,,,
唯,唯,wei2,,A,A,唯,,,,"136,0593",,,,11,,,
唰,唰,shua1,,A,A,唰,,,,"0,7951",,,,0,,,
唷,唷,yo1,,A,A,唷,,,,,,,,,,,
唿,唿,hu1,,A,A,唿,,,,,,,,,,,
啄,啄,zhuo2,,A,A,啄,,,,"1,1753",,,,2,,,
啊,啊,a4,,A,A,啊,,,,"3242,1679",,,,3,,,
啊,啊,a5,,A,A,啊,,,,"3242,1679",,,,3,,,
嘖,啧,ze2,,A,A,啧,,,,"6,6617",,,,2,,,
啪,啪,pa1,,A,A,啪,,,,"9,7235",,,,4,,,
啷,啷,lang1,,A,A,啷,,,,"1,2642",,,,1,,,
啾,啾,jiu1,,A,A,啾,,,,,,,,,,,
喀,喀,ka1,,A,A,喀,,,,"3,4025",,,,2,,,
喃,喃,nan2,,A,A,喃,,,,"5,1111",,,,2,,,
喇,喇,la3,,A,A,喇,,,,"34,0198",,,,7,,,
喈,喈,jie1,,A,A,喈,,,,,,,,,,,
喔,喔,wo1,,A,A,喔,,,,"101,0765",,,,0,,,
喳,喳,cha1,,A,A,喳,,,,"2,5037",,,,3,,,
喳,喳,zha1,,A,A,喳,,,,"2,5037",,,,3,,,
喵,喵,miao1,,A,A,喵,,,,"21,7284",,,,0,,,
嘍,喽,lou5,,A,A,喽,,,,"77,6494",,,,1,,,
嗑,嗑,ke4,,A,A,嗑,,,,"5,8173",,,,0,,,
嗒,嗒,da1,,A,A,嗒,,,,10079,,,,3,,,
嗒,嗒,ta4,,A,A,嗒,,,,10079,,,,3,,,
嗖,嗖,sou1,,A,A,嗖,,,,"2,2667",,,,1,,,
嗝,嗝,ge2,,A,A,嗝,,,,"4,8741",,,,3,,,
嗞,嗞,zi1,,A,A,嗞,,,,,,,,,,,
嗡,嗡,weng1,,A,A,嗡,,,,"4,9877",,,,1,,,
嗤,嗤,chi1,,A,A,嗤,,,,"1,0321",,,,2,,,
嗨,嗨,hai1,,A,A,嗨,,,,"174,9778",,,,1,,,
嗫,嗫,nie4,,A,A,嗫,,,,,,,,,,,
嗯,嗯,ng,,A,A,嗯,,,,"207,3926",,,,0,,,
嗵,嗵,tong1,,A,A,嗵,,,,,,,,,,,
嗷,嗷,ao2,,A,A,嗷,,,,"12,8346",,,,1,,,
嘁,嘁,qi1,,A,A,嘁,,,,242,,,,0,,,
嘈,嘈,cao2,,A,A,嘈,,,,"5,8765",,,,1,,,
嘎,嘎,ga1,,A,A,嘎,,,,"41,6346",,,,2,,,
嘚,嘚,de2,,A,A,嘚,,,,"2,4148",,,,0,,,
嘞,嘞,le1,,A,A,嘞,,,,"13,4963",,,,0,,,
嘡,嘡,tang1,,A,A,嘡,,,,,,,,,,,
嘣,嘣,beng1,,A,A,嘣,,,,"1,7827",,,,0,,,
㗫,㗫,qie4,,A,A,㗫,,,,,,,,,,,
嘟,嘟,du1,,A,A,嘟,,,,"11,0222",,,,5,,,
嘭,嘭,peng1,,A,A,嘭,,,,"1,0765",,,,0,,,
嘿,嘿,hei1,,A,A,嘿,,,,"289,5852",,,,1,,,
噌,噌,ceng1,,A,A,噌,,,,"0,6568",,,,0,,,
噌,噌,cheng1,,A,A,噌,,,,"0,6568",,,,0,,,
噔,噔,deng1,,A,A,噔,,,,"1,2494",,,,0,,,
噗,噗,pu1,,A,A,噗,,,,9521,,,,0,,,
嚕,噜,lu1,,A,A,噜,,,,"16,9086",,,,6,,,
噝,噝,si1,,A,A,噝,,,,,,,,,,,
噢,噢,o1,,A,A,噢,,,,"226,5827",,,,0,,,
噹,噹,dang1,,A,A,噹,,,,,,,,,,,
噼,噼,pi1,,A,A,噼,,,,"4,2074",,,,2,,,
嚎,嚎,hao2,,A,A,嚎,,,,"4,4741",,,,4,,,
嚓,嚓,ca1,,A,A,嚓,,,,"3,5407",,,,2,,,
嚯,嚯,huo4,,A,A,嚯,,,,"1,5704",,,,0,,,
㘗,㘗,qu2,,A,A,㘗,,,,,,,,,,,
囔,囔,nang1,,A,A,囔,,,,"1,2099",,,,2,,,
宏,宏,hong2,,A,A,宏,,,,"31,8568",,,,9,,,
宗,宗,zong1,,A,A,宗,,,,"52,2716",,,,18,,,
巴,巴,ba1,,A,A,巴,,,,"266,1877",,,,47,,,
慶,庆,qing4,,A,A,庆,,,,"126,3556",,,,18,,,
當,当,dang1,,A,A,当,,,,"1142,9679",,,,108,,,
得,得,de2,,A,A,得,,,,4328884,,,,141,,,
念,念,nian4,,A,A,念,,,,"338,5432",,,,55,,,
怦,怦,peng1,,A,A,怦,,,,"1,5654",,,,2,,,
扑,扑,pu1,,A,A,扑,,,,"126,7753",,,,21,,,
托,托,tuo1,,A,A,托,,,,"149,3383",,,,34,,,
扭,扭,niu3,,A,A,扭,,,,"32,5877",,,,12,,,
拍,拍,pai1,,A,A,拍,,,,"286,2963",,,,40,,,
擦,擦,ca1,,A,A,擦,,,,"121,3926",,,,17,,,
梆,梆,bang1,,A,A,梆,,,,"0,5235",,,,1,,,
楞,楞,leng2,,A,A,楞,,,,"2,9728",,,,0,,,
橐,橐,tuo2,,A,A,橐,,,,,,,,,,,
汪,汪,wang1,,A,A,汪,,,,"11,0864",,,,6,,,
沙,沙,sha1,,A,A,沙,,,,134,,,,72,,,
沸,沸,fei4,,A,A,沸,,,,"17,6988",,,,6,,,
湫,湫,qiu1,,A,A,湫,,,,,,,,,,,
濺,溅,jian4,,A,A,溅,,,,"4,2469",,,,2,,,
溜,溜,liu1,,A,A,溜,,,,34558,,,,22,,,
滴,滴,di1,,A,A,滴,,,,"219,4667",,,,14,,,
潺,潺,chan2,,A,A,潺,,,,,,,,,,,
獵,猎,lie4,,A,A,猎,,,,"28,6272",,,,24,,,
貓,猫,mao1,,A,A,猫,,,,"185,0617",,,,13,,,
玲,玲,ling2,,A,A,玲,,,,"21,1605",,,,3,,,
琤,琤,cheng1,,A,A,琤,,,,,,,,,,,
琮,琮,cong2,,A,A,琮,,,,,,,,,,,
瑟,瑟,se4,,A,A,瑟,,,,"39,8025",,,,2,,,
瑢,瑢,rong2,,A,A,瑢,,,,,,,,,,,
璫,璫,dang1,,A,A,璫,,,,,,,,,,,
登,登,deng1,,A,A,登,,,,"263,3926",,,,44,,,
砰,砰,peng1,,A,A,砰,,,,"3,3877",,,,1,,,
硜,硜,keng1,,A,A,硜,,,,,,,,,,,
磅,磅,pang1,,A,A,磅,,,,"11,7778",,,,3,,,
磕,磕,ke1,,A,A,磕,,,,"8,0741",,,,4,,,
磞,磞,peng1,,A,A,磞,,,,,,,,,,,
礥,礥,keng1,,A,A,礥,,,,,,,,,,,
空,空,kong1,,A,A,空,,,,"489,2988",,,,158,,,
突,突,tu1,,A,A,突,,,,"308,9185",,,,24,,,
篤,笃,du3,,A,A,笃,,,,"1,8469",,,,2,,,
答,答,da2,,A,A,答,,,,"197,2049",,,,25,,,
簌,簌,su4,,A,A,簌,,,,,,,,,,,
耷,耷,da1,,A,A,耷,,,,"0,3951",,,,1,,,
騰,腾,teng2,,A,A,腾,,,,"120,0049",,,,23,,,
落,落,luo4,,A,A,落,,,,"304,3951",,,,111,,,
蓬,蓬,peng2,,A,A,蓬,,,,"8,1136",,,,13,,,
蛐,蛐,qu1,,A,A,蛐,,,,"0,1481",,,,1,,,
諾,诺,nuo4,,A,A,诺,,,,"112,0296",,,,8,,,
輷,輷,hong1,,A,A,輷,,,,,,,,,,,
轟,轰,hong1,,A,A,轰,,,,"22,1531",,,,14,,,
通,通,tong1,,A,A,通,,,,"590,5877",,,,143,,,
邦,邦,bang1,,A,A,邦,,,,"34,5432",,,,10,,,
鍠,鍠,huang2,,A,A,鍠,,,,,,,,,,,
鍧,鍧,hong1,,A,A,鍧,,,,,,,,,,,
鈴,铃,ling2,,A,A,铃,,,,"26,4198",,,,16,,,
鐺,铛,dang1,,A,A,铛,,,,"2,8395",,,,2,,,
錚,铮,zheng1,,A,A,铮,,,,"1,4074",,,,1,,,
鏘,锵,qiang1,,A,A,锵,,,,"1,6444",,,,2,,,
閛,閛,peng1,,A,A,閛,,,,,,,,,,,
閶,阊,tang1,,A,A,阊,,,,,,,,,,,
隆,隆,long2,,A,A,隆,,,,"42,0395",,,,18,,,
鞺,鞺,tang1,,A,A,鞺,,,,,,,,,,,
颯,飒,sa4,,A,A,飒,,,,"0,6963",,,,2,,,
颼,飕,sou1,,A,A,飕,,,,"1,0074",,,,2,,,
齁,齁,hou1,,A,A,齁,,,,,,,,,,,
丁零零,丁零零,ding1~ling2~ling2,RRR,ARR,ARR,丁,零,零,,"65,2543","96,6272",,,34,39,,
不剌剌,不剌剌,bu4~la1~la1,RRR,ARR,ARR,不,剌,剌,,"15110,2864","0,7062",,,669,0,FALSE,
不喇喇,不喇喇,bu4~la3~la3,RRR,ARR,ARR,不,喇,喇,,"15110,2864","34,0198",,,669,7,,
不朗朗,不朗朗,bu4~lang3~lang3,RRR,ARR,ARR,不,朗,朗,,"15110,2864","59,2988",,,669,16,,
不琅琅,不琅琅,bu4~lang2~lang2,RRR,ARR,ARR,不,琅,琅,,"15110,2864","4,4099",,,669,3,,
克丁丁當,克丁丁当,ke4~ding1~ding1~dang1,,ARR,RRRR,克,丁,丁,当,"612,6568","65,2543",,,37,34,,
克匝匝,克匝匝,ki4~za1~za1,,ARR,ARR,克,匝,匝,,"612,6568","0,5383",,,37,0,FALSE,
刮喇喇,刮喇喇,gua1~la3~la3,,ARR,ARR,刮,喇,喇,,"33,5012","34,0198",,,9,7,,
刷啦啦,刷啦啦,shua1~la5~la5,,ARR,ARR,刷,啦,啦,,"149,0963","1029,3136",,,20,8,,
勃喇喇,勃喇喇,gua1~la3~la3,,ARR,ARR,勃,喇,喇,,"16,7259","34,0198",,,16,7,,
卒律律,卒律律,zu2~lü4~lü4,,ARR,ARR,卒,律,律,,"2,1975","126,7654",,,8,26,,
取律律律,取律律律,qu3~lü4~lü4~lü4,,ARR,RRRR,取,律,律,律,"952,6617","126,7654",,,88,26,,
古剌剌,古剌剌,gu3~la1~la1,,ARR,ARR,古,剌,剌,,"184,1975","0,7062",,,84,0,FALSE,
古都都,古都都,gu3~du1~du1,,ARR,ARR,古,都,都,,"184,1975","4032,2716",,,84,27,,
古魯魯,古鲁鲁,gu3~lu1~lu1,,ARR,ARR,古,鲁,鲁,,"184,1975","56,7062",,,84,9,,
古鹿鹿,古鹿鹿,gu3~la1~la1,,ARR,ARR,古,鹿,鹿,,"184,1975","27,7877",,,84,15,,
叭噠噠,叭哒哒,ba1~da1~da1,,ARR,ARR,叭,哒,哒,,"7,4321","13,6049",,,6,1,TRUE,
叭啦啦,叭啦啦,ba1~la1~la1,,ARR,ARR,叭,啦,啦,,"7,4321","1029,3136",,,6,8,,
叮呤呤,叮呤呤,ding1~ling2~ling2,,ARR,ARR,叮,呤,呤,,"14,0988",,,,5,,,
叮當當,叮当当,ding1~dang1~dang1,,ARR,ARR,叮,当,当,,"14,0988","1142,9679",,,5,108,,
叮鈴鈴,叮铃铃,ding1~ling2~ling2,,ARR,ARR,叮,铃,铃,,"14,0988","26,4198",,,5,16,,
可丕丕,可丕丕,chi1~pi1~pi1,,ARR,ARR,可,丕,丕,,"3324,5926",,,,153,,,
可扑扑,可扑扑,ke3~pu1~pu1,,ARR,ARR,可,扑,扑,,"3324,5926","126,7753",,,153,21,,
嘰喳喳,叽喳喳,ji1~zha1~zha1,,ARR,ARR,叽,喳,喳,,5758,"2,5037",,,5,3,,
吃丕丕,吃丕丕,chi1~pi1~pi1,,ARR,ARR,吃,丕,丕,,"1526,8444",,,,43,,,
吃忒忒,吃忒忒,chi1~pi1~pi1,,ARR,ARR,吃,忒,忒,,"1526,8444","9,0519",,,43,0,FALSE,
各剌剌,各剌剌,ge4~la1~la1,,ARR,ARR,各,剌,剌,,"513,0815","0,7062",,,32,0,FALSE,
各支支,各支支,ge4~zhi1~zhi1,,ARR,ARR,各,支,支,,"513,0815","393,4667",,,32,46,,
各琅琅,各琅琅,ge4~lang2~lang2,,ARR,ARR,各,琅,琅,,"513,0815","4,4099",,,32,3,,
合剌剌,合剌剌,ge4~la1~la1,,ARR,ARR,合,剌,剌,,"550,8","0,7062",,,159,0,FALSE,
吉丁丁當,吉丁丁当,ji2~ding1~ding1~dang1,,ARR,RRRR,吉,丁,丁,当,"301,6543","65,2543",,,22,34,,
吉蹬蹬,吉蹬蹬,ji2~deng4~deng4,,ARR,ARR,吉,蹬,蹬,,"301,6543","2,9185",,,22,2,,
吱嘍嘍,吱喽喽,zhi1~lou2~lou2,,ARR,ARR,吱,喽,喽,,"5,1951","77,6494",,,5,1,TRUE,
吱嘍嘍,吱喽喽,zhi1~lou5~lou5,,ARR,ARR,吱,喽,喽,,"5,1951","77,6494",,,5,1,TRUE,
吱扭扭,吱扭扭,zhi1~niu3~niu3,,ARR,ARR,吱,扭,扭,,"5,1951","32,5877",,,5,12,,
吱婁婁,吱娄娄,zi1~lou2~lou2,,ARR,ARR,吱,娄,娄,,"5,1951","1,8519",,,5,2,,
吸力力,吸力力,chi4~li4~li4,,ARR,ARR,吸,力,力,,"163,3975",1358479,,,31,268,,
吸哩哩,吸哩哩,chi4~li4~li4,,ARR,ARR,吸,哩,哩,,"163,3975","21,8074",,,31,0,FALSE,
吸淋淋,吸淋淋,chi4~li4~li4,,ARR,ARR,吸,淋,淋,,"163,3975","34,2074",,,31,15,,
嗚呀呀,呜呀呀,wu1~ya1~ya1,,ARR,ARR,呜,呀,呀,,"51,2543","403,9259",,,3,5,,
嗚哈哈,呜哈哈,wu1~ha1~ha1,,ARR,ARR,呜,哈,哈,,"51,2543","925,0864",,,3,28,,
嗚哈哈哈,呜哈哈哈,wu1~ha1~ha1~ha1,,ARR,RRRR,呜,哈,哈,哈,"51,2543","925,0864",,,3,28,,
呱啦啦,呱啦啦,gua1~la1~la1,,ARR,ARR,呱,啦,啦,,"6,6469","1029,3136",,,5,8,,
呼噠噠,呼哒哒,hu1~da1~da1,,ARR,ARR,呼,哒,哒,,"194,2815","13,6049",,,46,1,TRUE,
呼啦啦,呼啦啦,hu1~la1~la1,,ARR,ARR,呼,啦,啦,,"194,2815","1029,3136",,,46,8,,
呼啦啦,呼啦啦,hu1~la5~la5,,ARR,ARR,呼,啦,啦,,"194,2815","1029,3136",,,46,8,,
呼喇喇,呼喇喇,hu1~la3~la3,,ARR,ARR,呼,喇,喇,,"194,2815","34,0198",,,46,7,,
呼喇喇,呼喇喇,hu1~la1~la1,,ARR,ARR,呼,喇,喇,,"194,2815","34,0198",,,46,7,,
呼嚕嚕,呼噜噜,hu1~lu1~lu1,,ARR,ARR,呼,噜,噜,,"194,2815","16,9086",,,46,6,,
咔叭叭,咔叭叭,ka1~ba1~ba1,,ARR,ARR,咔,叭,叭,,"29,9012","7,4321",,,1,6,,
咔啦啦,咔啦啦,ka1~la1~la1,,ARR,ARR,咔,啦,啦,,"29,9012","1029,3136",,,1,8,,
咔嚓嚓,咔嚓嚓,ka1~ca1~ca1,,ARR,ARR,咔,嚓,嚓,,"29,9012","3,5407",,,1,2,,
咔嚓嚓,咔嚓嚓,ka3~ca1~ca1,,ARR,ARR,咔,嚓,嚓,,"29,9012","3,5407",,,1,2,,
咕冬冬,咕冬冬,gu1~dong1~dong1,,ARR,ARR,咕,冬,冬,,"12,1284","220,0049",,,12,37,,
咕咚咚,咕咚咚,gu1~dong1~dong1,,ARR,ARR,咕,咚,咚,,"12,1284",4963,,,12,4,,
咕啷啷,咕啷啷,gu1~lang1~lang1,,ARR,ARR,咕,啷,啷,,"12,1284","1,2642",,,12,1,TRUE,
咕㖨㖨,咕㖨㖨,gu1~lu4~lu4,,ARR,ARR,咕,㖨,㖨,,"12,1284",,,,12,,,
咕嘟嘟,咕嘟嘟,gu1~du1~du1,,ARR,ARR,咕,嘟,嘟,,"12,1284","11,0222",,,12,5,,
咕嚕嚕,咕噜噜,gu1~lu1~lu1,,ARR,ARR,咕,噜,噜,,"12,1284","16,9086",,,12,6,,
咕嚕嚕嚕,咕噜噜噜,gu1~lu1~lu1~lu1,,ARR,RRRR,咕,噜,噜,噜,"12,1284","16,9086",,,12,6,,
咕碌碌,咕碌碌,gu1~lu4~lu4,,ARR,ARR,咕,碌,碌,,"12,1284",43837,,,12,7,,
咕隆隆,咕隆隆,gu1~long2~long2,,ARR,ARR,咕,隆,隆,,"12,1284","42,0395",,,12,18,,
咯吱吱,咯吱吱,ge1~zhi1~zhi1,,ARR,ARR,咯,吱,吱,,"234,3358","5,1951",,,2,5,,
咯喳喳,咯喳喳,ge1~zha1~zha1,,ARR,ARR,咯,喳,喳,,"234,3358","2,5037",,,2,3,,
咯嘣嘣,咯嘣嘣,ge1~beng1~beng1,,ARR,ARR,咯,嘣,嘣,,"234,3358","1,7827",,,2,0,FALSE,
咯塔塔,咯塔塔,ge1~ta3~ta3,,ARR,ARR,咯,塔,塔,,"234,3358",107679,,,2,39,,
咯辣辣,咯辣辣,ge1~la1~la1,,ARR,ARR,咯,辣,辣,,"234,3358","83,7235",,,2,19,,
咴嘔嘔,咴呕呕,hui1~ou1~ou1,,ARR,ARR,咴,呕,呕,,,"16,7407",,,,5,,
哇呀呀,哇呀呀,wa1~ya1~ya1,,ARR,ARR,哇,呀,呀,,"204,4444","403,9259",,,5,5,,
哇哈哈哈,哇哈哈哈,wa1~ha1~ha1~ha1,,ARR,RRRR,哇,哈,哈,哈,"204,4444","925,0864",,,5,28,,
