arthur,thomas,traditional,simplified,MC,OC,morphology,radsup,variant,Kroll,zdic,note
jin1~ju2,jīn~jú,金橘,金橘,kim-kjwit,NA,NOTIDEOPHONE,NA,NA,kumquat (Fortunella japonica),植物名。芸香科金柑屬，低矮常綠灌木。葉為革質，互生，長橢圓形，兩端均鈍，長三至六公分，表面暗綠色，裡面蒼白色，油脂密布。花形小，白色，單立，花瓣五片。其果實也稱「金橘」，球形，熟時呈金黃色，果皮厚而柔韌，不易與果肉分離。果實可生食，或加工製成果餅、蜜餞。原產於臺灣及大陸地區東部、南部，日本、越南、菲律賓亦有出產。亦稱為「金柑」。,plant
jin3~jin3,jǐn~jǐn,僅僅,仅仅,gj+nH gj+nH,NA,RED,亻,堇堇,"merely, only just, scarcely, hardly",不多、只有。如：「僅僅一次」。或作「堇堇」、「廑廑」。,NA
jin3~quan4,jǐn~quàn,緊絭,紧絭,kinX-kjwonH,NA,BR,糸,NA,tensed and distressed,NA,NA
jin4~jin4,jìn~jìn,浸浸,浸浸,tsimH~tsimH,NA,NA,NA,NA,"drop-by-drop, bit-by-bit, gradually",NA,is real ideophone?
jin4~xie4,jìn~xiè,齽齘,齽齘,gimH-heajH,NA,RR,齒,NA,grind one's teeth,NA,NA
jin4~yin2,jìn~yín,噤吟,噤吟,kimH-ngim,NA,BR,口,NA,"deformed jaws, unevenly clenched mouth",NA,NA
jing1~jing1,jīng~jīng,京京,京京,kaeng ~ kaeng,*kraŋ {*[k]raŋ} ~ kraŋ {*[k]raŋ},NA,NA,NA,NA,憂愁不絕的樣子。詩經．小雅．正月：「念我獨兮，憂心京京。」後漢書．卷五．孝安帝紀：「夙夜克己，憂心京京。」,NA
jing1~jing1,jīng~jīng,兢兢,兢兢,king king,NA,RED,克,NA,"strong and stout; cautious and careful, wary",小心謹慎的樣子。書經．皋陶謨：「無教逸欲有邦，兢兢業業，一日二日萬幾。」,NA
jing1~jing1,jīng~jīng,菁菁,菁菁,NA,NA,NA,NA,NA,NA,草木茂盛的樣子。詩經．小雅．菁菁：「菁菁者莪，在彼中阿，既見君子，樂且有儀。」亦作「青青」。詩經小雅的篇名。共四章。根據詩序：「菁菁者莪，樂育材也。」首章二句為：「菁菁者莪，在彼中阿。」菁菁，茂盛的樣子。,NA
jing1~li2,jīng~lí,蜻蜊,蜻蜊,tsjeng-lij,NA,NOTIDEOPHONE,蟲,NA,cricket,NA,insect
jing4~ting2,jìng~tíng,徑廷,径廷,kengH-deng,NA,BR,NA,NA,off the mark; errant in the extreme,差距很大。文選．劉孝標．辯命論：「如使仁而無報，奚為修善立名乎？斯徑廷之辭也。」亦作「徑庭」、「逕庭」。,NA
jiong1~jiong1,jiōng~jiōng,駉駉,駉駉,kweng kweng,NA,RED,馬,NA,"flush and well-fed, sleek and strong (of horses)",馬肥壯的樣子。詩經．魯頌．駉：「駉駉牡馬，在坰之野。」,NA
jiong3~jiong3,jiǒng~jiǒng,冏冏,冏冏,kjwaengX kjwaengX,NA,RED,冂,NA,"glowing gloriously, glinting and gleaming",NA,NA
jiong3~jiong3,jiǒng~jiǒng,炯炯,炯炯,kwengX kwengX,NA,RED,火,NA,"splendidly shining, aflicker; fitful and restless",光明、光亮。宋．周邦彥．蝶戀花．月皎驚烏栖不定詞：「喚起兩眸清炯炯，淚花落枕紅綿冷。」儒林外史．第三十三回：「杜少卿看那先生細瘦，通眉長爪，雙眸炯炯，知他不是庸流，便也一見如故。」明察。清．龔自珍．戒將歸文：「精炯炯其獨寤兮，物溫溫其燭楹。拂清輝而不御兮，嫌太陰之尚墮乎。」張目不眠。三國．魏．陳琳．止欲賦：「宵炯炯以不寐，晝舍食而忘飢。」,cf. 耿耿
jiu1~cao2,jiū~cáo,啾嘈,啾嘈,tsjuw-dzaw,NA,RR,口,NA,onom. Shrill musical pipes,NA,NA
