arthur,thomas,traditional,simplified,MC,OC,morphology,radsup,variant,Kroll,zdic,note
qi2~yi3,qí~yǐ,碕礒,碕礒,khjeX-ngjeX,NA,BR,石,NA,"rough and ragged, strewn and scattered, of mountainside rocks",NA,NA
qi4~kuo4,qì~kuò,契闊,契阔,khet-khwat,NA,RR,NA,NA,"work hard, toil and moil; break apart, feeling broken in two or shtattered by separation, woebegone and disconsolate; (med.) fit together, form a bond of friendship",勤苦。文選．韋曜．博弈論：「勞神苦體，契闊勤思。」分離，相隔。詩經．邶風．擊鼓：「死生契闊，與子成說。」朱熹．集傳：「契闊，隔遠之意。」唐．薛調．無雙傳：「噫！人生之契闊會合多矣，罕有若斯之比。」久別的情懷。後漢書．卷八十一．獨行傳．范冉傳：「行路急卒，非陳契闊之所，可共到前亭宿息，以敘分隔。」,NA
qi4~li4,qì~lì,磧歷,碛历,tsjek-lek,NA,BR,NA,"磧歷, 磧礫","shingles and shards, stony shards; rock-strewn ridges",NA,NA
qi4~li4,qì~lì,磧礫,碛砾,tsjek-lek,NA,BR,石,"磧歷, 磧礫","shingles and shards, stony shards; rock-strewn ridges",水淺而露出砂石。抱朴子．喻蔽：「夫瓊瑤以寡為奇，磧礫以多為賤。」文選．左思．吳都賦：「翫其磧礫而不窺玉淵者，未知驪龍之所蟠也。」,NA
qi4~qi4,qì~qì,契契,契契,khejH-khejH,NA,RED,大,NA,separated far and long; sad and sorrowfol,憂苦。詩經．小雅．大東：「契契寤歎，哀我憚人。」晉．陶淵明．閑情賦：「改所願而必違，徒契契以苦心。」,radical support?
qian1~mian2,qiān~mián,芊眠,芊眠,tshen-men,NA,BR,NA,"阡眠, 芊芊","lushly clustering, thickly thriving, densely proliferating, leafy shade",NA,NA
qian1~mian2,qiān~mián,芊綿,芊绵,tshen-men,NA,BR,NA,"阡綿, 芊芊","lushly clustering, thickly thriving, densely proliferating, leafy shade",草木繁衍、茂盛的樣子。南朝宋．謝靈運．山居賦：「孤岸竦秀，長洲芊綿。」或作「千眠」、「阡眠」、「芊眠」。,NA
qian1~mian2,qiān~mián,阡眠,阡眠,tshen-men,NA,BR,NA,"芊眠, 芊芊","lushly clustering, thickly thriving, densely proliferating, leafy shade",NA,NA
qian1~mian2,qiān~mián,阡綿,阡绵,tshen-men,NA,BR,NA,"芊綿, 芊芊","lushly clustering, thickly thriving, densely proliferating, leafy shade",NA,NA
qian1~qian1,qiān~qiān,謙謙,谦谦,khem-khem,NA,RED,言,NA,"unpretentious, unpresuming, unassuming, unaffected; verecund(ous)",卑遜的樣子。漢書．卷八十五．谷永傳：「愚竊不為君侯喜。宜深辭職，自陳淺薄不足以固城門之守，攸太伯之讓，保謙謙之路，闔門高枕，為知者首。」後漢書．卷三．肅宗孝章帝紀：「深執謙謙，自稱不德，無起寑廟，掃地而祭，除日祀之法，省送終之禮，遂藏主於光烈皇后更衣別室。」,NA
qian1~qian1,qiān~qiān,芊芊,芊芊,tshen-tshen,NA,RED,艸,NA,"lushly clustering, thickly thriving, densely proliferating, leafy shade",草木茂盛的樣子。清．孔尚任．桃花扇．第二十八齣：「只見黃鶯亂囀，人蹤悄悄，芳草芊芊。」亦作「仟仟」、「阡阡」。青碧的樣子。亦作「千千」。,NA
qian1~qu1,qiān~qū,孅趨,孅趋,tshjem-tshju,NA,RR,NA,NA,"cunningly clever, craftily crooked",過分謙虛恭敬。史記．卷一二七．褚少孫補日者傳：「卑疵而前，孅趨而言。」,NA
qian1~yan2,qiān~yán,嵌巖,嵌巖,khaem-ngaem,NA,BR,山,NA,fissued and sheer,山洞。唐．盧照鄰．悲昔遊詩：「因嵌巖以為室，就芬芳以列筵。」,NA
qian2~qian2,qián~qián,虔虔,虔虔,gjen-gjen,NA,RED,文,NA,"respect(ful), revere(nce); devout; awe(some)",恭敬的樣子。南朝宋．謝惠連．祭禹廟文：「呱呱弗顧，虔虔是欽。」宋．王禹偁．藉田賦：「萬國歡心而懌懌，百官供職以虔虔。」,radical support?
qian2~qian2,qián~qián,乾乾,乾乾,NA,NA,NA,NA,NA,NA,自強不息的樣子。易經．乾卦．九三：「君子終日乾乾，夕惕若厲，無咎。」,maybe pronounced as gan4
qian2~qian2,qián~qián,干干,干干,NA,NA,NA,NA,NA,NA,自強不息的樣子。易經．乾卦．九三：「君子終日乾乾，夕惕若厲，無咎。」,maybe pronounced as gan4
qian3~qian3,qiǎn~qiǎn,嗛嗛,嗛嗛,NA,NA,NA,NA,NA,NA,微小的。國語．晉語一：「嗛嗛之德，不足就也。」不足的。晉．束晳．貧家賦：「食草葉而不飽，常嗛嗛于膳珍。」,alt. pron. xian2~xian2
qian3~quan3,qiǎn~quǎn,繾綣,缱绻,khjenX-khjwonX,NA,RR,絲,NA,"near and dear to, inseparably attached; getting on grandly",情意纏綿不忍分離的樣子。唐．元稹．會真詩三十韻：「留連時有限，繾綣意難終。」二刻拍案驚奇．卷十七：「兩個解衣就枕，魚水歡情，極其繾綣。」近綢繆、纏綿,NA
qian4~qian4,qiàn~qiàn,歉歉,歉歉,khemX-khemX,NA,RED,欠,NA,"insufficient; inadequate, deficient, lacking, dearth; scant and scarce",NA,NA
qian4~qian4,qiàn~qiàn,慊慊,慊慊,NA,NA,NA,NA,NA,NA,不滿意的樣子。文選．曹丕．燕歌行：「慊慊思歸戀故鄉，君何淹留寄他方。」唐．韓愈．送鄭十校理序：「今生始進仕，獲重語於天下，而慊慊若不足。」,NA
qian4~qian4,qiàn~qiàn,蒨蒨,蒨蒨,tshen-tshen,NA,RED,艸,NA,"lushly leaved, greenly growing; distinctive, striking",鮮明的樣子。唐．韓愈．庭楸詩：「夜月來照之，蒨蒨自生煙。」草茂盛的樣子。晉．湛方生．庭前植稻苗贊：「蒨蒨嘉苗，離離階側。」,NA
qiang1~ling2,qiāng~líng,瑲玲,瑲玲,tshjang-ljeng,NA,RR,玉,NA,ting-a-ling,NA,NA
qiang1~ling2,qiāng~líng,鎗玲,鎗玲,tshjang-ljeng,NA,RR,NA,NA,ting-a-ling,NA,NA
qiang1~qiang1,qiāng~qiāng,瑲瑲,瑲瑲,NA,NA,NA,NA,NA,NA,NA,NA
qiang1~qiang1,qiāng~qiāng,嶈嶈,嶈嶈,tshjang-tshjang,NA,RED,山,NA,"onom. of waves crashing againt cliff-walls, dashing and battering, in turbulent tumult",NA,NA
qiang1~qiang1,qiāng~qiāng,蹌蹌,跄跄,tshjang-tshjang,NA,RED,足,"蹌蹌,蹡蹡,鎗鎗","advance or move forward with grace and style, as if to rhythmic cadence; with a sure step, with assured ease; in orderly array, proper sequence",行步威儀的樣子。詩經．大雅．公劉：「蹌蹌濟濟，俾筵俾几。」飛舞、跳舞的樣子。書經．益稷：「笙鏞以間，鳥獸蹌蹌。」行走的樣子。文選．揚雄．羽獵賦：「啾啾蹌蹌，入西園，切神光。」走路有威儀的樣子。詩經．小雅．楚茨：「濟濟蹌蹌，絜爾牛羊，以往蒸嘗。」跳舞的樣子。書經．益稷：「笙鏞以間，鳥獸蹌蹌。」孔安國．傳：「鳥獸化德相率而舞，蹌蹌然。」飛奔跳躍的樣子。文選．揚雄．羽獵賦：「啾啾蹌蹌，入西園，切神光。」,NA
qiang1~qiang1,qiāng~qiāng,蹡蹡,蹡蹡,tshjang-tshjang,NA,RED,足,"蹌蹌,蹡蹡,鎗鎗",onom. of rumbling and rattling of chariots; with assured ease; in orderly array,NA,NA
qiang1~qiang1,qiāng~qiāng,鎗鎗,鎗鎗,tshjang-tshjang,NA,RED,金,"蹌蹌,蹡蹡,鎗鎗","onom. of harmonious sound of bells or other musical instrucments; move with assured ease; in orderly array, proper sequence",NA,NA
qiang1~qiang1,qiāng~qiāng,鏘鏘,锵锵,tshjang-tshjang,NA,RED,金,NA,"onom. of jingle-jangle of carriage-bells, the tink-clink of pendants; towering aloft, high in the sky; with ease and grace",狀聲詞：(1)​ 形容玉石撞擊聲。三國演義．第四十四回：「衣冠濟濟，劍佩鏘鏘，分班侍立。」(2)​ 形容鈴聲。詩經．大雅．韓奕：「百兩彭彭，八鸞鏘鏘。」漢．秦嘉．贈婦詩三首之三：「肅肅僕夫征，鏘鏘揚和鈴。」(3)​ 形容鳳凰和鳴聲。左傳．莊公二十二年：「鳳凰于飛，和鳴鏘鏘。」高聳巍峨的樣子。後漢書．卷五十九．張衡傳：「命琅掌策駟兮，踰高閣之鏘鏘。」行走的樣子。文選．左思．吳都賦：「出車檻檻，被練鏘鏘。」或作「蹡蹡」。,NA
qiang1~xiang1,qiāng~xiāng,槍欀,枪欀,tshjang-sjang,NA,RR,木,NA,"disordered and unsettled, in disarray; scrambled, hugger-mugger",NA,NA
qiang2~qiang2,qiáng~qiáng,彊彊,彊彊,NA,NA,NA,NA,NA,NA,NA,NA
qiao1~qiao1,qiāo~qiāo,蹻蹻,蹻蹻,kjew-kjew,NA,RED,足,NA,"imposing, impressive; prideful, overweening",勇壯的樣子。詩經．魯頌．泮水：「其馬蹻蹻，其音昭昭。」驕傲的樣子。詩經．大雅．板：「老夫灌灌，小子蹻蹻。」,NA
qiao2~cui4,qiáo~cuì,憔悴,憔悴,dzjew-dzwijH,NA,RR,心,"憔悴,譙譙","careworn; wan and thin, haggard and harried; wearied and worn out, enervated; frayed and failing",枯槁瘦病的樣子。楚辭．屈原．漁父：「顏色憔悴，形容枯槁。」宋．歐陽修．蝶戀花．獨倚危樓風細細詞：「衣帶漸寬都不悔，為伊銷得人憔悴。」近乾癟、乾瘦、枯槁、枯瘠反豐滿、豐潤、煥發亦作「蕉萃」。憂患、煩惱。楚辭．劉向．九歎．怨思：「身憔悴而考旦兮，日黃昏而長悲。」元．武漢臣．玉壺春．第四折：「強風情不曉事，呆廝！誰著你將錢去買憔悴。」受困苦。孟子．公孫丑上：「民之憔悴於虐政，未有甚於此時者也。」近困苦,NA
qiao2~cui4,qiáo~cuì,憔顇,憔顇,dzjew-dzwijH,NA,RR,NA,NA,"careworn; wan and thin, haggard and harried; wearied and worn out, enervated; frayed and failing",NA,NA
qiao2~qiao2,qiáo~qiáo,譙譙,谯谯,dzjew-dzjew,NA,RED,言,"憔悴,譙譙",careworn; haggard and harried; worn out and wearied; frayed and failing,羽毛散亂殘敝的樣子。詩經．豳風．鴟鴞：「予羽譙譙，予尾脩脩。」,maybe with this series 焦 is the common element??
qiao3~chuang4,qiǎo~chuàng,愀愴,愀怆,khaewX-tsrhjangH,NA,RR,心,NA,downhearted and dejected,憂愁、悲傷。三國．魏．嵇康．琴賦：「莫不憯懍慘悽，愀愴傷心。」,NA
qiao3~lao3,qiǎo~lǎo,巧老,巧老,khaewX-lawX,NA,RR,NA,NA,"hollow and open, emptily agape",NA,NA
qiao3~qiao3,qiǎo~qiǎo,悄悄,悄悄,tshjewX-tshjewX,NA,RED,心,NA,"(med.) sinkingly soft; sadly silent, whisperingly still",憂愁的樣子。詩經．邶風．柏舟：「憂心悄悄，慍于群小。」近悄然寂靜的樣子。唐．白居易．西樓夜詩：「悄悄復悄悄，城隅隱林杪。」近默默、寂靜、靜靜不聲不響。儒林外史．第三十五回：「莊徵君悄悄寫了十幾封書子，打發人進京去遍託朝裡大老。」,NA
qiao3~ran2,qiǎo~rán,悄然,悄然,NA,NA,NA,NA,NA,NA,寂靜無聲的樣子。初刻拍案驚奇．卷二：「這時尚早，雖是已有行動的了，人蹤尚稀，渡口悄然。」近寂靜、寂然、悄悄、闃然憂愁的樣子。唐．白居易．長恨歌：「夕殿螢飛思悄然，孤燈挑盡未成眠。」唐．杜牧．旅宿詩：「旅館無良伴，凝情自悄然。」,NA
qiao4~qiao4,qiào~qiào,翹翹,翘翘,NA,NA,NA,NA,NA,NA,高而錯雜。詩經．周南．漢廣：「翹翹錯薪，言刈其楚。」危險。詩經．豳風．鴟鴞：「予室翹翹，風雨所漂搖。」遠。左傳．莊公二十二年：「翹翹車乘，招我以弓。」出群。文選．潘岳．關中詩：「翹翹趙王，請徒三萬。」,NA
qie4~die2,qiè~dié,踥跌,踥跌,tshjep-deap,NA,RR,足,NA,"advance with skittish, jittery steps; impatiently and restively shuffling",NA,NA
qie4~qie4,qiè~qiè,愜愜,惬惬,kheap-kheap,NA,RED,心,NA,"with all happiness gone, disconsolate and disaffected",NA,NA
qie4~qie4,qiè~qiè,挈挈,挈挈,khet-khet,NA,RED,手,NA,"with eager anticipiation, nervous excitement; impatiently hurrying",急切的樣子。唐．柳宗元．答韋中立論師道書：「居長安，炊不暇熟，又挈挈而東。」,NA
qie4~qie4,qiè~qiè,切切,切切,NA,NA,NA,NA,NA,NA,情意真誠懇切。論語．子路：「朋友切切偲偲，兄弟怡怡。」深切的。西遊記．第三十二回：「行者聞言，把功曹叱退，切切在心。」初刻拍案驚奇．卷二十三：「行修見說得奇怪，切切記之于心。」十分憂怨哀傷。南朝梁．江淹．傷愛子賦：「形惸惸而外施，心切切而內圮。」唐．韋夏卿．別張賈詩：「切切別思纏，蕭蕭征騎煩。」懷念、思念。唐．張九齡．西江夜行詩：「悠悠天宇曠，切切故鄉情。」元．鄭光祖．倩女離魂．第二折：「使小生切切于懷，放心不下。」狀聲詞：(1)​ 形容聲音悲切。宋．歐陽修．秋聲賦：「淒淒切切，呼號憤發。」(2)​形容聲音細小。唐．白居易．琵琶行：「大弦嘈嘈如急雨，小弦切切如私語。」告誡、叮嚀的語辭。多用在公文末尾。如：「切切毋違」。近千萬,NA
qin1~cen2,qīn~cén,嶔岑,嶔岑,khim-dzrim,NA,BR,山,NA,"steeply climbing, perilously peaked, hazardously high",山勢高險的樣子。楚辭．淮南小山．招隱士：「嶔岑碕礒兮，碅磳磈硊。」洪興祖．補注：「嶔岑，山高險也。」亦作「嶔崟」。,NA
qin1~qi2,qīn~qí,嶔崎,嶔崎,khim-khje,NA,BR,山,NA,"steeply climbing, perilously peaked, hazardously high",山勢險峻的樣子。漢．王延壽．王孫賦：「生深山之茂林，處嶄巖之嶔崎。」形容人有骨氣、品格卓越不凡。宋．秦觀．南都新亭行寄王子發詩：「亭下嶔崎淮海客，末路逢公詩酒共。」,NA
qin1~qin1,qīn~qīn,欽欽,钦钦,khim-khim,NA,RED,金,NA,"onom. sound of a bell, ding-ding; troubled and disturbed",NA,NA
qin1~qin1,qīn~qīn,駸駸,駸駸,tshim-tshim,NA,RED,馬,NA,"headlong gallop; effortless sweep, sweeping rush, hurry-scurr, lickety-split",馬跑得很快的樣子。詩經．小雅．四牡：「駕彼四駱，載驟駸駸。」文選．阮籍．詠懷詩十七首之十七：「皋蘭被徑路，青驪逝駸駸。」比喻時間過得很快。南朝梁．簡文帝．納涼詩：「斜日晚駸駸，池塘生半陰。」宋．蘇軾．臨江仙．自古相從休務日詞：「淒風寒雨是駸駸，問囚長損氣，見鶴忽驚心。」形容事物日趨進步強大。宋．蘇洵．審勢：「秦自孝公，其勢已駸駸焉，日趨於強大。」老殘遊記．第十一回：「然後由歐洲新文明進而復我三皇五帝舊文明，駸駸進於大同之世矣。」,NA
qin1~xun2,qīn~xún,侵尋,侵寻,tshim-zim,NA,BR,彐,NA,bit by bit,漸進。史記．卷十二．孝武本紀：「是歲，天子始巡郡縣，侵尋於泰山矣。」宋．蘇軾．代張方平諫用兵書：「遂使侵尋及於諸國，歲歲調發。」亦作「侵淫」。,probably different radical support
qin1~yin2,qīn~yín,浸淫,浸淫,tshim-yim,NA,BR,氵,NA,"drench and douse, soak and swash; also, slowly spread, imperceptibly advance",浸漬、滲入。漢書．卷五十七．司馬相如傳下：「是以六合之內，八方之外，浸淫衍溢。」逐漸親附、漸次接近。文選．王襃．洞簫賦：「師襄嚴春不敢竄其巧兮，浸淫叔子遠其類。」唐．韓愈．送孟東野序：「其存而下者，孟郊東野始以其詩鳴，其高出魏晉，不懈而及於古，其他浸淫乎漢氏矣！」,浸 qin1 also jin4 (MC tsimH)
qin1~yin2,qīn~yín,浸潯,浸浔,tshyim-yim,NA,RR,水,NA,"steeped and soaked, drenched and doused",NA,qin1 usually pronounced as jin4; yin2 usually pronounced as xun2
qin2~qin2,qín~qín,勤勤,勤勤,NA,NA,NA,NA,NA,NA,NA,NA
qing1~ming2,qīng~míng,清明,清明,NA,NA,NA,NA,NA,NA,清澈明淨。荀子．解蔽：「則湛濁在下而清明在上，則足以見鬚眉而察理矣。」唐．元稹．西縣驛詩：「去時樓上清明夜，月照樓前撩亂花。」近明朗、清朗、明亮反昏暗天下太平，政治有法度。詩經．大雅．大明：「肆伐大商，會朝清明。」漢書．卷二十二．禮樂志：「即位三十年，四夷賓服，百姓家給，政教清明。」反昏暗、腐敗精神清朗。淮南子．主術：「夫人主之聽治也，清明而不闇，虛心而弱志。」如：「神志清明」。近明朗、清朗聲音清澈響亮。唐．羊士諤．郡中即事詩三首之一：「鼓角清明如戰壘，梧桐搖落似貧居。」近明朗、清朗、明亮二十四節氣之一。國曆四月五日或六日。,NA
qing1~qing1,qīng~qīng,青青,青青,NA,NA,NA,NA,NA,NA,形容草木翠綠的顏色。文選．古詩十九首．青青河邊草：「青青河邊草，綿綿思遠道。」三國演義．第九回：「千里草，何青青！十日卜，不得生！」形容鬢髮烏黑。宋．朱熹．和秀野蘄簟之句詩：「史君兩鬢尚青青，學道仍拋後院笙。」草木茂盛的樣子。詩經．衛風．淇奧：「瞻彼淇奧，綠竹青青。」宋．范仲淹．岳陽樓記：「岸芷汀蘭，郁郁青青。」亦作「菁菁」。,NA
qing1~ting2,qīng~tíng,蜻蜓,蜻蜓,tsheng-theng,NA,NOTIDEOPHONE,蟲,NA,dragonfly,動物名。昆蟲綱蜻蛉目。身體細長，頭部有複眼一對，胸部背面有膜質翅兩對，前後翅的大小及形狀不同。生活於水邊，捕食蚊蠅為生，是一種益蟲。雌的以尾點水產卵水中。幼蟲為水蠆。泛稱為「青蛉」。,insect
qing1~yang2,qīng~yáng,清揚,清扬,NA,NA,NA,NA,NA,NA,形容眉目開朗有神。詩經．鄘風．君子偕老：「子之清揚，揚且之顏也。」引申為對人容貌神采的敬稱。唐．蔣防．霍小玉傳：「今日幸會，得睹清揚。」聊齋志異．卷一．王六郎：「拜識清揚，情逾骨肉。」形容聲音清亮悠揚。荀子．法行：「扣之其聲清揚而遠聞，其止輟然。」,NA
qing1~ying2,qīng~yíng,青熒,青荧,tsheng-hweng,NA,RED,NA,NA,"palely gleaming, shimmering, twinkling",NA,NA
qing2~ling2,qíng~líng,殑㱥,殑㱥,ging-ling,NA,RR,歹,NA,"(med.) worn out and done in, dead tired, fagged out, played out; as if one's soul has gone spiritless",NA,NA
qing4~kong4,qìng~kòng,磬控,磬控,NA,NA,NA,NA,NA,NA,不讓馬前進的馭馬方法。詩經．鄭風．大叔于田：「抑磬控忌，抑縱送忌。」,NA
qiong2,qióng,跫,跫,khaewng,NA,SINGLE,NA,NA,"onom. of footstep, foofall: khung, plunk",NA,NA
qiong2~qiong2,qióng~qióng,瞏瞏,瞏瞏,gjweng-gjweng,NA,RED,NA,"煢煢,瞏瞏","alone and unaided, on one's own",NA,NA
qiong2~qiong2,qióng~qióng,煢煢,茕茕,gjweng-gjweng,NA,RED,NA,"煢煢,瞏瞏","alone and unaided, on one's own",孤獨無依的樣子。楚辭．屈原．思美人：「獨煢煢而南行兮，思彭咸之故也。」晉．陶淵明．祭程氏妹文：「煢煢游魂，誰主誰祀？」亦作「惸惸」、「瞏瞏」、「嬛嬛」。,radical support?
qiong2~qiong2,qióng~qióng,惸惸,惸惸,NA,NA,NA,NA,NA,NA,擔憂煩惱的樣子。詩經．小雅．正月：「憂心惸惸，念我無祿。」孤獨無依的樣子。宋．王禹偁．感流亡詩：「呱呱三兒泣，惸惸一夫鰥。」亦作「煢煢」。,NA
qiong2~qiong2,qióng~qióng,睘睘,睘睘,NA,NA,NA,NA,NA,NA,NA,NA
qiong2~qiong2,qióng~qióng,蛩蛩,蛩蛩,NA,NA,NA,NA,NA,NA,憂心煩惱的樣子。楚辭．劉向．九歎．離世：「心蛩蛩而懷顧兮，魂眷眷而獨逝。」,NA
qiu1~qiu1,qiū~qiū,秋秋,秋秋,tshjuw-tshjuw,NA,RED,NA,NA,"swoop and soar (of birds), hover high",NA,NA
qiu1~xu1,qiū~xū,丘虛,丘虚,khjuw-xjo,NA,BR,NA,NA,"hillocky and hummock; ruins and wastes, esp. near tombs",NA,NA
qiu2~qiu2,qiú~qiú,仇仇,仇仇,gjuw ~ gjuw,*gu {*[g](r)u} ~ gu {*[g](r)u} ,NA,NA,NA,NA,傲慢的樣子。詩經．小雅．正月：「執我仇仇，亦不我力。」,NA
qiu2~qiu2,qiú~qiú,俅俅,俅俅,gjuw-gjuw,NA,RED,人,NA,capped with distinction; reverent and respectful,恭順的樣子。詩經．周頌．絲衣：「絲衣其紑，載弁俅俅。」,NA
qu1~qu1,qū~qū,祛祛,祛祛,khjo-khjo,NA,RED,示,NA,"strong and swift, hardy and spry",NA,NA
qu1~qu1,qū~qū,區區,区区,khju-khju,NA,RED,NA,NA,"trifling and trivial, nugatory, of little or no account > self-depreciatory ref. my insignificant self",微小。左傳．襄公十七年：「宋國區區，而有詛有祝，禍之本也。」舊唐書．卷一一一．張鎬傳：「臣聞天子修福，要在安養含生，靖一風化，未聞區區僧教，以致太平。」近戔戔自稱的謙詞。文選．李陵．答蘇武書：「區區之心，切慕此耳。」文選．李密．陳情表：「母孫二人更相為命，是以區區不能廢遠。」志得意滿的樣子。商君書．修權：「今亂世之君臣，區區然皆擅一國之利，而管一官之重，以便其私。」忠誠、愛戀。文選．古詩十九首．孟冬寒氣至：「一心抱區區，懼君不識察。」樂府詩集．卷七十三．雜曲歌辭十三．古辭．焦仲卿妻：「新婦謂府吏：『感君區區懷，君既若見錄，不久望君來。』」胸襟不開朗。董西廂．卷一：「莫區區，好天良夜且追遊。」憨愚，死心眼。樂府詩集．卷七十三．雜曲歌辭十三．古辭．焦仲卿妻：「阿母謂府吏：『何乃太區區。』」隋書．卷六十四．來護兒傳：「會為國滅賊以取功名，安能區區久事隴畝！」辛苦、殷勤。董西廂．卷一：「區區四海遊學，一年多半，身在天涯。」元．鄭光祖．㑳梅香．第二折：「小生區區千里而來，只為小姐這門親事。」,NA
qu2~chu2,qú~chú,蘧蒢,蘧蒢,gjo-drjo,NA,BR,NA,NA,"reed or bamboo matting; torso so rigid or paralyzed that one cannnot bend; flatter and fawn, curry favor",NA,ideophone creation based on metaphor
qu2~lu4,qú~lù,劬錄,劬录,gju-ljowk,NA,BR,NA,NA,"toilsome travail, moil and toil",NA,NA
qu2~qu2,qú~qú,姁姁,姁姁,gju-gju,NA,RED,女,NA,contentendly complacent; mild and moderate,喜悅自得的樣子。呂氏春秋．有始覽．諭大：「父子兄弟相與比周於一國，姁姁焉相樂也。」言語溫和親切。唐．柳宗元．段太尉逸事狀：「太尉為人姁姁，常低首拱手行步。」明．歸有光．先妣事略：「敦尚簡實，與人姁姁說村中語。」,NA
qu2~qu2,qú~qú,躣躣,躣躣,gju-gju,NA,RED,足,NA,"advance in a curling and coiling manner, like a dragon",NA,NA
qu2~qu2,qú~qú,渠渠,渠渠,NA,NA,NA,NA,NA,NA,深廣的樣子。詩經．秦風．權輿：「於我乎夏屋渠渠，今也每食無餘。」聊齋志異．卷二．紅玉：「腴田連阡，夏屋渠渠矣。」不寬泰的樣子。荀子．修身：「有法而無志其義，則渠渠然。」,NA
qu2~ran2,qú~rán,蘧然,蘧然,gjo-nyen,NA,RAN,NA,NA,"with a start, startled, all of a sudden",驚喜的樣子。,NA
qu2~sou1,qú~sōu,蠼螋,蠼螋,gju-srjuw,NA,NOTIDEOPHONE,蟲,NA,earwig (Forficula auricularia),蚰蜒的別名。見「蚰蜒」條。,insect
quan1~quan1,quān~quān,棬棬,棬棬,gjwen-gjwen,NA,RED,木,NA,"energetically, vigorously, forcefully",NA,NA
quan1~quan1,quān~quān,悛悛,悛悛,NA,NA,NA,NA,NA,NA,敦厚篤實的樣子。史記．卷一○九．李將軍傳：「余睹李將軍悛悛如鄙人，口不能道辭。」,NA
quan2~ju2,quán~jú,蜷局,蜷局,gjwen-gjowk,NA,BR,NA,"蜷跼,蜷局","shrink and draw inward, wriggle up, pull into oneself ,cringe and contract, shy away from",彎曲、捲曲。楚辭．屈原．離騷：「僕夫悲余馬懷兮，蜷局顧而不行。」亦作「踡跼」。捲曲不能舒展的樣子。楚辭．王逸．九思：「踡跼兮寒局數，獨處兮志不申。」西遊記．第四十一回：「你看他踡跼四肢伸不得，渾身上下冷如冰。」亦作「蜷局」。,NA
quan2~ju2,quán~jú,蜷跼,蜷跼,gjwen-gjowk,NA,BR,NA,"蜷跼,蜷局","draw into, contract",NA,NA
quan2~quan2,quán~quán,拳拳,拳拳,gjwen-gjwen,NA,RED,手,NA,"hold tight to, keep close to one; zealous, earnest, ardent",真摯誠懇。文選．司馬遷．報任少卿書：「拳拳之忠，終不能自列。」唐．孟簡．惜分陰詩：「業廣因功苦，拳拳志士心。」亦作「卷卷」、「惓惓」。勤勉的樣子。唐．柳宗元．天爵論：「拳拳於得善，孜孜於嗜學。」彎曲的樣子。水滸傳．第十二回：「夾腦連頭，盡長拳拳彎彎捲螺髮。」敬慕眷戀的樣子。唐．白居易．訪陶公舊宅詩：「每讀五柳傳，目想心拳拳。」,NA
quan2~quan2,quán~quán,惓惓,惓惓,NA,NA,NA,NA,NA,NA,真摯誠懇。漢書．卷三十六．楚元王劉交傳：「念忠臣雖在甽畝，猶不忘君，惓惓之義也。」初刻拍案驚奇．卷三十：「多感君侯惓惓垂問，某有心事，今不敢隱。」亦作「卷卷」、「拳拳」。,NA
quan3~quan3,quǎn~quǎn,綣綣,绻绻,khjwonX-khjwonX,NA,RED,絲,NA,"in all earnestness, with total dedication, faithfully steadfast",NA,NA
que1~que1,quē~quē,缺缺,缺缺,khwet-khwet,NA,RED,NA,NA,"incomplete, imperfect; insufficient",具小聰明的。老子．第五十八章：「其政悶悶，其民淳淳，其政察察，其民缺缺。」唐．柳宗元．桐葉封弟辨：「是直小丈夫缺缺者之事，非周公所宜用，故不可信。」非常缺乏的樣子。如：「他對登山活動興趣缺缺。」,NA
que4,què,搉,搉,khaewk,NA,SINGLE,NA,NA,"rap, knock, strike against; onom. of this action: kock!",NA,NA
que4,què,礐,礐,khaewk,NA,SINGLE,NA,NA,"onom. of waves striking against rocks; crash, slap, smack",NA,NA
que4~ke4,què~kè,礐硞,礐硞,khaewk-kheak,NA,BR,NA,NA,(med.) onom. of water running over rapids or breaking against rocks,NA,NA
qui1~ci2,quī~cí,龜茲,龟兹,khjuw-dzi,NA,NOTIDEOPHONE,NA,NA,"Kucha, oasis city on the northern Silk Road in the Tarim basin",NA,"geography, 龜 qiu1 as gui1 (MC kwej)"
qun1~qun1,qūn~qūn,囷囷,囷囷,khwin-khwin,NA,RED,NA,NA,"(med.) twisting and turning, curved and winding",屈曲盤旋的樣子。唐．杜牧．阿房宮賦：「盤盤焉，囷囷焉，蜂房水渦矗，不知乎幾千萬落。」,radical support?
qun1~xun2,qūn~xún,逡循,逡循,tshwin-zwin,NA,BR,NA,NA,"shy from and shrink back, turn away and avoid; hesitate and hang back, dawdle and dally; with all due deference",NA,NA
qun1~xun2,qūn~xún,逡巡,逡巡,tshwin-zwin,NA,BR,辶,NA,"shy from and shrink back, turn away and avoid; hesitate and hang back, dawdle and dally; with all due deference",向後退。莊子．秋水：「東海之鱉，左足未入，而右膝已縶矣。於是逡巡而卻。」漢賈誼．過秦論：「秦人開關而延敵，九國之師，逡巡遁逃而不敢進。」或作「逡循」。徘徊不前。唐．杜甫．麗人行：「後來鞍馬何逡巡，當軒下馬入錦茵。」聊齋志異．卷一．勞山道士：「俛首驟入，勿逡巡！」頃刻之間。唐．韓湘．言志詩：「解造逡巡酒，能開頃刻花。」元．王實甫．西廂記．第二本．第一折：「雖然是不關親，可憐見命在逡巡。」,NA
